control_name,control_value,COUNTY_preliminary_balanced_weight,COUNTY_balanced_weight,COUNTY_integer_weight,TAZ_NODE_balanced_weight,TAZ_NODE_integer_weight,MAZ_NODE_balanced_weight,MAZ_NODE_integer_weight,county_id,county_name,result,control
pers_occ_management,60969.0,88053.28189093342,60825.62357431679,60822.0,60825.62357431679,60865,60825.62357431679,60750,2,San Mateo,60865,88053.28189093342
pers_occ_professional,140463.0,124176.76223731753,140174.72133987345,140163.0,140174.72133987345,140174,140174.72133987345,140107,2,San Mateo,140174,124176.76223731753
pers_occ_services,79148.0,61125.67710481241,78747.60816441136,78748.0,78747.60816441136,78719,78747.60816441136,78714,2,San Mateo,78719,61125.67710481241
pers_occ_retail,46892.0,59598.72110278256,46568.6111124033,46567.0,46568.61111240329,46673,46568.61111240329,46572,2,San Mateo,46673,59598.72110278256
pers_occ_manual_military,68218.0,53264.76556616893,67671.06742826689,67677.0,67671.06742826688,67624,67671.06742826688,67738,2,San Mateo,67624,53264.76556616893
inc_lt_20k,14891.0,14666.103155826564,14646.08552951018,14643.0,14646.08552951018,14617,14646.08552951018,14651,2,San Mateo,14617,14666.103155826564
inc_20k_45k,23147.0,22882.378522476047,22854.832234386377,22852.0,22854.832234386373,22840,22854.832234386373,22834,2,San Mateo,22840,22882.378522476047
inc_45k_60k,14185.0,13961.013710711171,13948.091472191632,13944.0,13948.091472191634,13899,13948.091472191632,13940,2,San Mateo,13899,13961.013710711171
inc_60k_75k,15224.0,15019.904019206786,15000.50843004118,15002.0,15000.508430041178,14976,15000.508430041178,14982,2,San Mateo,14976,15019.904019206786
inc_75k_100k,22713.0,22314.281844597488,22294.20910928901,22292.0,22294.20910928901,22258,22294.20910928901,22280,2,San Mateo,22258,22314.281844597488
inc_100k_150k,41797.0,41280.24875184983,41250.46760865552,41244.0,41250.46760865551,41251,41250.46760865551,41249,2,San Mateo,41251,41280.24875184983
inc_150k_200k,34150.0,33650.67901781684,33626.17831842233,33629.0,33626.17831842233,33642,33626.17831842233,33591,2,San Mateo,33642,33650.67901781684
inc_200k_plus,105431.0,105257.83891122224,105135.80036119328,105131.0,105135.80036119328,105210,105135.80036119328,105130,2,San Mateo,105210,105257.83891122224
numhh,656068.0,657044.5299128868,657097.7167459886,656821.0,657097.7167459887,657080,657097.7167459887,657483,3,Santa Clara,657080,657044.5299128868
numhh_gq,687199.0,687503.2012797081,687498.8269491679,687199.0,687498.8269491679,687199,687498.826949168,687199,3,Santa Clara,687199,687503.2012797081
hh_gq_university,19440.0,19108.58832847633,19082.22017575558,19063.0,19082.22017575558,18822,19082.22017575558,18782,3,Santa Clara,18822,19108.58832847633
hh_gq_noninstitutional,11691.0,11350.083038344814,11318.890027423698,11315.0,11318.890027423698,11297,11318.890027423698,10934,3,Santa Clara,11297,11350.083038344814
hh_size_1,152017.0,133662.29212545996,133637.42673974964,133582.0,133637.42673974964,133607,133637.42673974964,133647,3,Santa Clara,133607,133662.29212545996
hh_size_2,219225.0,201434.8559289799,201417.36066657296,201336.0,201417.36066657296,201520,201417.36066657296,201267,3,Santa Clara,201520,201434.8559289799
hh_size_3,129808.0,124328.25115618316,124380.295534527,124308.0,124380.295534527,124424,124380.295534527,124705,3,Santa Clara,124424,124328.25115618316
hh_size_4,117669.0,117416.48879287227,117470.91368616773,117434.0,117470.91368616773,117461,117470.91368616773,117654,3,Santa Clara,117461,117416.48879287227
hh_size_5,46136.0,47898.13125356879,47889.1394149117,47870.0,47889.1394149117,47869,47889.1394149117,47930,3,Santa Clara,47869,47898.13125356879
hh_size_6_plus,29898.0,32304.510655822847,32302.58070405964,32291.0,32302.58070405964,32199,32302.58070405964,32280,3,Santa Clara,32199,32304.510655822847
hh_wrks_0,122467.0,116388.55738159904,114350.96189771454,114296.0,114350.96189771456,114448,114350.96189771456,114543,3,Santa Clara,114448,116388.55738159904
hh_wrks_1,260768.0,245680.19487013615,243960.53820048235,243857.0,243960.53820048235,243909,243960.53820048235,243915,3,Santa Clara,243909,245680.19487013615
hh_wrks_2,237636.0,224369.52193566892,226599.7128065636,226514.0,226599.7128065636,226568,226599.7128065636,226747,3,Santa Clara,226568,224369.52193566892
hh_wrks_3_plus,73890.0,70606.2557254828,72186.5038412281,72154.0,72186.5038412281,72155,72186.5038412281,72278,3,Santa Clara,72155,70606.2557254828
pers_age_00_19,447922.0,446188.7336671771,446197.50181448925,446044.0,446197.5018144892,446131,446197.5018144892,446866,3,Santa Clara,446131,446188.7336671771
pers_age_20_34,420459.0,418229.9927850628,418289.2904979665,418106.0,418289.29049796646,417823,418289.29049796646,418202,3,Santa Clara,417823,418229.9927850628
pers_age_35_64,761015.0,757568.6766912207,757639.1811025535,757340.0,757639.1811025534,757459,757639.1811025534,757831,3,Santa Clara,757459,757568.6766912207
pers_age_65_plus,273930.0,272827.6304598869,272816.9586345582,272696.0,272816.9586345582,272714,272816.9586345582,272589,3,Santa Clara,272714,272827.6304598869
hh_kids_yes,230832.0,220189.14384038863,220132.49309092408,220046.0,220132.493090924,220087,220132.493090924,220411,3,Santa Clara,220087,220189.14384038863
hh_kids_no,463925.0,436855.3860724984,436965.2236550646,436775.0,436965.2236550646,436993,436965.2236550646,437072,3,Santa Clara,436993,436855.3860724984
pers_occ_management,138495.0,196555.9358084588,135984.75611504837,135895.0,135984.75611504837,136154,135984.75611504837,135959,3,Santa Clara,136154,196555.9358084588
pers_occ_professional,414841.0,367388.9951569413,406172.1239035109,406023.0,406172.1239035108,406055,406172.1239035108,406460,3,Santa Clara,406055,367388.9951569413
pers_occ_services,176013.0,125572.98521741766,173276.60223357633,173239.0,173276.6022335763,173225,173276.6022335763,173432,3,Santa Clara,173225,125572.98521741766
pers_occ_retail,113310.0,137802.03426558612,111415.40638799724,111360.0,111415.40638799728,111474,111415.40638799728,111435,3,Santa Clara,111474,137802.03426558612
pers_occ_manual_military,157832.0,129346.5819646968,155348.4285634461,155298.0,155348.4285634461,155256,155348.42856344613,155549,3,Santa Clara,155256,129346.5819646968
inc_lt_20k,41580.0,39050.059654403645,38942.30090924937,38929.0,38942.300909249374,38905,38942.300909249374,38860,3,Santa Clara,38905,39050.059654403645
inc_20k_45k,54006.0,51158.829210508375,51059.76522537165,51042.0,51059.76522537166,50972,51059.76522537166,50932,3,Santa Clara,50972,51158.829210508375
inc_45k_60k,33111.0,31381.78650694523,31327.394824077302,31313.0,31327.39482407729,31258,31327.39482407729,31280,3,Santa Clara,31258,31381.78650694523
inc_60k_75k,34829.0,32983.637125741305,32939.188405999266,32929.0,32939.18840599926,32888,32939.18840599926,32919,3,Santa Clara,32888,32983.637125741305
inc_75k_100k,57369.0,54477.850515985934,54416.06874190593,54392.0,54416.06874190594,54384,54416.06874190594,54397,3,Santa Clara,54384,54477.850515985934
inc_100k_150k,105850.0,100178.38076242544,100132.26737464056,100087.0,100132.26737464056,100145,100132.26737464056,100097,3,Santa Clara,100145,100178.38076242544
inc_150k_200k,88572.0,83250.0125393746,83260.74905289352,83227.0,83260.7490528935,83220,83260.7490528935,83337,3,Santa Clara,83220,83250.0125393746
inc_200k_plus,279437.0,264193.2879848943,264454.5437038706,264337.0,264454.5437038707,264545,264454.5437038707,264581,3,Santa Clara,264545,264193.2879848943
numhh,591669.0,595858.6025328921,595956.7899149909,595424.0,595956.7899149909,595563,595956.7899149909,596103,4,Alameda,595563,595858.6025328921
numhh_gq,634945.0,635505.1036905675,635494.7717770766,634945.0,635494.7717770766,634945,635494.7717770766,634945,4,Alameda,634945,635505.1036905675
hh_gq_university,17463.0,16521.489641622484,16458.028905605424,16454.0,16458.028905605428,16415,16458.028905605428,16273,4,Alameda,16415,16521.489641622484
hh_gq_noninstitutional,25813.0,23125.01151605277,23079.95295648036,23067.0,23079.95295648036,22967,23079.952956480363,22569,4,Alameda,22967,23125.01151605277
hh_size_1,170552.0,145847.36342498165,145986.80040174446,145850.0,145986.80040174446,145850,145986.80040174446,145931,4,Alameda,145850,145847.36342498165
hh_size_2,208074.0,180618.58290824876,180636.12819902427,180451.0,180636.12819902424,180540,180636.12819902427,180582,4,Alameda,180540,180618.58290824876
hh_size_3,118564.0,105303.6354574959,105272.94000178955,105190.0,105272.94000178958,105190,105272.94000178958,105319,4,Alameda,105190,105303.6354574959
hh_size_4,105904.0,97204.42967260654,97164.4709033376,97089.0,97164.4709033376,97190,97164.4709033376,97336,4,Alameda,97190,97204.42967260654
hh_size_5,41599.0,40132.42808309708,40104.481791530685,40072.0,40104.4817915307,40109,40104.4817915307,40198,4,Alameda,40109,40132.42808309708
hh_size_6_plus,26614.0,26752.16298646217,26791.968617564304,26772.0,26791.968617564304,26684,26791.968617564304,26737,4,Alameda,26684,26752.16298646217
hh_wrks_0,142240.0,126204.93441008384,122955.3371256144,122843.0,122955.33712561436,122943,122955.33712561436,123142,4,Alameda,122943,126204.93441008384
hh_wrks_1,247207.0,219035.68643452117,217692.50961685483,217499.0,217692.5096168549,217436,217692.5096168549,217516,4,Alameda,217436,219035.68643452117
hh_wrks_2,220915.0,195159.747783106,198042.838292582,197860.0,198042.838292582,197881,198042.838292582,197960,4,Alameda,197881,195159.747783106
hh_wrks_3_plus,60945.0,55458.23390518107,57266.10487993973,57222.0,57266.10487993974,57303,57266.10487993974,57485,4,Alameda,57303,55458.23390518107
pers_age_00_19,370538.0,369177.4497528746,369183.6191940483,368914.0,369183.61919404817,369010,369183.61919404817,369228,4,Alameda,369010,369177.4497528746
pers_age_20_34,352416.0,351180.2001629764,351277.689047718,351036.0,351277.6890477181,351086,351277.6890477181,351672,4,Alameda,351086,351180.2001629764
pers_age_35_64,682255.0,679388.158560279,679567.54660144,678966.0,679567.5466014401,678817,679567.5466014401,679531,4,Alameda,678817,679388.158560279
pers_age_65_plus,246870.0,245871.4457017056,245887.75045913624,245633.0,245887.75045913627,245728,245887.75045913627,245655,4,Alameda,245728,245871.4457017056
hh_kids_yes,216414.0,192649.5225517796,192761.42279494915,192616.0,192761.4227949492,192627,192761.4227949492,192824,4,Alameda,192627,192649.5225517796
hh_kids_no,454879.0,403209.07998111256,403195.36712004174,402808.0,403195.3671200418,402936,403195.36712004174,403279,4,Alameda,402936,403209.07998111256
pers_occ_management,118550.0,173402.65458604062,115480.2378302757,115302.0,115480.23783027571,115593,115480.23783027571,115507,4,Alameda,115593,173402.65458604062
pers_occ_professional,310736.0,281223.24806077086,301562.9056266364,301301.0,301562.9056266364,301319,301562.9056266364,301434,4,Alameda,301319,281223.24806077086
pers_occ_services,179274.0,107929.69494885203,175720.24580802413,175647.0,175720.24580802416,175585,175720.24580802416,176122,4,Alameda,175585,107929.69494885203
pers_occ_retail,100882.0,129636.2512205099,98788.87589565269,98676.0,98788.87589565269,98834,98788.87589565269,99028,4,Alameda,98834,129636.2512205099
pers_occ_manual_military,154661.0,126046.65415494672,151910.38631980776,151830.0,151910.38631980773,151724,151910.38631980773,152024,4,Alameda,151724,126046.65415494672
inc_lt_20k,58285.0,52174.383508915584,52072.40483455338,52024.0,52072.40483455339,51964,52072.40483455339,51919,4,Alameda,51964,52174.383508915584
inc_20k_45k,66423.0,59974.06655921294,59893.33389496733,59836.0,59893.33389496733,59783,59893.33389496733,59738,4,Alameda,59783,59974.06655921294
inc_45k_60k,39650.0,35658.93817794529,35612.998070360954,35590.0,35612.998070360954,35544,35612.998070360954,35631,4,Alameda,35544,35658.93817794529
inc_60k_75k,41217.0,36996.9517325266,36963.4766669013,36942.0,36963.47666690129,36926,36963.47666690129,36927,4,Alameda,36926,36996.9517325266
inc_75k_100k,61442.0,55423.84754702454,55389.25650499335,55347.0,55389.25650499335,55311,55389.25650499335,55416,4,Alameda,55311,55423.84754702454
inc_100k_150k,108962.0,97436.71026816958,97400.03344569624,97323.0,97400.03344569624,97403,97400.03344569624,97518,4,Alameda,97403,97436.71026816958
inc_150k_200k,82348.0,72998.81082808235,73012.90370468076,72951.0,73012.90370468075,72921,73012.90370468075,73048,4,Alameda,72921,72998.81082808235
inc_200k_plus,212965.0,185168.3585736897,185502.19362077143,185299.0,185502.19362077143,185358,185502.19362077143,185216,4,Alameda,185358,185168.3585736897
numhh,406978.0,407170.2537242574,407173.55773921526,407072.0,407173.5577392153,407126,407173.5577392153,407309,5,Contra Costa,407126,407170.2537242574
numhh_gq,413706.0,413812.0586755095,413812.20228500926,413706.0,413812.2022850093,413706,413812.2022850093,413706,5,Contra Costa,413706,413812.0586755095
hh_gq_university,1461.0,1463.1438385048727,1463.4226055531458,1463.0,1463.422605553145,1420,1463.422605553145,1405,5,Contra Costa,1420,1463.1438385048727
hh_gq_noninstitutional,5267.0,5178.661112747144,5175.22194024079,5171.0,5175.221940240791,5160,5175.221940240791,4992,5,Contra Costa,5160,5178.661112747144
hh_size_1,92726.0,88761.82802198837,88643.76374036803,88628.0,88643.76374036803,88538,88643.76374036803,88765,5,Contra Costa,88538,88761.82802198837
hh_size_2,131287.0,126613.66812727354,126492.29058593744,126459.0,126492.29058593744,126472,126492.29058593744,126501,5,Contra Costa,126472,126613.66812727354
hh_size_3,75114.0,72888.28558088455,72868.63218565722,72855.0,72868.63218565722,72967,72868.63218565722,72911,5,Contra Costa,72967,72888.28558088455
hh_size_4,68285.0,67067.83808695879,67178.46132996383,67162.0,67178.46132996381,67219,67178.46132996381,67139,5,Contra Costa,67219,67067.83808695879
hh_size_5,31358.0,30982.20650146981,31046.796894316,31034.0,31046.796894315998,31078,31046.796894315998,31055,5,Contra Costa,31078,30982.20650146981
hh_size_6_plus,20845.0,20856.427405682447,20943.61300297285,20934.0,20943.61300297285,20852,20943.61300297285,20938,5,Contra Costa,20852,20856.427405682447
hh_wrks_0,96896.0,94186.73966461462,94010.12767199038,93993.0,94010.12767199035,94117,94010.12767199035,94304,5,Contra Costa,94117,94186.73966461462
hh_wrks_1,151173.0,146544.91001571764,146433.35704155095,146401.0,146433.35704155095,146425,146433.35704155095,146406,5,Contra Costa,146425,146544.91001571764
hh_wrks_2,130090.0,126270.0147569588,126254.19526089211,126218.0,126254.19526089211,126170,126254.19526089211,126178,5,Contra Costa,126170,126270.0147569588
hh_wrks_3_plus,41459.0,40168.58928696641,40475.877764781886,40460.0,40475.87776478189,40414,40475.87776478189,40421,5,Contra Costa,40414,40168.58928696641
pers_age_00_19,285157.0,284808.15726417094,284758.6701719069,284673.0,284758.6701719069,284647,284758.6701719069,284747,5,Contra Costa,284647,284808.15726417094
pers_age_20_34,208013.0,207786.2824078193,207785.6665730788,207720.0,207785.6665730788,207683,207785.6665730788,207686,5,Contra Costa,207683,207786.2824078193
pers_age_35_64,474358.0,473689.0099419481,473652.6724851533,473521.0,473652.67248515337,473382,473652.67248515337,473429,5,Contra Costa,473382,473689.0099419481
pers_age_65_plus,193806.0,193578.88456262517,193556.625478732,193515.0,193556.625478732,193595,193556.625478732,193513,5,Contra Costa,193595,193578.88456262517
hh_kids_yes,147540.0,142668.9225169105,142728.68399393547,142686.0,142728.6839939355,142708,142728.6839939355,142813,5,Contra Costa,142708,142668.9225169105
hh_kids_no,272081.0,264501.3312073469,264444.8737452798,264386.0,264444.87374527985,264418,264444.87374527985,264496,5,Contra Costa,264418,264501.3312073469
pers_occ_management,81259.0,115987.11849064611,81273.68443189184,81248.0,81273.68443189186,81277,81273.68443189186,81215,5,Contra Costa,81277,115987.11849064611
pers_occ_professional,169106.0,145944.3266962284,168955.98492747938,168909.0,168955.9849274794,168819,168955.9849274794,168835,5,Contra Costa,168819,145944.3266962284
pers_occ_services,124502.0,90016.9409275628,124001.08546826428,123977.0,124001.08546826428,124026,124001.08546826428,123988,5,Contra Costa,124026,90016.9409275628
pers_occ_retail,80224.0,100784.61796112284,80043.6707609699,80013.0,80043.6707609699,80050,80043.6707609699,80055,5,Contra Costa,80050,100784.61796112284
pers_occ_manual_military,117880.0,90920.45035025723,117279.33046002018,117247.0,117279.33046002017,117198,117279.33046002017,117265,5,Contra Costa,117198,90920.45035025723
inc_lt_20k,29751.0,28783.15978230372,28748.51976380885,28743.0,28748.519763808858,28711,28748.519763808858,28710,5,Contra Costa,28711,28783.15978230372
inc_20k_45k,40978.0,39564.513467681936,39515.71275901815,39507.0,39515.71275901815,39469,39515.71275901815,39462,5,Contra Costa,39469,39564.513467681936
inc_45k_60k,26425.0,25636.352011814637,25614.895643856325,25607.0,25614.895643856325,25592,25614.89564385632,25644,5,Contra Costa,25592,25636.352011814637
inc_60k_75k,26920.0,26077.31901624698,26054.415222679352,26049.0,26054.415222679352,26077,26054.415222679352,26068,5,Contra Costa,26077,26077.31901624698
inc_75k_100k,43219.0,41834.47130599287,41813.298385578055,41804.0,41813.29838557805,41783,41813.29838557805,41783,5,Contra Costa,41783,41834.47130599287
inc_100k_150k,75128.0,72864.06359633474,72808.46146905824,72783.0,72808.46146905827,72816,72808.46146905825,72765,5,Contra Costa,72816,72864.06359633474
inc_150k_200k,57360.0,55613.26075350906,55590.1241349413,55576.0,55590.12413494132,55550,55590.12413494132,55539,5,Contra Costa,55550,55613.26075350906
inc_200k_plus,119838.0,116686.022220101,116738.90767954064,116717.0,116738.90767954064,116687,116738.90767954064,116644,5,Contra Costa,116687,116686.022220101
numhh,155892.0,155934.6434472992,155935.86199026072,155899.0,155935.86199026072,155934,155935.86199026072,156001,6,Solano,155934,155934.6434472992
numhh_gq,158276.0,158311.5759314681,158312.3287267361,158276.0,158312.32872673607,158276,158312.32872673607,158276,6,Solano,158276,158311.5759314681
hh_gq_university,823.0,822.6384679611741,822.5722802683433,823.0,822.5722802683433,802,822.5722802683432,801,6,Solano,802,822.6384679611741
hh_gq_noninstitutional,1561.0,1554.294016207716,1553.8944562070335,1554.0,1553.8944562070335,1540,1553.8944562070335,1474,6,Solano,1540,1554.294016207716
hh_size_1,38928.0,37326.22393453918,37271.69949998249,37264.0,37271.6994999825,37141,37271.6994999825,37231,6,Solano,37141,37326.22393453918
hh_size_2,50814.0,49012.73605086989,48977.88817658365,48965.0,48977.88817658364,48973,48977.88817658364,48936,6,Solano,48973,49012.73605086989
hh_size_3,27304.0,26744.06648761113,26746.53015883245,26740.0,26746.53015883245,26792,26746.53015883245,26808,6,Solano,26792,26744.06648761113
hh_size_4,22135.0,21829.02881831905,21857.671527089424,21853.0,21857.67152708942,21924,21857.67152708942,21919,6,Solano,21924,21829.02881831905
hh_size_5,12440.0,12391.454305273328,12425.482700167442,12423.0,12425.48270016744,12470,12425.48270016744,12470,6,Solano,12470,12391.454305273328
hh_size_6_plus,8498.0,8631.133850686594,8656.58992760528,8654.0,8656.589927605282,8634,8656.58992760528,8637,6,Solano,8634,8631.133850686594
hh_wrks_0,41981.0,40725.58753197584,40412.47666771948,40401.0,40412.47666771948,40391,40412.47666771948,40466,6,Solano,40391,40725.58753197584
hh_wrks_1,57849.0,56354.32561449801,56292.697166510094,56284.0,56292.6971665101,56288,56292.6971665101,56279,6,Solano,56288,56354.32561449801
hh_wrks_2,44971.0,43831.091557621934,44021.2503873649,44010.0,44021.25038736489,44044,44021.25038736489,44061,6,Solano,44044,43831.091557621934
hh_wrks_3_plus,15331.0,15023.638743203392,15209.437768666265,15204.0,15209.437768666265,15211,15209.437768666265,15195,6,Solano,15211,15023.638743203392
pers_age_00_19,109365.0,109273.38915987268,109255.99156349832,109237.0,109255.99156349836,109359,109255.99156349836,109421,6,Solano,109359,109273.38915987268
pers_age_20_34,89571.0,89487.73957966159,89483.93512601496,89465.0,89483.93512601496,89537,89483.93512601496,89513,6,Solano,89537,89487.73957966159
pers_age_35_64,170615.0,170456.66060607444,170445.23705305415,170404.0,170445.23705305415,170527,170445.23705305415,170534,6,Solano,170527,170456.66060607444
pers_age_65_plus,75443.0,75363.07799956475,75355.46044777076,75336.0,75355.46044777078,75319,75355.46044777078,75238,6,Solano,75319,75363.07799956475
hh_kids_yes,51523.0,50337.29544751892,50369.519048433096,50360.0,50369.51904843308,50440,50369.51904843309,50484,6,Solano,50440,50337.29544751892
hh_kids_no,108608.0,105597.34799978024,105566.34294182764,105539.0,105566.34294182764,105494,105566.34294182764,105517,6,Solano,105494,105597.34799978024
pers_occ_management,19988.0,27214.16088094264,19873.10785539569,19865.0,19873.10785539569,19906,19873.10785539569,19916,6,Solano,19906,27214.16088094264
pers_occ_professional,44939.0,44697.956641397854,44676.13080459645,44662.0,44676.13080459645,44729,44676.13080459645,44767,6,Solano,44729,44697.956641397854
pers_occ_services,57409.0,40132.99522036824,57069.51160407873,57063.0,57069.511604078725,57111,57069.51160407873,57056,6,Solano,57111,40132.99522036824
pers_occ_retail,30195.0,38441.31261863355,30006.39131798884,29995.0,30006.39131798884,30014,30006.39131798884,30045,6,Solano,30014,38441.31261863355
pers_occ_manual_military,61182.0,51558.71034612853,60832.86796314521,60819.0,60832.86796314522,60872,60832.86796314522,60792,6,Solano,60872,51558.71034612853
inc_lt_20k,13610.0,13312.453125724162,13304.125090064284,13301.0,13304.12509006428,13251,13304.12509006428,13298,6,Solano,13251,13312.453125724162
inc_20k_45k,18739.0,18307.68511914489,18298.35398436434,18295.0,18298.353984364345,18264,18298.353984364345,18254,6,Solano,18264,18307.68511914489
inc_45k_60k,13994.0,13602.187243670744,13591.308041206654,13588.0,13591.308041206656,13565,13591.308041206656,13541,6,Solano,13565,13602.187243670744
inc_60k_75k,12403.0,12107.057871496942,12100.23525625492,12097.0,12100.235256254917,12080,12100.235256254917,12083,6,Solano,12080,12107.057871496942
inc_75k_100k,21879.0,21218.402105458965,21208.557694684067,21201.0,21208.557694684077,21231,21208.557694684077,21200,6,Solano,21231,21218.402105458965
inc_100k_150k,33244.0,32345.01698578997,32327.375683762864,32320.0,32327.37568376287,32315,32327.37568376287,32249,6,Solano,32315,32345.01698578997
inc_150k_200k,20279.0,19725.369888042707,19721.578604175425,19719.0,19721.578604175425,19747,19721.578604175425,19752,6,Solano,19747,19725.369888042707
inc_200k_plus,25983.0,25275.22613921483,25282.698717226034,25277.0,25282.69871722604,25327,25282.69871722604,25363,6,Solano,25327,25275.22613921483
numhh,49768.0,49779.50341254168,49779.73140011068,49777.0,49779.73140011067,49796,49779.73140011067,49946,7,Napa,49796,49779.50341254168
numhh_gq,52718.0,52721.18162235967,52721.28337071059,52718.0,52721.28337071059,52718,52721.28337071058,52718,7,Napa,52718,52721.18162235967
