MAZ,TAZ,COUNTY,county_name,PUMA
12785,626,1,San Francisco,7507
12877,236,1,San Francisco,7507
12878,236,1,San Francisco,7507
12879,240,1,San Francisco,7507
12880,239,1,San Francisco,7507
12881,451,1,San Francisco,7507
12883,42,1,San Francisco,7507
12884,626,1,San Francisco,7507
12885,626,1,San Francisco,7507
12886,189,1,San Francisco,7507
12887,310,1,San Francisco,7507
12888,310,1,San Francisco,7507
12890,121,1,San Francisco,7507
12941,239,1,San Francisco,7507
12942,237,1,San Francisco,7507
12943,451,1,San Francisco,7507
12944,189,1,San Francisco,7507
12945,310,1,San Francisco,7507
12946,120,1,San Francisco,7507
12948,121,1,San Francisco,7507
12949,121,1,San Francisco,7507
12976,120,1,San Francisco,7507
12988,629,1,San Francisco,7507
12989,187,1,San Francisco,7507
12990,449,1,San Francisco,7507
12991,450,1,San Francisco,7507
12993,191,1,San Francisco,7507
12994,190,1,San Francisco,7507
12995,452,1,San Francisco,7507
12996,191,1,San Francisco,7507
12997,452,1,San Francisco,7507
12998,452,1,San Francisco,7507
12999,191,1,San Francisco,7507
13003,98,1,San Francisco,7507
13013,72,1,San Francisco,7507
13018,626,1,San Francisco,7507
13046,230,1,San Francisco,7507
13047,188,1,San Francisco,7507
13048,237,1,San Francisco,7507
13052,122,1,San Francisco,7507
13054,116,1,San Francisco,7507
13096,233,1,San Francisco,7507
13097,233,1,San Francisco,7507
13098,194,1,San Francisco,7507
13106,619,1,San Francisco,7507
13108,98,1,San Francisco,7507
13136,42,1,San Francisco,7507
13137,237,1,San Francisco,7507
13158,578,1,San Francisco,7507
13159,617,1,San Francisco,7507
13160,616,1,San Francisco,7507
13161,617,1,San Francisco,7507
13162,617,1,San Francisco,7507
13163,616,1,San Francisco,7507
13164,188,1,San Francisco,7507
13171,617,1,San Francisco,7507
13244,629,1,San Francisco,7507
13249,79,1,San Francisco,7507
13282,188,1,San Francisco,7507
13286,311,1,San Francisco,7507
13287,116,1,San Francisco,7507
13288,627,1,San Francisco,7507
