Comparing: C:\GitHub\populationsim\bay_area\example_2015_outputs\hh_persons_model\persons.csv vs C:\GitHub\populationsim\bay_area\output_2023\populationsim_working_dir\output\persons_2023_tm2.csv

Column presence:
  AGEP: Both
  EMPLOYED: Both
  ESR: Both
  HHID: Both
  OCCP: Both
  PERID: Both
  SCHG: Both
  SCHL: Both
  SEX: Both
  WKHP: Both
  WKW: Both
  hhgqtype: Only in new
  person_type: Only in new

=== AGEP ===
  Value           Old      New      Diff     %Diff
  3                 244885   222846   -22039    -9.00
  4                  11869    11777      -92    -0.78
  5                    473       35     -438   -92.60
  6                2426574  2098938  -327636   -13.50

=== OCCP ===
  Value           Old      New      Diff     %Diff
  1                 493787   679394   185607    37.59
  2                1163293  1586151   422858    36.35
  3                 875413   979672   104259    11.91
  4                 610100   668723    58623     9.61
  5                 741695   836345    94650    12.76
  6                   8203        0    -8203  -100.00
  999              3550354  2892691  -657663   -18.52

=== SCHG ===
  Value           Old      New      Diff     %Diff
  -9               5621616  5855905   234289     4.17
  1                 115772   106850    -8922    -7.71
  2                  91198    90260     -938    -1.03
  3                 304112   510427   206315    67.84
  4                 281014   353273    72259    25.71
  5                 346296   191684  -154612   -44.65
  6                 579347   407401  -171946   -29.68
  7                 103490   127176    23686    22.89

=== SCHL ===
  Value           Old      New      Diff     %Diff
  -9                306187   219066   -87121   -28.45
  1                 312544   285769   -26775    -8.57
  10                304573   101054  -203519   -66.82
  11                962057  1264391   302334    31.43
  12                367618   165182  -202436   -55.07
  13               1220724  1239546    18822     1.54
  14                582949   564864   -18085    -3.10
  15                170146  1569200  1399054   822.27
  16                143660  1193993  1050333   731.12
  2                 590917   115761  -475156   -80.41
  3                 354471    93638  -260833   -73.58
  4                 251118    89211  -161907   -64.47
  5                 154067    98876   -55191   -35.82
  6                 165316   110755   -54561   -33.00
  7                 199256   102113   -97143   -48.75
  8                 148823   104728   -44095   -29.63
  9                1208419   324829  -883590   -73.12

=== SEX ===
  Value           Old      New      Diff     %Diff
  1                3564435  3803895   239460     6.72
  2                3878410  3839081   -39329    -1.01

=== WKHP ===
  Value           Old      New      Diff     %Diff
  -9               3767248  3327186  -440062   -11.68
  1                   5236     6251     1015    19.39
  10                 38997    50303    11306    28.99
  11                  3085     2522     -563   -18.25
  12                 25493    28274     2781    10.91
  13                  2211     1955     -256   -11.58
  14                  8651     5562    -3089   -35.71
  15                 51445    51110     -335    -0.65
  16                 31961    31352     -609    -1.91
  17                  2224     3521     1297    58.32
  18                 12090    13921     1831    15.14
  19                  2050     2337      287    14.00
  2                   8243     7997     -246    -2.98
  20                163016   179543    16527    10.14
  21                  4359     5042      683    15.67
  22                  7353     5087    -2266   -30.82
  23                  4299     2780    -1519   -35.33
  24                 41287    49088     7801    18.89
  25                 87485    85398    -2087    -2.39
  26                  5457     5415      -42    -0.77
  27                  4459     8722     4263    95.60
  28                 12534    13700     1166     9.30
  29                  2728     1164    -1564   -57.33
  3                   6412     9712     3300    51.47
  30                195704   181697   -14007    -7.16
  31                   485      947      462    95.26
  32                 65979    77361    11382    17.25
  33                  7068     4377    -2691   -38.07
  34                  4950     3913    -1037   -20.95
  35                 98671    98295     -376    -0.38
  36                 31935    46939    15004    46.98
  37                 23943    18457    -5486   -22.91
  38                 21921    22559      638     2.91
  39                  4055     3088     -967   -23.85
  4                  14144    17361     3217    22.74
  40               1765036  2323951   558915    31.67
  41                  1210     1841      631    52.15
  42                 17209    18045      836     4.86
  43                  9183     5846    -3337   -36.34
  44                 11066     7863    -3203   -28.94
  45                168781   162555    -6226    -3.69
  46                  5248     6100      852    16.23
  47                  3973     4653      680    17.12
  48                 34969    33675    -1294    -3.70
  49                  2388     2052     -336   -14.07
  5                  10764    16643     5879    54.62
  50                304346   306028     1682     0.55
  51                   160      433      273   170.62
  52                 10976     8926    -2050   -18.68
  53                  2484      701    -1783   -71.78
  54                  2686     3085      399    14.85
  55                 60002    49539   -10463   -17.44
  56                  8979     8364     -615    -6.85
  57                  1572     1170     -402   -25.57
  58                  2064     1799     -265   -12.84
  59                   135      636      501   371.11
  6                  12248    19239     6991    57.08
  60                125397   135088     9691     7.73
  61                   435      496       61    14.02
  62                   539      998      459    85.16
  63                   639     1484      845   132.24
  64                   212     1136      924   435.85
  65                 16806    18710     1904    11.33
  66                  1744     1361     -383   -21.96
  67                    13       59       46   353.85
  68                   771      532     -239   -31.00
  69                     7      156      149  2128.57
  7                   5395     6451     1056    19.57
  70                 23217    23362      145     0.62
  71                    96       80      -16   -16.67
  72                  4380     3902     -478   -10.91
  73                    88       14      -74   -84.09
  74                   104       41      -63   -60.58
  75                  3602     2992     -610   -16.94
  76                   131      284      153   116.79
  77                  1201      742     -459   -38.22
  78                    85       78       -7    -8.24
  79                    23       29        6    26.09
  8                  24113    42075    17962    74.49
  80                 16014    29399    13385    83.58
  81                     3       23       20   666.67
  82                    86       11      -75   -87.21
  83                     3        0       -3  -100.00
  84                  1069     1615      546    51.08
  85                   752      601     -151   -20.08
  86                    16       35       19   118.75
  87                     2       28       26  1300.00
  88                    17      579      562  3305.88
  9                   4552     5380      828    18.19
  90                  3223     3331      108     3.35
  91                     5       19       14   280.00
  92                     0      169      169      nan
  95                   126       47      -79   -62.70
  96                  1095      518     -577   -52.69
  98                   276      110     -166   -60.14
  99                  3951     4961     1010    25.56

=== WKW ===
  Value           Old      New      Diff     %Diff
  -9               3767248  3327186  -440062   -11.68
  1                2767516  3455216   687700    24.85
  2                 117315    65150   -52165   -44.47
  3                 224906   189410   -35496   -15.78
  4                 190283   159871   -30412   -15.98
  5                 168708   184315    15607     9.25
  6                 206869   261828    54959    26.57


---

Note: Only columns present in both files are compared. Columns missing in one file are listed above.
