MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,Male,Female,Age_00_19,Age_20_34,Age_35_64,Age_65_up,Pop,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
519433,68,17,22,12,17,90,90,52,24,72,32,180,34349,3906,500149,1301,95,6,Solano
510476,27,7,8,5,7,35,36,21,10,27,13,71,31918,3906,500149,1301,95,6,Solano
510475,14,4,4,2,4,18,19,11,5,14,7,37,31917,3906,500149,1301,95,6,Solano
516447,24,6,8,4,6,31,32,18,9,25,11,63,33741,3906,500149,1301,95,6,Solano
514804,0,0,0,0,0,0,0,0,0,0,0,0,33322,3955,500198,1301,95,6,Solano
516670,12,6,3,1,2,12,13,6,4,9,6,25,33790,3955,500198,1301,95,6,Solano
511075,2,1,1,0,0,2,2,1,1,1,1,4,32188,3955,500198,1301,95,6,Solano
511073,4,2,1,0,1,4,4,2,1,3,2,8,32187,3955,500198,1301,95,6,Solano
513986,7,3,2,1,1,7,8,3,3,6,3,15,33112,3955,500198,1301,95,6,Solano
511977,97,46,25,11,15,96,106,46,35,73,48,202,32551,3955,500198,1301,95,6,Solano
511978,198,95,51,22,30,197,215,94,72,148,98,412,32552,3955,500198,1301,95,6,Solano
516837,9,5,2,1,1,9,10,4,3,8,4,19,33824,3955,500198,1301,95,6,Solano
511225,7,3,2,1,1,7,8,3,3,6,3,15,32249,3955,500198,1301,95,6,Solano
514289,7,3,2,1,1,7,8,3,3,6,3,15,33193,3955,500198,1301,95,6,Solano
513972,9,5,2,1,1,9,10,4,3,8,4,19,33105,3955,500198,1301,95,6,Solano
516534,50,23,13,6,8,50,54,24,18,37,25,104,33762,3955,500198,1301,95,6,Solano
511666,90,25,23,17,25,116,133,77,45,93,34,249,32444,3923,500166,1301,95,6,Solano
512046,67,17,21,12,17,88,89,51,24,71,31,177,32579,3906,500149,1301,95,6,Solano
511987,523,98,135,105,185,806,911,530,404,600,183,1717,32555,3922,500165,1301,95,6,Solano
516575,49,12,16,9,12,65,65,37,17,53,23,130,33770,3906,500149,1301,95,6,Solano
513622,46,12,14,8,12,61,61,35,16,49,22,122,33022,3906,500149,1301,95,6,Solano
519434,203,76,63,27,37,290,322,112,109,222,169,612,34350,3929,500172,1301,95,6,Solano
512041,90,34,28,12,16,129,142,50,48,98,75,271,32576,3929,500172,1301,95,6,Solano
511981,182,34,47,37,64,281,317,185,141,208,64,598,32553,3922,500165,1301,95,6,Solano
514800,7,2,2,1,2,9,10,6,3,7,3,19,33321,3923,500166,1301,95,6,Solano
516446,72,14,19,14,25,111,125,73,56,82,25,236,33740,3922,500165,1301,95,6,Solano
512040,14,3,4,3,4,18,21,12,7,15,5,39,32575,3923,500166,1301,95,6,Solano
518577,23,6,6,4,7,30,34,20,11,24,9,64,34195,3923,500166,1301,95,6,Solano
511076,439,120,112,81,126,567,647,374,219,457,164,1214,32189,3923,500166,1301,95,6,Solano
510559,19,6,6,3,4,22,25,11,7,20,9,47,31957,3905,500148,1301,95,6,Solano
515066,19,6,6,3,4,22,25,11,7,20,9,47,33386,3905,500148,1301,95,6,Solano
511374,13,3,4,2,4,18,19,12,8,13,4,37,32314,3903,500146,1301,95,6,Solano
514145,17,5,6,2,4,20,22,10,6,18,8,42,33155,3905,500148,1301,95,6,Solano
511035,54,16,17,8,13,63,71,31,19,57,27,134,32168,3905,500148,1301,95,6,Solano
514714,38,11,13,5,9,44,48,22,15,39,16,92,33304,3891,500132,1301,95,6,Solano
519735,10,2,5,1,2,12,14,7,4,11,4,26,34397,3904,500147,1301,95,6,Solano
511369,32,8,11,5,8,38,44,23,14,34,11,82,32312,3904,500147,1301,95,6,Solano
511031,66,16,24,10,16,78,91,48,29,68,24,169,32166,3904,500147,1301,95,6,Solano
511030,69,19,26,8,16,80,88,41,28,69,30,168,32165,3891,500132,1301,95,6,Solano
514079,42,12,14,6,10,49,55,24,15,44,21,104,33130,3905,500148,1301,95,6,Solano
511037,22,6,8,3,5,26,28,13,8,22,11,54,32170,3905,500148,1301,95,6,Solano
514082,32,9,9,5,9,46,46,31,20,32,9,92,33131,3903,500146,1301,95,6,Solano
511036,25,6,9,4,6,29,35,18,11,26,9,64,32169,3904,500147,1301,95,6,Solano
511371,25,6,9,4,6,29,35,18,11,26,9,64,32313,3904,500147,1301,95,6,Solano
514085,33,10,10,5,8,38,44,19,12,35,16,82,33133,3905,500148,1301,95,6,Solano
511729,34,9,9,5,11,49,49,33,21,34,10,98,32468,3903,500146,1301,95,6,Solano
519748,33,8,12,5,8,39,45,24,14,34,12,84,34402,3904,500147,1301,95,6,Solano
517665,24,6,8,4,6,28,33,17,10,25,9,61,33996,3904,500147,1301,95,6,Solano
515068,53,13,19,8,13,62,73,39,23,54,19,135,33387,3904,500147,1301,95,6,Solano
510477,19,5,7,3,4,23,23,11,6,20,9,46,31919,4030,500281,1301,95,6,Solano
515059,34,10,12,5,7,41,41,19,11,37,15,82,33383,4030,500281,1301,95,6,Solano
515785,108,30,40,17,21,129,132,60,36,116,49,261,33564,4030,500281,1301,95,6,Solano
511988,52,13,17,9,13,69,69,40,18,56,24,138,32556,3906,500149,1301,95,6,Solano
510299,72,18,23,13,18,95,95,55,26,75,34,190,31827,3906,500149,1301,95,6,Solano
514355,40,10,13,7,10,53,53,30,14,43,19,106,33209,3906,500149,1301,95,6,Solano
516968,57,16,21,7,13,66,72,33,23,57,25,138,33862,3891,500132,1301,95,6,Solano
516970,60,17,22,7,14,69,77,35,24,61,26,146,33863,3891,500132,1301,95,6,Solano
517659,46,13,16,6,11,53,59,27,19,46,20,112,33994,3891,500132,1301,95,6,Solano
519745,36,10,14,4,8,42,45,21,14,36,16,87,34400,3891,500132,1301,95,6,Solano
513918,151,41,45,30,35,190,205,112,84,141,58,395,33088,3907,500150,1301,95,6,Solano
511362,61,17,22,10,12,73,74,34,21,64,28,147,32309,4030,500281,1301,95,6,Solano
511032,37,10,11,7,9,47,50,27,20,36,14,97,32167,3907,500150,1301,95,6,Solano
516877,36,10,11,7,8,45,49,27,20,33,14,94,33837,3907,500150,1301,95,6,Solano
511726,45,13,14,7,11,52,59,26,16,47,22,111,32467,3905,500148,1301,95,6,Solano
519862,66,16,24,10,16,78,91,48,29,68,24,169,34421,3904,500147,1301,95,6,Solano
519863,6,1,2,1,2,8,8,5,4,5,2,16,34422,3946,500189,1301,95,6,Solano
514088,25,6,9,4,6,29,35,18,11,26,9,64,33135,3904,500147,1301,95,6,Solano
515076,45,11,16,7,11,53,62,33,19,47,16,115,33388,3904,500147,1301,95,6,Solano
