MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,HHType1,HHType2,HHType3,HHType4,HHType5,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
110943,62,17,19,10,16,37,2,4,17,2,4625,890,100286,2301,81,2,San Mateo
110944,276,154,86,23,13,73,7,15,154,27,4626,781,100162,2303,81,2,San Mateo
110947,66,8,27,11,20,54,1,2,8,1,4627,661,100029,2306,81,2,San Mateo
110948,8,1,4,1,2,7,0,0,1,0,4628,661,100029,2306,81,2,San Mateo
110949,29,15,10,2,2,8,1,2,14,4,4629,634,100001,2306,81,2,San Mateo
110950,51,6,22,8,15,41,1,2,6,1,4630,661,100029,2306,81,2,San Mateo
110951,0,0,0,0,0,0,0,0,0,0,4631,888,100284,2306,81,2,San Mateo
110952,0,0,0,0,0,0,0,0,0,0,4632,888,100284,2306,81,2,San Mateo
110953,127,63,43,11,10,37,2,7,63,18,4633,634,100001,2306,81,2,San Mateo
110954,5,1,1,1,2,4,0,0,1,0,4634,882,100278,2306,81,2,San Mateo
110955,31,8,10,5,8,18,1,2,8,2,4635,881,100277,2306,81,2,San Mateo
110963,0,0,0,0,0,0,0,0,0,0,4636,844,100236,2305,81,2,San Mateo
110964,35,8,8,6,13,14,3,6,8,4,4637,1025,100446,2305,81,2,San Mateo
110965,0,0,0,0,0,0,0,0,0,0,4638,991,100402,2305,81,2,San Mateo
110967,120,19,23,24,54,52,12,27,19,10,4639,1022,100443,2305,81,2,San Mateo
110970,39,8,10,8,13,21,3,4,8,3,4640,692,100066,2303,81,2,San Mateo
110972,29,4,10,5,10,21,1,2,4,1,4641,848,100240,2303,81,2,San Mateo
110973,3,1,1,0,1,2,0,0,1,0,4642,739,100116,2303,81,2,San Mateo
110976,44,5,17,6,16,34,1,2,5,2,4643,847,100239,2303,81,2,San Mateo
110977,84,40,24,10,10,26,3,8,39,8,4644,671,100040,2303,81,2,San Mateo
110981,54,19,21,6,8,25,2,2,19,6,4645,860,100254,2304,81,2,San Mateo
110982,51,13,15,7,16,24,3,6,13,5,4646,961,100368,2304,81,2,San Mateo
110983,5,1,2,1,1,4,0,0,1,0,4647,960,100365,2304,81,2,San Mateo
110984,0,0,0,0,0,0,0,0,0,0,4648,679,100048,2303,81,2,San Mateo
110986,2,0,2,0,0,2,0,0,0,0,4649,861,100255,2304,81,2,San Mateo
110989,52,18,20,6,8,24,2,2,18,6,4650,860,100254,2304,81,2,San Mateo
110992,72,12,22,15,23,44,4,8,12,4,4651,1032,100453,2302,81,2,San Mateo
110993,0,0,0,0,0,0,0,0,0,0,4652,1032,100453,2302,81,2,San Mateo
110995,332,87,112,63,70,178,13,21,87,33,4653,697,100071,2302,81,2,San Mateo
110996,24,9,7,3,5,11,1,2,9,1,4654,842,100234,2302,81,2,San Mateo
110998,50,8,14,11,17,30,3,6,8,3,4655,1035,100458,2302,81,2,San Mateo
111000,38,15,11,4,8,17,2,3,15,1,4656,842,100234,2302,81,2,San Mateo
111001,33,7,11,6,9,19,1,4,7,2,4657,705,100081,2302,81,2,San Mateo
111002,44,9,14,8,13,21,3,7,9,4,4658,840,100232,2302,81,2,San Mateo
111003,64,10,16,10,28,36,5,10,10,3,4659,1042,100466,2302,81,2,San Mateo
111004,60,9,12,11,28,28,6,11,9,6,4660,704,100078,2302,81,2,San Mateo
111006,175,34,45,34,62,91,11,27,34,12,4661,708,100084,2302,81,2,San Mateo
111008,45,15,14,7,9,17,3,5,15,5,4662,697,100071,2302,81,2,San Mateo
111012,0,0,0,0,0,0,0,0,0,0,4663,854,100246,2301,81,2,San Mateo
111013,23,3,6,5,9,15,1,3,3,1,4664,682,100051,2302,81,2,San Mateo
111029,34,7,13,6,8,22,1,2,7,2,4665,669,100038,2303,81,2,San Mateo
111033,63,12,22,12,17,40,2,5,12,4,4666,824,100214,2304,81,2,San Mateo
111036,29,7,12,5,5,15,1,3,7,3,4667,987,100396,2306,81,2,San Mateo
111037,151,53,52,24,22,71,4,11,53,12,4668,988,100398,2306,81,2,San Mateo
111042,19,3,8,3,5,13,1,1,3,1,4669,635,100002,2306,81,2,San Mateo
111044,71,12,29,12,18,50,1,4,12,4,4670,637,100004,2306,81,2,San Mateo
111045,2,1,1,0,0,1,0,0,1,0,4671,966,100373,2304,81,2,San Mateo
111053,21,4,8,4,5,13,1,1,4,2,4672,856,100249,2304,81,2,San Mateo
111054,61,12,22,12,15,36,3,4,12,6,4673,856,100249,2304,81,2,San Mateo
111055,6,1,3,1,1,4,0,0,1,1,4674,861,100255,2304,81,2,San Mateo
111060,45,9,15,9,12,27,2,4,9,3,4675,814,100199,2301,81,2,San Mateo
111061,377,114,113,70,80,121,30,60,115,51,4676,813,100197,2301,81,2,San Mateo
111062,51,10,11,11,19,27,4,7,10,3,4677,862,100257,2301,81,2,San Mateo
111066,35,5,9,6,15,18,4,6,5,2,4678,673,100042,2302,81,2,San Mateo
111067,0,0,0,0,0,0,0,0,0,0,4679,648,100015,2302,81,2,San Mateo
111069,0,0,0,0,0,0,0,0,0,0,4680,648,100015,2302,81,2,San Mateo
111075,0,0,0,0,0,0,0,0,0,0,4681,648,100015,2302,81,2,San Mateo
111078,42,10,13,8,11,21,2,5,10,4,4682,1037,100461,2302,81,2,San Mateo
111079,40,9,14,7,10,20,2,5,9,4,4683,1037,100461,2302,81,2,San Mateo
111080,22,5,9,3,5,13,1,1,5,2,4684,1018,100439,2306,81,2,San Mateo
111081,39,10,13,6,10,18,2,5,10,4,4685,941,100342,2305,81,2,San Mateo
111085,46,2,6,7,31,27,6,10,2,1,4686,917,100317,2306,81,2,San Mateo
111087,7,1,3,1,2,6,0,0,1,0,4687,660,100028,2306,81,2,San Mateo
111090,330,53,127,52,98,247,4,15,53,11,4688,859,100252,2306,81,2,San Mateo
111091,55,9,25,8,13,40,1,3,9,2,4689,1010,100430,2306,81,2,San Mateo
111093,67,11,24,14,18,46,2,5,11,3,4690,712,100088,2305,81,2,San Mateo
111094,90,16,32,20,22,62,3,7,16,2,4691,711,100087,2305,81,2,San Mateo
111095,71,16,21,13,21,34,5,9,16,7,4692,958,100362,2305,81,2,San Mateo
111096,1,1,0,0,0,1,0,0,0,0,4693,937,100338,2305,81,2,San Mateo
111097,80,36,23,10,11,29,3,6,35,7,4694,956,100360,2305,81,2,San Mateo
111098,15,3,5,3,4,7,1,2,3,2,4695,958,100362,2305,81,2,San Mateo
111099,25,12,7,3,3,9,1,2,11,2,4696,956,100360,2305,81,2,San Mateo
111101,81,27,22,13,19,29,7,9,26,10,4697,1023,100444,2305,81,2,San Mateo
111103,0,0,0,0,0,0,0,0,0,0,4698,894,100290,2305,81,2,San Mateo
111104,0,0,0,0,0,0,0,0,0,0,4699,894,100290,2305,81,2,San Mateo
111105,1,1,0,0,0,1,0,0,0,0,4700,894,100290,2305,81,2,San Mateo
111106,0,0,0,0,0,0,0,0,0,0,4701,963,100370,2305,81,2,San Mateo
111107,31,15,9,3,4,8,1,4,15,3,4702,894,100290,2305,81,2,San Mateo
111108,37,9,7,6,15,14,4,6,9,4,4703,963,100370,2305,81,2,San Mateo
111109,65,16,16,9,24,28,5,10,16,6,4704,1024,100445,2305,81,2,San Mateo
111112,59,10,20,13,16,40,1,4,10,4,4705,709,100085,2305,81,2,San Mateo
