MAZ,num_hh,gq_pop,gq_military,gq_university,gq_other,MAZ_ID
10667.0,34,0,0,0,0,10667
10668.0,72,0,0,0,0,10668
10669.0,72,0,0,0,0,10669
10670.0,89,0,0,0,0,10670
10671.0,89,16,0,0,16,10671
10675.0,1679,89,0,0,89,10675
10677.0,88,0,0,0,0,10677
10680.0,25,20,0,0,20,10680
10681.0,139,0,0,0,0,10681
10683.0,22,0,0,0,0,10683
10684.0,30,0,0,0,0,10684
10685.0,45,0,0,0,0,10685
10686.0,27,0,0,0,0,10686
10693.0,110,0,0,0,0,10693
10695.0,94,0,0,0,0,10695
10696.0,0,0,0,0,0,10696
10697.0,105,5,0,0,5,10697
10698.0,124,0,0,0,0,10698
10699.0,82,12,0,0,12,10699
10700.0,19,2,0,0,2,10700
10701.0,60,0,0,0,0,10701
10702.0,1,0,0,0,0,10702
10703.0,0,0,0,0,0,10703
10704.0,47,0,0,0,0,10704
10705.0,61,0,0,0,0,10705
10706.0,117,43,0,0,43,10706
10707.0,63,0,0,0,0,10707
10708.0,70,0,0,0,0,10708
10711.0,42,0,0,0,0,10711
10713.0,72,0,0,0,0,10713
10714.0,73,0,0,0,0,10714
10716.0,38,0,0,0,0,10716
10717.0,65,0,0,0,0,10717
10718.0,67,0,0,0,0,10718
10720.0,59,0,0,0,0,10720
10721.0,52,0,0,0,0,10721
10722.0,69,0,0,0,0,10722
10724.0,196,0,0,0,0,10724
10725.0,66,0,0,0,0,10725
10726.0,121,0,0,0,0,10726
10727.0,36,0,0,0,0,10727
10728.0,38,0,0,0,0,10728
10731.0,0,0,0,0,0,10731
10734.0,161,0,0,0,0,10734
10735.0,0,0,0,0,0,10735
10736.0,10,0,0,0,0,10736
10743.0,51,0,0,0,0,10743
10744.0,110,0,0,0,0,10744
10745.0,66,0,0,0,0,10745
10750.0,35,0,0,0,0,10750
10751.0,61,0,0,0,0,10751
10753.0,53,0,0,0,0,10753
10754.0,58,0,0,0,0,10754
10756.0,56,0,0,0,0,10756
10760.0,65,0,0,0,0,10760
10761.0,60,0,0,0,0,10761
10762.0,166,0,0,0,0,10762
10763.0,129,0,0,0,0,10763
10764.0,150,0,0,0,0,10764
10765.0,67,0,0,0,0,10765
10766.0,58,0,0,0,0,10766
10767.0,62,9,0,0,9,10767
10768.0,145,0,0,0,0,10768
10769.0,37,109,0,0,109,10769
10770.0,205,0,0,0,0,10770
10771.0,151,0,0,0,0,10771
10772.0,99,0,0,0,0,10772
10773.0,136,0,0,0,0,10773
10774.0,106,0,0,0,0,10774
10775.0,65,0,0,0,0,10775
10776.0,25,0,0,0,0,10776
10780.0,33,0,0,0,0,10780
10782.0,69,0,0,0,0,10782
10783.0,49,0,0,0,0,10783
10786.0,28,0,0,0,0,10786
10787.0,0,0,0,0,0,10787
10790.0,40,0,0,0,0,10790
10791.0,44,6,0,0,6,10791
10793.0,318,0,0,0,0,10793
10795.0,45,0,0,0,0,10795
10798.0,34,11,0,0,11,10798
10801.0,100,0,0,0,0,10801
10803.0,135,0,0,0,0,10803
