MAZ,TAZ,PUMA
10454,340,07509
10455,562,07511
10456,31,07509
10457,599,07510
10458,418,07510
10460,595,07509
10462,24,07511
10463,98,07507
10464,623,07507
10466,260,07508
10467,540,07508
10468,256,07508
10469,257,07508
10470,257,07508
10472,258,07508
10473,258,07508
10474,259,07508
10476,576,07508
10477,493,07512
10482,43,07507
10483,579,07507
10484,371,07514
10486,371,07514
10487,369,07514
10488,436,07514
10489,345,07509
10490,342,07509
10493,465,07514
10494,375,07514
10496,465,07514
10498,374,07514
10499,470,07514
10501,372,07514
10503,390,07509
10504,49,07511
10507,49,07511
10508,58,07511
10509,57,07511
10512,565,07510
10514,599,07510
10515,572,07510
10517,27,07510
10518,148,07511
10519,154,07511
10520,98,07507
10523,256,07508
10524,260,07508
10525,258,07508
10526,259,07508
10527,222,07508
10528,254,07508
10529,253,07508
10530,491,07512
10532,479,07514
10535,368,07514
10536,369,07514
10538,435,07514
10539,54,07511
10540,11,07511
10541,49,07511
10542,65,07511
10543,68,07511
10544,65,07511
10546,645,07513
10547,40,07511
10549,129,07513
10551,50,07511
10552,84,07510
10553,84,07510
10554,84,07510
10555,84,07510
10564,7,07511
10566,561,07510
10567,16,07511
10572,562,07511
10573,5,07511
10575,573,07510
10576,609,07510
10581,583,07507
10582,613,07510
10585,269,07508
10586,261,07508
10587,547,07508
10590,44,07507
10593,168,07513
10594,473,07508
10595,439,07514
10596,433,07514
10597,471,07514
10598,468,07514
10600,343,07509
10601,370,07514
10602,370,07514
10604,66,07511
10605,54,07511
10606,54,07511
10607,55,07511
10608,55,07511
10609,59,07511
10610,65,07511
10611,59,07511
10612,66,07511
10613,646,07511
10614,40,07511
10627,492,07512
10628,282,07512
10632,12,07511
10635,12,07511
10637,16,07511
10642,98,07507
10646,39,07510
10649,290,07510
10650,290,07510
10654,627,07507
10655,188,07507
10658,188,07507
10659,626,07507
10660,629,07507
10665,168,07513
10666,429,07514
10667,438,07514
10668,139,07512
10669,142,07512
10670,142,07512
10671,140,07512
10675,564,07510
10677,590,07510
10680,39,07510
10681,517,07514
10683,108,07513
10684,326,07513
10685,272,07512
10686,291,07512
10693,461,07514
10695,461,07514
10696,463,07514
10697,471,07514
10698,471,07514
10699,461,07514
10700,439,07514
10701,439,07514
10702,81,07510
10703,38,07510
10704,81,07510
10705,254,07508
10706,223,07508
10707,316,07507
10708,316,07507
10711,193,07507
10713,194,07507
10714,235,07507
10716,193,07507
10717,196,07507
10718,315,07507
10720,315,07507
10721,233,07507
10722,234,07507
10724,387,07509
10725,455,07513
10726,154,07511
10727,191,07507
10728,191,07507
10731,648,07514
10734,573,07510
10735,605,07510
10736,167,07513
10743,157,07513
10744,158,07513
10745,129,07513
10750,109,07513
10751,459,07513
10753,105,07513
10754,459,07513
10756,230,07507
10760,71,07507
10761,254,07508
10762,217,07508
10763,216,07508
10764,249,07508
10765,481,07508
10766,248,07508
10767,250,07508
10768,250,07508
10769,649,07508
10770,277,07512
10771,277,07512
10772,331,07512
10773,331,07512
10774,277,07512
10775,243,07512
10776,107,07513
10780,102,07513
10782,102,07513
10783,102,07513
10786,303,07513
10787,603,07510
10790,443,07508
10791,442,07508
10793,519,07514
10795,184,07507
10798,150,07511
10801,155,07511
10803,154,07511
10805,109,07513
10806,109,07513
10809,239,07507
10810,237,07507
10811,319,07507
10812,319,07507
10813,71,07507
10814,42,07507
10817,71,07507
10818,451,07507
10819,42,07507
10822,610,07510
10823,88,07510
10834,508,07508
10835,482,07508
10837,252,07508
10838,252,07508
10839,377,07514
10840,479,07514
10843,558,07511
10847,558,07511
10848,557,07511
10849,7,07511
10850,8,07511
10851,14,07511
10852,14,07511
10853,512,07514
10854,515,07514
10856,381,07514
10857,381,07514
10858,146,07511
10859,146,07511
10860,189,07507
10861,192,07507
10863,625,07507
10864,625,07507
10865,120,07507
10866,121,07507
10867,121,07507
10868,121,07507
10871,101,07513
10873,284,07512
10874,332,07512
10876,478,07514
10877,3,07511
10878,128,07513
10879,106,07513
10881,210,07512
10882,207,07512
10883,210,07512
10884,75,07508
10885,244,07508
10886,543,07508
10887,244,07508
10889,140,07512
10890,143,07512
10891,144,07512
10892,238,07512
10893,275,07512
10894,273,07512
10895,238,07512
10896,273,07512
10897,506,07512
10898,505,07512
10899,484,07508
10900,523,07508
10901,523,07508
10902,510,07508
10904,270,07512
10906,529,07511
10907,414,07511
10908,412,07511
10909,411,07511
10910,529,07511
10911,528,07511
10912,409,07511
10913,413,07511
10914,412,07511
10915,413,07511
10916,291,07512
10917,291,07512
10920,565,07510
10922,564,07510
10924,46,07511
10925,24,07511
10927,22,07511
10929,61,07511
10930,64,07511
10933,187,07507
10934,450,07507
10936,579,07507
10937,579,07507
10938,71,07507
10939,452,07507
10940,189,07507
10941,240,07507
10944,123,07511
10947,622,07507
10948,623,07507
10950,393,07509
10951,466,07514
10955,145,07512
10956,145,07512
10957,484,07508
10958,523,07508
10959,650,07508
10961,509,07508
10962,525,07508
10964,530,07511
10965,529,07511
10966,647,07511
10967,412,07511
10970,291,07512
10972,583,07507
10975,553,07507
10976,553,07507
10977,43,07507
10978,126,07511
10982,429,07514
10983,438,07514
10984,438,07514
10985,435,07514
10986,345,07509
10989,342,07509
10990,342,07509
10991,440,07514
10992,464,07514
10993,464,07514
10994,469,07514
10995,469,07514
10996,374,07514
10997,63,07511
10999,58,07511
11001,47,07511
11002,545,07508
11004,547,07508
11005,256,07508
11006,262,07508
11008,251,07508
11011,377,07514
11013,476,07508
11014,510,07508
11015,472,07514
11018,71,07507
11021,304,07513
11026,271,07512
11027,12,07511
11028,85,07510
11031,85,07510
11033,583,07507
11038,621,07507
11039,553,07507
11041,43,07507
11042,43,07507
11044,43,07507
11046,152,07511
11051,126,07511
11055,94,07510
11056,308,07510
11059,85,07510
11060,269,07508
11062,256,07508
11063,251,07508
11064,482,07508
11065,249,07508
11067,377,07514
11068,480,07514
11071,35,07509
11073,330,07507
11074,607,07510
11075,607,07510
11079,461,07514
11080,474,07508
11081,473,07508
11082,462,07514
11083,573,07510
11085,433,07514
11086,479,07514
11087,465,07514
11090,479,07514
11092,368,07514
11093,370,07514
11094,434,07514
11095,435,07514
11096,56,07511
11097,53,07511
11098,11,07511
11099,54,07511
11100,49,07511
11101,48,07511
11102,56,07511
11103,55,07511
11104,55,07511
11106,68,07511
11107,645,07513
11108,65,07511
11109,65,07511
11118,366,07514
11120,428,07514
11121,358,07509
11122,385,07509
11125,390,07509
11127,349,07509
11128,597,07510
11129,597,07510
11130,353,07509
11132,326,07513
11133,326,07513
11134,67,07511
11135,646,07511
11136,67,07511
11138,39,07510
11139,606,07510
11145,605,07510
11146,94,07510
11147,448,07510
11148,448,07510
11149,289,07510
11150,448,07510
11151,440,07514
11152,440,07514
11153,463,07514
11154,463,07514
11155,465,07514
11156,465,07514
11157,468,07514
11159,435,07514
11160,367,07514
11162,53,07511
11163,53,07511
11164,48,07511
11165,48,07511
11166,54,07511
11167,56,07511
11168,54,07511
11169,58,07511
11171,68,07511
11172,29,07509
11173,31,07509
11174,175,07512
11175,176,07512
11176,203,07512
11177,213,07512
11178,214,07512
11179,213,07512
11180,179,07512
11181,178,07512
11182,206,07512
11183,206,07512
11184,207,07512
11186,537,07512
11190,255,07508
11191,249,07508
11192,216,07508
11195,277,07512
11196,274,07512
11198,144,07512
11199,493,07512
11200,538,07508
11201,506,07512
11203,502,07512
11204,501,07512
11205,503,07512
11206,145,07512
11207,492,07512
11208,503,07512
11210,208,07512
11211,209,07512
11213,646,07511
11216,437,07508
11221,451,07507
11222,189,07507
11223,311,07507
11224,311,07507
11225,311,07507
11226,311,07507
11228,121,07507
11229,171,07513
11230,171,07513
11231,109,07513
11232,108,07513
11234,641,07513
11236,644,07513
11237,242,07512
11238,242,07512
11239,195,07507
11240,314,07507
11241,314,07507
11242,156,07507
11243,314,07507
11245,184,07507
11250,86,07510
11251,608,07510
11257,573,07510
11259,418,07510
11260,382,07514
11261,383,07514
11263,7,07511
11264,115,07511
11267,151,07511
11268,99,07510
11269,188,07507
11270,188,07507
11274,120,07507
11280,220,07508
11283,3,07511
11284,93,07510
11287,235,07507
11293,118,07511
11294,114,07511
11297,449,07507
11298,114,07511
11299,115,07511
11300,114,07511
11301,114,07511
11302,115,07511
11303,115,07511
11304,115,07511
11306,151,07511
11307,125,07511
11309,125,07511
11312,129,07513
11315,107,07513
11316,104,07513
11319,305,07513
11323,357,07509
11324,357,07509
11326,394,07509
11328,317,07507
11329,334,07509
11330,338,07509
11332,360,07509
11333,360,07509
11335,338,07509
11337,562,07511
11339,37,07510
11341,590,07510
11342,590,07510
11343,606,07510
11344,418,07510
11345,418,07510
11347,572,07510
11349,598,07510
11350,86,07510
11351,19,07511
11352,572,07510
11353,295,07507
11355,623,07507
11358,105,07513
11359,185,07507
11360,104,07513
11361,534,07513
11367,345,07509
11368,325,07509
11369,325,07509
11371,349,07509
11374,324,07509
11375,157,07513
11376,157,07513
11377,61,07511
11378,147,07511
11381,155,07511
11382,155,07511
11384,154,07511
11385,313,07511
11386,109,07513
11388,108,07513
11389,109,07513
11390,112,07513
11391,240,07507
11392,319,07507
11393,319,07507
11394,280,07512
11396,561,07510
11397,561,07510
11398,418,07510
11399,98,07507
11401,599,07510
11402,569,07511
11403,561,07510
11405,21,07511
11409,236,07507
11411,573,07510
11418,418,07510
11419,286,07508
11422,26,07511
11423,147,07511
11424,22,07511
11425,64,07511
11426,82,07511
11427,83,07511
11429,70,07511
11431,190,07507
11432,579,07507
11433,452,07507
11434,579,07507
11435,450,07507
11436,452,07507
11437,320,07507
11438,320,07507
11439,240,07507
11440,239,07507
11441,239,07507
11442,239,07507
11444,158,07513
11449,151,07511
11453,79,07507
11454,228,07513
11457,200,07513
11459,235,07507
11461,339,07509
11462,561,07510
11463,418,07510
11464,561,07510
11466,119,07511
11467,154,07511
11468,146,07511
11469,123,07511
11471,574,07510
11473,310,07507
11474,39,07510
11475,288,07510
11476,593,07509
11485,429,07514
11486,429,07514
11487,438,07514
11489,369,07514
11490,436,07514
11491,342,07509
11492,389,07509
11495,464,07514
11496,465,07514
11497,372,07514
11498,374,07514
11499,469,07514
11500,480,07514
11501,470,07514
11502,49,07511
11504,59,07511
11505,59,07511
11506,59,07511
11508,58,07511
11509,202,07512
11512,488,07513
11513,225,07513
11514,418,07510
11515,403,07509
11517,27,07510
11522,262,07508
11523,264,07508
11524,260,07508
11525,257,07508
11527,259,07508
11529,489,07512
11530,238,07512
11531,238,07512
11533,273,07512
11541,84,07510
11544,614,07510
11547,613,07510
11548,582,07507
11549,582,07507
11550,583,07507
11557,152,07511
11558,152,07511
11560,153,07511
11569,286,07508
11574,330,07507
11578,278,07512
11579,283,07512
11582,282,07512
11585,289,07510
11586,448,07510
11587,289,07510
11588,289,07510
11589,289,07510
11590,321,07507
11591,198,07513
11594,198,07513
11597,161,07513
11598,184,07507
11599,636,07513
11600,157,07513
11601,317,07507
11602,284,07512
11603,101,07513
11604,101,07513
11605,101,07513
11606,110,07513
11610,237,07507
11611,68,07511
11612,65,07511
11613,40,07511
11614,12,07511
11615,574,07510
11616,84,07510
11617,85,07510
11618,612,07510
11620,612,07510
11622,583,07507
11623,583,07507
11625,274,07512
11626,241,07512
11627,242,07512
11628,482,07508
11629,481,07508
11630,482,07508
11631,195,07507
11632,195,07507
11633,314,07507
11634,156,07507
11635,185,07507
11638,314,07507
11640,314,07507
11641,314,07507
11642,162,07513
11643,162,07513
11646,167,07513
11647,280,07512
11648,280,07512
11649,280,07512
11653,297,07512
11656,104,07513
11658,107,07513
11661,426,07514
11664,431,07514
11666,477,07508
11667,305,07513
11669,156,07507
11670,315,07507
11673,323,07507
11674,340,07509
11676,340,07509
11677,302,07512
11678,473,07508
11679,17,07511
11680,106,07513
11681,210,07512
11682,212,07512
11683,210,07512
11684,211,07512
11685,209,07512
11686,545,07508
11687,75,07508
11692,98,07507
11693,619,07507
11694,419,07510
11697,343,07509
11698,615,07507
11699,573,07510
11701,615,07507
11703,121,07507
11708,160,07513
11715,106,07513
11716,329,07513
11717,296,07512
11719,108,07513
11726,318,07507
11727,198,07513
11728,200,07513
11730,341,07509
11731,562,07511
11735,601,07510
11736,597,07510
11737,126,07511
11741,158,07513
11744,129,07513
11746,218,07508
11747,437,07508
11752,428,07514
11754,431,07514
11756,337,07509
11757,334,07509
11759,128,07513
11762,455,07513
11764,485,07513
11767,456,07513
11768,456,07513
11769,460,07513
11770,460,07513
11771,601,07510
11773,380,07514
11774,597,07510
11785,324,07509
11786,306,07510
11790,586,07510
11792,167,07513
11794,491,07512
11795,490,07512
11796,503,07512
11797,505,07512
11798,506,07512
11799,498,07512
11800,503,07512
11801,504,07512
11802,163,07513
11803,162,07513
11804,167,07513
11805,167,07513
11806,280,07512
11807,332,07512
11809,296,07512
11814,642,07512
11816,71,07507
11817,451,07507
11818,42,07507
11819,451,07507
11820,310,07507
11821,311,07507
11822,625,07507
11823,121,07507
11824,167,07513
11826,107,07513
11828,104,07513
11831,300,07512
11839,324,07509
11842,146,07511
11843,279,07513
11845,492,07512
11846,492,07512
11847,262,07508
11848,505,07512
11851,507,07512
11852,505,07512
11853,507,07512
11854,501,07512
11855,502,07512
11856,503,07512
11861,280,07512
11864,272,07512
11867,101,07513
11868,101,07513
11869,102,07513
11871,583,07507
11874,394,07509
11879,325,07509
11881,349,07509
11882,345,07509
11884,352,07509
11887,82,07511
11888,153,07511
11889,150,07511
11890,153,07511
11891,152,07511
11892,150,07511
11893,313,07511
11894,107,07513
11895,107,07513
11897,109,07513
11901,538,07508
11902,540,07508
11903,256,07508
11907,259,07508
11908,259,07508
11911,491,07512
11912,489,07512
11913,493,07512
11914,275,07512
11915,483,07508
11916,650,07508
11917,523,07508
11920,509,07508
11921,270,07512
11922,270,07512
11923,530,07511
11924,647,07511
11925,559,07511
11927,341,07509
11929,564,07510
11930,564,07510
11932,45,07511
11933,62,07511
11934,15,07511
11937,147,07511
11938,64,07511
11939,64,07511
11940,187,07507
11941,190,07507
11942,579,07507
11943,579,07507
11944,450,07507
11945,450,07507
11946,450,07507
11947,71,07507
11948,450,07507
11949,71,07507
11950,452,07507
11951,71,07507
11952,191,07507
11953,191,07507
11954,191,07507
11957,240,07507
11961,191,07507
11964,143,07512
11965,143,07512
11966,483,07508
11967,508,07508
11969,524,07508
11972,414,07511
11973,412,07511
11974,530,07511
11975,528,07511
11976,412,07511
11977,529,07511
11978,413,07511
11979,291,07512
11983,279,07513
11984,37,07510
11985,417,07510
11988,569,07511
11989,598,07510
11991,598,07510
11992,86,07510
11993,86,07510
11997,438,07514
11998,461,07514
11999,345,07509
12001,436,07514
12002,375,07514
12003,375,07514
12004,470,07514
12005,372,07514
12006,390,07509
12007,374,07514
12008,390,07509
12009,51,07511
12010,59,07511
12011,63,07511
12012,45,07511
12014,47,07511
12016,15,07511
12017,18,07511
12020,82,07511
12023,44,07507
12027,291,07512
12028,7,07511
12035,570,07511
12036,45,07511
12037,16,07511
12039,168,07513
12040,168,07513
12041,279,07513
12045,644,07513
12046,614,07510
12050,43,07507
12052,116,07507
12054,43,07507
12057,622,07507
12060,56,07511
12064,154,07511
12070,186,07507
12071,240,07507
12072,72,07507
12073,322,07507
12074,361,07509
12075,361,07509
12078,297,07512
12079,302,07512
12083,209,07512
12084,211,07512
12086,547,07508
12091,603,07510
12092,567,07510
12093,567,07510
12094,89,07510
12095,86,07510
12096,608,07510
12097,87,07510
12098,417,07510
12099,417,07510
12103,477,07508
12104,475,07508
12107,292,07514
12110,127,07513
12113,616,07507
12114,98,07507
12119,297,07512
12120,325,07509
12121,324,07509
12122,350,07509
12123,350,07509
12124,350,07509
12127,28,07509
12130,358,07509
12131,392,07509
12132,394,07509
12133,423,07509
12134,244,07508
12135,544,07508
12136,543,07508
12137,544,07508
12138,244,07508
12139,263,07508
12140,205,07508
12141,333,07508
12142,141,07512
12143,142,07512
12144,142,07512
12145,140,07512
12146,141,07512
12147,140,07512
12149,561,07510
12153,362,07509
12156,168,07513
12157,164,07513
12159,499,07512
12160,499,07512
12161,283,07512
12162,281,07512
12163,281,07512
12164,296,07512
12168,124,07511
12169,438,07514
12170,443,07508
12171,444,07508
12172,444,07508
12173,474,07508
12176,585,07514
12178,430,07514
12179,429,07514
12180,366,07514
12181,14,07511
12182,570,07511
12188,354,07509
12191,391,07509
12192,396,07509
12193,395,07509
12194,338,07509
12195,336,07509
12196,425,07509
12197,33,07509
12201,538,07508
12202,262,07508
12203,262,07508
12204,540,07508
12205,257,07508
12207,260,07508
12208,260,07508
12209,260,07508
12210,259,07508
12211,540,07508
12212,222,07508
12214,489,07512
12215,493,07512
12216,491,07512
12217,493,07512
12219,505,07512
12221,484,07508
12222,523,07508
12223,477,07508
12225,441,07508
12226,476,07508
12227,518,07514
12229,519,07514
12230,513,07514
12232,394,07509
12233,285,07514
12236,460,07513
12237,485,07513
12238,485,07513
12241,229,07513
12242,136,07513
12243,137,07513
12245,230,07507
12246,237,07507
12248,295,07507
12251,311,07507
12252,311,07507
12259,404,07509
12270,13,07511
12271,5,07511
12274,85,07510
12278,101,07513
12280,103,07513
12281,102,07513
12282,305,07513
12283,303,07513
12284,603,07510
12285,604,07510
12286,86,07510
12288,417,07510
12290,600,07510
12291,600,07510
12293,454,07513
12295,227,07513
12303,355,07509
12305,392,07509
12306,386,07509
12307,384,07509
12309,396,07509
12310,396,07509
12311,423,07509
12312,338,07509
12314,485,07513
12315,485,07513
12316,456,07513
12317,456,07513
12318,487,07513
12319,487,07513
12320,486,07513
12321,488,07513
12322,488,07513
12323,486,07513
12324,136,07513
12325,635,07513
12326,138,07513
12327,138,07513
12328,138,07513
12329,229,07513
12330,232,07507
12331,237,07507
12333,107,07513
12339,604,07510
12341,86,07510
12342,567,07510
12343,87,07510
12344,87,07510
12346,415,07510
12348,416,07510
12349,601,07510
12353,571,07510
12354,600,07510
12356,128,07513
12358,106,07513
12361,109,07513
12362,459,07513
12363,236,07507
12364,236,07507
12365,319,07507
12366,310,07507
12368,451,07507
12369,189,07507
12370,192,07507
12372,310,07507
12373,116,07507
12377,121,07507
12382,108,07513
12383,102,07513
12384,103,07513
12387,303,07513
12390,568,07510
12391,566,07510
12392,37,07510
12393,566,07510
12394,564,07510
12395,417,07510
12397,599,07510
12398,569,07511
12400,89,07510
12401,89,07510
12402,89,07510
12409,278,07512
12410,645,07513
12412,418,07510
12414,644,07513
12415,605,07510
12418,239,07507
12419,239,07507
12421,123,07511
12423,98,07507
12427,393,07509
12428,466,07514
12430,467,07514
12431,424,07509
12433,345,07509
12434,388,07509
12435,386,07509
12436,347,07509
12438,347,07509
12439,347,07509
12440,325,07509
12442,572,07510
12446,397,07509
12447,387,07509
12451,167,07513
12452,144,07512
12454,507,07512
12455,502,07512
12458,505,07512
12459,506,07512
12460,500,07512
12461,503,07512
12462,498,07512
12463,497,07512
12464,163,07513
12465,163,07513
12466,167,07513
12467,332,07512
12469,329,07513
12473,190,07507
12474,190,07507
12475,191,07507
12476,320,07507
12488,621,07507
12489,466,07514
12491,467,07514
12492,394,07509
12494,325,07509
12495,325,07509
12496,324,07509
12498,347,07509
12499,347,07509
12500,570,07511
12501,5,07511
12506,609,07510
12509,547,07508
12514,508,07508
12515,250,07508
12516,478,07514
12517,510,07508
12518,473,07508
12521,380,07514
12522,509,07508
12523,526,07508
12524,521,07514
12525,521,07514
12527,378,07514
12529,531,07514
12530,520,07514
12531,532,07514
12532,532,07514
12533,532,07514
12534,528,07511
12538,369,07514
12539,429,07514
12540,436,07514
12541,388,07509
12542,434,07514
12543,435,07514
12544,374,07514
12545,469,07514
12546,468,07514
12547,470,07514
12548,470,07514
12549,470,07514
12550,373,07514
12551,373,07514
12552,50,07511
12553,58,07511
12554,63,07511
12555,62,07511
12557,47,07511
12558,46,07511
12561,544,07508
12562,544,07508
12563,205,07508
12564,263,07508
12567,140,07512
12568,141,07512
12569,141,07512
12570,492,07512
12572,562,07511
12574,360,07509
12577,511,07514
12578,571,07510
12582,571,07510
12588,201,07513
12591,294,07507
12595,123,07511
12599,475,07508
12600,473,07508
12601,428,07514
12602,428,07514
12604,428,07514
12605,33,07509
12607,112,07513
12608,455,07513
12611,531,07514
12616,103,07513
12617,108,07513
12618,326,07513
12619,305,07513
12623,302,07512
12628,1,07511
12629,3,07511
12630,570,07511
12632,2,07511
12633,2,07511
12634,17,07511
12635,16,07511
12636,20,07511
12641,485,07513
12642,453,07513
12643,460,07513
12644,486,07513
12645,135,07513
12646,135,07513
12648,232,07507
12649,232,07507
12654,117,07507
12656,627,07507
12657,117,07507
12658,117,07507
12659,344,07507
12660,627,07507
12661,122,07507
12662,98,07507
12665,650,07508
12668,524,07508
12670,525,07508
12671,414,07511
12672,270,07512
12673,414,07511
12674,422,07511
12676,341,07509
12680,417,07510
12682,599,07510
12683,602,07510
12684,598,07510
12686,408,07514
12691,599,07510
12692,382,07514
12694,382,07514
12695,5,07511
12700,99,07510
12701,117,07507
12702,631,07507
12703,344,07507
12704,344,07507
12705,627,07507
12706,122,07507
12707,628,07507
12715,609,07510
12718,84,07510
12720,205,07508
12725,638,07513
12727,458,07513
12732,167,07513
12733,163,07513
12734,504,07512
12735,504,07512
12737,498,07512
12738,495,07512
12739,494,07512
12740,283,07512
12741,282,07512
12742,495,07512
12744,496,07512
12745,326,07513
12747,302,07512
12749,305,07513
12750,295,07507
12751,295,07507
12753,121,07507
12754,295,07507
12756,117,07507
12757,344,07507
12758,344,07507
12759,627,07507
12760,121,07507
12769,30,07509
12771,551,07509
12772,30,07509
12773,400,07509
12774,405,07509
12776,31,07509
12777,335,07509
12779,595,07509
12780,458,07513
12785,626,07507
12786,162,07513
12787,162,07513
12788,496,07512
12789,165,07513
12790,166,07513
12791,165,07513
12792,170,07513
12793,494,07512
12794,500,07512
12795,498,07512
12796,494,07512
12797,499,07512
12798,282,07512
12801,282,07512
12802,281,07512
12803,281,07512
12805,281,07512
12808,303,07513
12811,296,07512
12812,352,07509
12813,352,07509
12814,350,07509
12816,355,07509
12817,393,07509
12818,385,07509
12819,384,07509
12820,398,07509
12821,338,07509
12822,336,07509
12824,112,07513
12825,128,07513
12826,128,07513
12827,485,07513
12828,453,07513
12829,460,07513
12830,460,07513
12831,229,07513
12832,138,07513
12833,134,07513
12834,134,07513
12838,502,07512
12839,503,07512
12840,502,07512
12841,503,07512
12842,507,07512
12843,500,07512
12844,502,07512
12845,497,07512
12846,497,07512
12847,211,07512
12848,167,07513
12849,280,07512
12851,642,07512
12855,101,07513
12860,103,07513
12862,603,07510
12863,603,07510
12864,70,07511
12865,70,07511
12868,60,07511
12870,149,07511
12872,105,07513
12873,105,07513
12874,109,07513
12875,112,07513
12876,128,07513
12877,236,07507
12878,236,07507
12879,240,07507
12880,239,07507
12881,451,07507
12883,42,07507
12884,626,07507
12885,626,07507
12886,189,07507
12887,310,07507
12888,310,07507
12890,121,07507
12891,168,07513
12895,329,07513
12896,329,07513
12897,329,07513
12898,642,07512
12902,104,07513
12906,641,07513
12911,304,07513
12913,603,07510
12915,86,07510
12918,87,07510
12920,86,07510
12921,87,07510
12922,87,07510
12923,386,07509
12924,385,07509
12927,157,07513
12928,307,07510
12934,153,07511
12937,105,07513
12938,105,07513
12939,459,07513
12940,109,07513
12941,239,07507
12942,237,07507
