MAZ,num_hh,total_pop,gq_pop,gq_military,gq_university,gq_other,numhh_gq
10229.0,54,164,0,0,0,0,54
10230.0,75,168,0,0,0,0,75
10231.0,67,175,0,0,0,0,67
10232.0,33,62,0,0,0,0,33
10233.0,13,44,0,0,0,0,13
10234.0,73,178,0,0,0,0,73
10235.0,35,82,0,0,0,0,35
10236.0,45,109,0,0,0,0,45
10241.0,39,141,0,0,0,0,39
10242.0,47,191,0,0,0,0,47
10247.0,60,111,0,0,0,0,60
10248.0,78,146,0,0,0,0,78
10249.0,38,80,0,0,0,0,38
10250.0,108,244,0,0,0,0,108
10251.0,90,199,0,0,0,0,90
10252.0,70,140,0,0,0,0,70
10253.0,51,152,17,0,0,17,68
10254.0,177,365,0,0,0,0,177
10255.0,115,239,0,0,0,0,115
10256.0,131,246,0,0,0,0,131
10257.0,68,194,4,0,0,4,72
10258.0,68,179,0,0,0,0,68
10259.0,0,7,7,0,0,7,7
10260.0,3,14,0,0,0,0,3
10261.0,0,89,51,0,0,51,51
10262.0,311,408,0,0,0,0,311
10263.0,0,0,0,0,0,0,0
10265.0,593,974,60,0,0,60,653
10266.0,138,245,0,0,0,0,138
10268.0,157,237,46,0,0,46,203
10269.0,101,128,15,0,0,15,116
10270.0,120,248,0,0,0,0,120
10271.0,100,180,8,0,0,8,108
10272.0,134,262,0,0,0,0,134
10273.0,174,303,8,0,0,8,182
10274.0,140,367,0,0,0,0,140
10275.0,16,21,0,0,0,0,16
10276.0,0,0,0,0,0,0,0
10277.0,17,142,92,0,0,92,109
10278.0,106,349,10,0,0,10,116
10279.0,261,385,0,0,0,0,261
10280.0,38,80,9,0,0,9,47
10281.0,87,271,0,0,0,0,87
10282.0,0,37,37,0,0,37,37
10283.0,27,41,0,0,0,0,27
10284.0,80,128,0,0,0,0,80
10287.0,47,119,0,0,0,0,47
10288.0,60,212,0,0,0,0,60
10289.0,71,148,0,0,0,0,71
10290.0,70,213,16,0,0,16,86
10292.0,102,267,0,0,0,0,102
10295.0,43,66,0,0,0,0,43
10300.0,127,313,0,0,0,0,127
10302.0,111,207,0,0,0,0,111
10308.0,340,420,0,0,0,0,340
10309.0,133,281,0,0,0,0,133
10310.0,51,109,0,0,0,0,51
10312.0,109,272,0,0,0,0,109
10313.0,87,196,0,0,0,0,87
10315.0,30,82,0,0,0,0,30
10316.0,88,185,0,0,0,0,88
10317.0,94,213,0,0,0,0,94
10321.0,93,210,0,0,0,0,93
10322.0,57,103,0,0,0,0,57
