MAZ_NODE,numhh,numhh_gq,gq_type_univ,gq_type_noninst
10399,13,13,0,0
10400,70,70,0,0
10401,175,175,0,0
10402,18,18,0,0
10403,75,75,0,0
10405,77,77,0,0
10411,44,44,0,0
10413,135,135,0,0
10414,118,118,0,0
10416,116,116,0,0
10417,109,109,0,0
10418,125,125,0,0
10419,119,119,0,0
10420,104,104,0,0
10421,56,56,0,0
10424,49,49,0,0
10425,79,79,0,0
10427,20,20,0,0
10428,25,25,0,0
10429,50,50,0,0
10430,46,46,0,0
10431,28,28,0,0
10432,49,61,0,12
10433,38,38,0,0
10434,37,37,0,0
10435,40,40,0,0
10436,57,57,0,0
10437,53,53,0,0
10438,147,147,0,0
10440,38,38,0,0
10441,77,77,0,0
10443,56,56,0,0
10444,42,42,0,0
10445,206,206,0,0
10446,86,86,0,0
10447,0,0,0,0
10450,31,31,0,0
10452,32,32,0,0
10454,490,672,0,182
10455,15,24,0,9
10456,504,1349,0,845
10457,174,254,0,80
10458,22,22,0,0
10460,33,34,0,1
10462,214,214,0,0
10463,32,32,0,0
10464,40,40,0,0
10466,60,60,0,0
10467,50,50,0,0
10468,110,110,0,0
10469,71,71,0,0
10470,78,78,0,0
10472,32,32,0,0
10473,67,67,0,0
10474,99,99,0,0
10476,0,88,0,88
10477,62,62,0,0
10482,0,10,0,10
10483,0,3,0,3
10484,148,148,0,0
10486,133,133,0,0
10487,166,166,0,0
10488,48,48,0,0
10489,125,125,0,0
10490,206,206,0,0
10493,170,170,0,0
10494,67,93,8,18
10496,180,180,0,0
10498,182,182,0,0
10499,219,219,0,0
10501,190,190,0,0
10503,129,129,0,0
10504,83,83,0,0
10507,91,91,0,0
10508,73,73,0,0
10509,91,91,0,0
10512,812,812,0,0
10514,121,125,0,4
10515,112,156,0,44
10517,47,53,0,6
10518,111,111,0,0
10519,53,53,0,0
10520,0,0,0,0
10523,142,142,0,0
10524,74,74,0,0
10525,76,76,0,0
10526,100,100,0,0
10527,133,133,0,0
10528,59,59,0,0
10529,68,68,0,0
10530,53,58,0,5
10532,367,367,0,0
10535,163,163,0,0
10536,90,90,0,0
10538,86,86,0,0
10539,78,82,0,4
10540,83,83,0,0
10541,82,82,0,0
10542,46,46,0,0
10543,114,114,0,0
10544,50,50,0,0
10546,32,32,0,0
10547,28,28,0,0
10549,9,9,0,0
10551,50,50,0,0
10552,57,61,0,4
10553,143,143,0,0
10554,194,194,0,0
10555,208,208,0,0
10564,94,94,0,0
10566,61,68,0,7
10567,137,137,0,0
10572,0,2,0,2
10573,133,133,0,0
10575,0,0,0,0
10576,65,65,0,0
10581,0,0,0,0
10582,0,0,0,0
10585,85,85,0,0
10586,94,94,0,0
10587,124,124,0,0
10590,109,109,0,0
10593,0,0,0,0
10594,87,89,0,2
10595,101,101,0,0
10596,125,125,0,0
10597,18,18,0,0
10598,55,55,0,0
10600,0,0,0,0
10601,138,138,0,0
10602,145,145,0,0
10604,66,66,0,0
10605,38,38,0,0
10606,76,76,0,0
10607,45,45,0,0
10608,54,54,0,0
10609,0,0,0,0
10610,22,22,0,0
10611,107,107,0,0
10612,301,301,0,0
10613,38,38,0,0
10614,78,78,0,0
10627,40,40,0,0
10628,31,31,0,0
10632,100,100,0,0
10635,68,83,0,15
10637,107,107,0,0
10642,28,28,0,0
10646,127,127,0,0
10649,256,256,0,0
10650,293,293,0,0
10654,65,65,0,0
10655,34,52,0,18
10658,0,0,0,0
10659,45,95,0,50
10660,32,50,0,18
10665,48,48,0,0
10666,35,35,0,0
10667,30,30,0,0
10668,64,64,0,0
10669,64,64,0,0
10670,79,79,0,0
10671,79,95,0,16
10675,1493,1582,0,89
10677,78,78,0,0
10680,22,42,0,20
10681,124,124,0,0
10683,20,20,0,0
10684,27,27,0,0
10685,40,40,0,0
10686,24,24,0,0
10693,98,98,0,0
10695,84,84,0,0
10696,0,0,0,0
10697,93,93,0,0
10698,110,110,0,0
10699,73,85,0,12
10700,17,19,0,2
10701,53,53,0,0
10702,1,1,0,0
10703,1,1,0,0
10704,42,42,0,0
10705,54,54,0,0
10706,104,147,0,43
10707,58,58,0,0
10708,65,65,0,0
10711,39,39,0,0
10713,64,64,0,0
10714,68,68,0,0
10716,35,35,0,0
10717,60,60,0,0
10718,62,62,0,0
10720,55,55,0,0
10721,48,48,0,0
10722,64,64,0,0
10724,174,174,0,0
10725,59,59,0,0
10726,108,108,0,0
10727,33,33,0,0
10728,35,35,0,0
10731,0,0,0,0
10734,149,149,0,0
10735,0,0,0,0
10736,9,9,0,0
10743,45,45,0,0
10744,98,98,0,0
10745,59,59,0,0
10750,31,31,0,0
10751,54,54,0,0
10753,48,48,0,0
10754,52,52,0,0
10756,52,52,0,0
10760,60,60,0,0
10761,53,53,0,0
10762,148,148,0,0
10763,115,115,0,0
10764,133,133,0,0
10765,60,60,0,0
10766,52,52,0,0
10767,55,64,0,9
10768,129,129,0,0
10769,33,142,0,109
10770,182,182,0,0
10771,134,134,0,0
10772,88,88,0,0
10773,121,121,0,0
10774,94,94,0,0
10775,58,58,0,0
10776,22,22,0,0
10780,29,29,0,0
10782,61,61,0,0
10783,44,44,0,0
10786,25,25,0,0
10787,0,0,0,0
10790,36,36,0,0
10791,39,39,0,0
10793,283,283,0,0
10795,42,42,0,0
10798,30,41,0,11
10801,89,89,0,0
10803,120,120,0,0
10805,24,24,0,0
10806,39,39,0,0
10809,3,3,0,0
10810,87,87,0,0
10811,48,48,0,0
10812,36,39,0,3
10813,44,51,0,7
10814,185,185,0,0
10817,47,47,0,0
10818,47,47,0,0
10819,61,61,0,0
10822,2,2,0,0
10823,35,35,0,0
10834,92,92,0,0
10835,60,91,0,31
10837,135,135,0,0
10838,106,106,0,0
10839,0,0,0,0
10840,0,0,0,0
10843,48,48,0,0
10847,71,71,0,0
10848,84,90,0,6
10849,95,95,0,0
10850,78,78,0,0
10851,87,87,0,0
10852,104,104,0,0
10853,203,203,0,0
10854,28,28,0,0
10856,199,199,0,0
10857,155,155,0,0
10858,53,53,0,0
10859,74,74,0,0
10860,42,42,0,0
10861,33,33,0,0
10863,629,685,0,56
10864,18,18,0,0
10865,48,48,0,0
10866,45,45,0,0
10867,53,53,0,0
10868,31,31,0,0
10871,228,243,0,15
10873,48,48,0,0
10874,143,143,0,0
10876,47,47,0,0
10877,97,97,0,0
10878,42,42,0,0
10879,69,69,0,0
10881,68,73,0,5
10882,55,55,0,0
10883,87,87,0,0
10884,122,122,0,0
10885,0,0,0,0
10886,57,57,0,0
10887,134,134,0,0
10889,94,94,0,0
10890,50,50,0,0
10891,55,55,0,0
10892,133,133,0,0
10893,89,89,0,0
10894,84,84,0,0
10895,188,188,0,0
10896,150,150,0,0
10897,58,58,0,0
10898,53,53,0,0
10899,72,83,0,11
10900,54,64,0,10
10901,75,86,0,11
10902,82,82,0,0
10904,157,157,0,0
10906,131,131,0,0
10907,69,70,0,1
10908,107,107,0,0
10909,114,114,0,0
10910,87,87,0,0
10911,99,113,0,14
10912,105,105,0,0
10913,49,49,0,0
10914,68,68,0,0
10915,60,60,0,0
10916,37,37,0,0
10917,32,32,0,0
10920,0,0,0,0
10922,27,42,0,15
10924,56,56,0,0
10925,65,65,0,0
10927,212,212,0,0
10929,61,61,0,0
10930,122,122,0,0
10933,31,31,0,0
10934,24,24,0,0
10936,42,42,0,0
10937,85,85,0,0
10938,44,44,0,0
10939,41,41,0,0
10940,37,37,0,0
10941,55,55,0,0
10944,29,41,0,12
10947,122,122,0,0
10948,312,312,0,0
10950,280,280,0,0
10951,258,258,0,0
10955,52,52,0,0
10956,55,55,0,0
10957,33,33,0,0
10958,57,57,0,0
10959,111,789,609,69
10961,99,99,0,0
10962,105,105,0,0
10964,41,51,0,10
10965,91,110,0,19
10966,218,218,0,0
10967,77,77,0,0
10970,48,48,0,0
10972,1,57,0,56
10975,91,120,0,29
10976,74,74,0,0
10977,55,55,0,0
10978,48,48,0,0
10982,57,57,0,0
10983,50,50,0,0
10984,67,67,0,0
10985,103,103,0,0
10986,83,83,0,0
10989,117,117,0,0
10990,103,103,0,0
10991,152,152,0,0
10992,114,114,0,0
10993,138,156,0,18
10994,100,100,0,0
10995,104,104,0,0
10996,253,289,36,0
10997,98,98,0,0
10999,83,83,0,0
11001,97,97,0,0
11002,18,18,0,0
11004,85,85,0,0
11005,81,81,0,0
11006,87,87,0,0
11008,170,170,0,0
11011,0,0,0,0
11013,0,0,0,0
11014,0,0,0,0
11015,32,32,0,0
11018,54,59,0,5
11021,79,79,0,0
11026,406,438,32,0
11027,80,80,0,0
11028,87,87,0,0
11031,0,0,0,0
11033,1,13,0,12
11038,0,0,0,0
11039,86,86,0,0
11041,40,40,0,0
11042,50,50,0,0
11044,49,51,0,2
11046,89,89,0,0
11051,68,75,0,7
11055,77,77,0,0
11056,61,68,0,7
11059,110,110,0,0
11060,61,61,0,0
11062,70,70,0,0
11063,96,105,0,9
11064,113,113,0,0
11065,7,96,89,0
11067,130,130,0,0
11068,114,114,0,0
11071,785,793,0,8
11073,217,217,0,0
11074,0,0,0,0
11075,256,256,0,0
11079,136,136,0,0
11080,76,76,0,0
11081,82,82,0,0
11082,103,103,0,0
11083,175,175,0,0
11085,86,86,0,0
11086,0,9,0,9
11087,72,72,0,0
11090,221,221,0,0
11092,131,131,0,0
11093,357,357,0,0
11094,91,91,0,0
11095,140,140,0,0
11096,72,72,0,0
11097,66,66,0,0
11098,64,64,0,0
11099,59,59,0,0
11100,65,65,0,0
11101,54,54,0,0
11102,70,70,0,0
11103,90,90,0,0
11104,70,70,0,0
11106,40,40,0,0
11107,52,52,0,0
11108,81,81,0,0
11109,58,58,0,0
11118,155,155,0,0
11120,56,56,0,0
11121,213,213,0,0
11122,239,239,0,0
11125,138,138,0,0
11127,106,106,0,0
11128,0,0,0,0
11129,0,3,0,3
11130,0,2,0,2
11132,197,197,0,0
11133,41,41,0,0
11134,117,117,0,0
11135,140,140,0,0
11136,65,65,0,0
11138,92,92,0,0
11139,236,236,0,0
11145,27,27,0,0
11146,41,41,0,0
11147,22,22,0,0
11148,49,49,0,0
11149,1,7,0,6
11150,149,149,0,0
11151,235,235,0,0
11152,162,162,0,0
11153,191,191,0,0
11154,107,107,0,0
11155,116,116,0,0
11156,156,156,0,0
11157,77,77,0,0
11159,81,81,0,0
11160,152,152,0,0
11162,77,77,0,0
11163,50,50,0,0
11164,60,60,0,0
11165,59,59,0,0
11166,89,89,0,0
11167,50,50,0,0
11168,75,81,0,6
11169,95,95,0,0
11171,88,88,0,0
11172,365,365,0,0
11173,113,113,0,0
11174,80,82,0,2
11175,74,74,0,0
11176,58,58,0,0
11177,68,68,0,0
11178,54,54,0,0
11179,58,58,0,0
11180,49,49,0,0
11181,56,56,0,0
11182,57,57,0,0
11183,58,58,0,0
11184,0,0,0,0
11186,78,78,0,0
11190,78,78,0,0
11191,112,112,0,0
11192,109,109,0,0
11195,108,113,0,5
11196,87,87,0,0
11198,58,58,0,0
11199,75,75,0,0
11200,150,150,0,0
11201,53,53,0,0
11203,58,58,0,0
11204,55,55,0,0
11205,51,51,0,0
11206,0,0,0,0
11207,68,68,0,0
11208,53,53,0,0
11210,71,71,0,0
11211,63,63,0,0
11213,489,489,0,0
11216,95,95,0,0
11221,47,47,0,0
11222,57,57,0,0
11223,68,68,0,0
11224,20,20,0,0
11225,41,41,0,0
11226,0,0,0,0
11228,2,2,0,0
11229,30,30,0,0
11230,26,26,0,0
11231,26,26,0,0
11232,14,14,0,0
11234,39,39,0,0
11236,74,74,0,0
11237,67,67,0,0
11238,94,94,0,0
11239,21,21,0,0
11240,57,57,0,0
11241,55,55,0,0
11242,66,66,0,0
11243,56,56,0,0
11245,191,191,0,0
11250,36,52,0,16
11251,81,81,0,0
11257,17,19,0,2
11259,192,197,0,5
11260,196,196,0,0
11261,291,291,0,0
11263,149,149,0,0
11264,98,98,0,0
11267,59,59,0,0
11268,89,89,0,0
11269,68,68,0,0
11270,17,17,0,0
11274,46,46,0,0
11280,21,21,0,0
11283,216,216,0,0
11284,58,58,0,0
11287,59,59,0,0
11293,69,69,0,0
11294,27,27,0,0
11297,30,30,0,0
11298,4,4,0,0
11299,18,18,0,0
11300,56,56,0,0
11301,86,86,0,0
11302,30,30,0,0
11303,61,61,0,0
11304,41,41,0,0
11306,82,82,0,0
11307,76,76,0,0
11309,107,107,0,0
11312,90,90,0,0
11315,19,19,0,0
11316,50,58,0,8
11319,94,94,0,0
11323,159,159,0,0
11324,172,252,0,80
11326,276,276,0,0
11328,427,427,0,0
11329,437,518,79,2
11330,173,227,0,54
11332,976,976,0,0
11333,157,157,0,0
11335,101,133,0,32
11337,140,217,0,77
11339,80,102,0,22
11341,79,81,0,2
11342,0,2,0,2
11343,459,476,0,17
11344,26,26,0,0
11345,22,22,0,0
11347,9,12,0,3
11349,0,0,0,0
11350,54,54,0,0
11351,71,78,0,7
11352,0,47,0,47
11353,40,40,0,0
11355,474,474,0,0
11358,70,70,0,0
11359,46,46,0,0
11360,67,67,0,0
11361,0,0,0,0
11367,58,58,0,0
11368,0,10,0,10
11369,0,0,0,0
11371,194,194,0,0
11374,35,35,0,0
11375,47,47,0,0
11376,162,162,0,0
11377,116,116,0,0
11378,204,204,0,0
11381,108,108,0,0
11382,94,94,0,0
11384,214,214,0,0
11385,46,46,0,0
11386,34,41,0,7
11388,35,35,0,0
11389,23,23,0,0
11390,21,21,0,0
11391,49,49,0,0
11392,55,55,0,0
11393,77,77,0,0
11394,53,53,0,0
11396,87,87,0,0
11397,18,40,0,22
11398,127,127,0,0
11399,68,68,0,0
11401,41,48,0,7
11402,110,110,0,0
11403,19,19,0,0
11405,117,117,0,0
11409,103,103,0,0
11411,40,40,0,0
11418,71,71,0,0
11419,54,54,0,0
11422,98,191,0,93
11423,142,149,0,7
11424,129,129,0,0
11425,85,85,0,0
11426,96,96,0,0
11427,90,90,0,0
11429,59,59,0,0
11431,37,37,0,0
11432,48,48,0,0
11433,45,45,0,0
11434,63,63,0,0
11435,23,23,0,0
11436,35,35,0,0
11437,87,87,0,0
11438,91,91,0,0
11439,180,180,0,0
11440,58,58,0,0
11441,50,50,0,0
11442,57,57,0,0
11444,0,0,0,0
11449,117,117,0,0
11452,547,547,0,0
11453,3,3,0,0
11454,164,167,0,3
11457,48,48,0,0
11459,86,86,0,0
11461,371,464,0,93
11462,96,110,0,14
11463,157,311,0,154
11464,22,22,0,0
11466,53,53,0,0
11467,73,73,0,0
11468,75,80,0,5
11469,107,107,0,0
11471,60,60,0,0
11473,55,55,0,0
11474,52,57,0,5
11475,0,0,0,0
11476,0,0,0,0
11477,1,473,0,472
11478,394,436,0,42
11479,242,297,0,55
11485,58,58,0,0
11486,44,44,0,0
11487,17,17,0,0
11489,213,213,0,0
11490,103,113,0,10
11491,109,109,0,0
11492,171,171,0,0
11495,98,98,0,0
11496,71,71,0,0
11497,233,233,0,0
11498,124,124,0,0
11499,111,111,0,0
11500,0,0,0,0
11501,240,240,0,0
11502,85,85,0,0
11504,80,80,0,0
11505,81,81,0,0
11506,62,62,0,0
11508,97,97,0,0
11509,0,0,0,0
11512,401,401,0,0
11513,49,49,0,0
11514,365,365,0,0
11515,3,3,0,0
11517,0,0,0,0
11522,100,100,0,0
11523,84,84,0,0
11524,113,113,0,0
11525,110,126,0,16
11527,107,107,0,0
11529,133,133,0,0
11530,150,150,0,0
11531,73,73,0,0
11533,77,77,0,0
11541,47,47,0,0
11544,0,0,0,0
11547,0,0,0,0
11548,0,0,0,0
11549,0,0,0,0
11550,0,2,0,2
11557,115,115,0,0
11558,91,91,0,0
11560,49,49,0,0
11569,329,329,0,0
11574,16,16,0,0
11578,61,61,0,0
11579,48,48,0,0
11582,34,34,0,0
11585,367,367,0,0
11586,69,69,0,0
11587,0,0,0,0
11588,0,0,0,0
11589,0,0,0,0
11590,290,290,0,0
11591,1,1,0,0
11594,0,0,0,0
11597,82,82,0,0
11598,64,72,0,8
11599,76,76,0,0
11600,73,73,0,0
11601,122,148,0,26
11602,47,47,0,0
11603,51,51,0,0
11604,53,53,0,0
11605,71,71,0,0
11606,49,49,0,0
11610,66,66,0,0
11611,13,13,0,0
11612,46,46,0,0
11613,95,95,0,0
11614,37,37,0,0
11615,84,84,0,0
11616,148,360,212,0
11617,186,186,0,0
11618,0,0,0,0
11620,0,2,0,2
11622,33,40,0,7
11623,0,0,0,0
11625,83,83,0,0
11626,32,32,0,0
11627,96,100,0,4
11628,51,51,0,0
11629,48,48,0,0
11630,38,38,0,0
11631,52,52,0,0
11632,75,75,0,0
11633,55,55,0,0
11634,51,51,0,0
11635,74,74,0,0
11638,42,42,0,0
11640,56,56,0,0
11641,39,39,0,0
11642,73,73,0,0
11643,66,66,0,0
11646,33,33,0,0
11647,58,58,0,0
11648,69,69,0,0
11649,101,101,0,0
11653,28,28,0,0
11656,16,16,0,0
11658,57,57,0,0
11661,113,113,0,0
11664,71,71,0,0
11666,85,85,0,0
11667,36,36,0,0
11669,36,36,0,0
11670,64,64,0,0
11673,38,38,0,0
11674,530,609,0,79
11676,820,934,0,114
11677,38,38,0,0
11678,131,131,0,0
11679,329,334,0,5
11680,55,55,0,0
11681,77,77,0,0
11682,84,84,0,0
11683,73,73,0,0
11684,51,51,0,0
11685,61,61,0,0
11686,153,153,0,0
11687,84,84,0,0
11692,39,39,0,0
11693,1,56,0,55
11694,714,722,0,8
11697,83,83,0,0
11698,77,77,0,0
11699,58,58,0,0
11701,72,72,0,0
11703,1,1,0,0
11708,13,13,0,0
11715,18,18,0,0
11716,53,53,0,0
11717,65,65,0,0
11719,27,27,0,0
11726,76,76,0,0
11727,46,46,0,0
11728,48,48,0,0
11730,199,235,0,36
11731,0,0,0,0
11735,7,7,0,0
11736,374,374,0,0
11737,82,82,0,0
11741,37,37,0,0
11744,94,94,0,0
11746,71,71,0,0
11747,61,61,0,0
11752,51,51,0,0
11754,86,86,0,0
11756,522,522,0,0
11757,423,423,0,0
11759,26,26,0,0
11762,77,77,0,0
11764,76,76,0,0
11767,76,76,0,0
11768,85,85,0,0
11769,48,48,0,0
11770,50,50,0,0
11771,93,145,0,52
11773,143,143,0,0
11774,50,50,0,0
11785,0,2,0,2
11786,0,0,0,0
11790,322,474,0,152
11792,39,39,0,0
11794,87,87,0,0
11795,58,58,0,0
11796,44,44,0,0
11797,64,64,0,0
11798,61,61,0,0
11799,0,0,0,0
11800,57,57,0,0
11801,64,64,0,0
11802,50,50,0,0
11803,56,56,0,0
11804,26,26,0,0
11805,44,44,0,0
11806,109,109,0,0
11807,63,63,0,0
11809,70,70,0,0
11814,20,20,0,0
11816,18,18,0,0
11817,65,65,0,0
11818,73,73,0,0
11819,31,31,0,0
11820,78,78,0,0
11821,48,48,0,0
11822,8,8,0,0
11823,50,50,0,0
11824,39,58,0,19
11826,0,0,0,0
11828,38,38,0,0
11831,144,147,0,3
11839,285,285,0,0
11842,35,35,0,0
11843,67,79,0,12
11845,93,93,0,0
11846,83,93,0,10
11847,148,148,0,0
11848,49,49,0,0
11851,58,58,0,0
11852,31,31,0,0
11853,48,48,0,0
11854,53,53,0,0
11855,51,51,0,0
11856,48,48,0,0
11861,84,84,0,0
11864,118,118,0,0
11867,29,29,0,0
11868,18,18,0,0
11869,23,23,0,0
11871,0,0,0,0
11874,137,181,0,44
11879,2,5,0,3
11881,34,34,0,0
11882,63,63,0,0
11884,86,86,0,0
11887,106,106,0,0
11888,106,106,0,0
11889,48,48,0,0
11890,81,81,0,0
11891,61,61,0,0
11892,63,63,0,0
11893,87,87,0,0
11894,57,57,0,0
11895,58,58,0,0
11897,35,35,0,0
11901,124,124,0,0
11902,64,64,0,0
11903,53,53,0,0
11907,113,113,0,0
11908,88,88,0,0
11911,80,80,0,0
11912,138,138,0,0
11913,51,51,0,0
11914,72,72,0,0
11915,52,52,0,0
11916,96,96,0,0
11917,171,171,0,0
11920,155,155,0,0
11921,139,139,0,0
11922,151,151,0,0
11923,146,155,0,9
11924,63,63,0,0
11925,101,101,0,0
11927,0,9,0,9
11929,90,90,0,0
11930,200,205,0,5
11932,101,115,0,14
11933,77,77,0,0
11934,100,100,0,0
11937,90,90,0,0
11938,74,74,0,0
11939,100,100,0,0
11940,39,39,0,0
11941,39,39,0,0
11942,59,59,0,0
11943,84,84,0,0
11944,79,79,0,0
11945,68,68,0,0
11946,42,42,0,0
11947,43,43,0,0
11948,45,45,0,0
11949,51,51,0,0
11950,42,42,0,0
11951,39,39,0,0
11952,40,40,0,0
11953,39,39,0,0
11954,40,40,0,0
11957,41,41,0,0
11961,38,38,0,0
11964,54,54,0,0
11965,55,55,0,0
11966,48,48,0,0
11967,167,167,0,0
11969,116,116,0,0
11972,191,191,0,0
11973,90,90,0,0
11974,85,85,0,0
11975,100,100,0,0
11976,95,95,0,0
11977,65,73,0,8
11978,56,56,0,0
11979,98,98,0,0
11983,0,40,0,40
11984,199,199,0,0
11985,123,135,0,12
11988,80,80,0,0
11989,72,92,0,20
11991,2,2,0,0
11992,3,3,0,0
11993,61,61,0,0
11997,108,108,0,0
11998,77,77,0,0
11999,101,101,0,0
12001,208,208,0,0
12002,219,219,0,0
12003,103,103,0,0
12004,187,187,0,0
12005,171,211,40,0
12006,106,106,0,0
12007,109,109,0,0
12008,180,180,0,0
12009,26,26,0,0
12010,101,101,0,0
12011,78,78,0,0
12012,108,108,0,0
12014,140,140,0,0
12016,111,111,0,0
12017,51,51,0,0
12020,90,90,0,0
12023,240,240,0,0
12027,32,32,0,0
12028,134,134,0,0
12035,96,96,0,0
12036,91,100,0,9
12037,87,87,0,0
12039,38,38,0,0
12040,44,44,0,0
12041,26,26,0,0
12045,47,47,0,0
12046,1,1,0,0
12050,0,0,0,0
12052,42,42,0,0
12054,68,68,0,0
12057,49,49,0,0
12060,127,131,0,4
12064,118,118,0,0
12070,27,27,0,0
12071,37,37,0,0
12072,79,83,0,4
12073,200,200,0,0
12074,116,137,0,21
12075,182,291,0,109
12078,28,28,0,0
12079,35,35,0,0
12083,64,64,0,0
12084,47,47,0,0
12086,104,104,0,0
12091,25,29,0,4
12092,0,145,0,145
12093,41,41,0,0
12094,100,103,0,3
12095,59,59,0,0
12096,63,63,0,0
12097,40,40,0,0
12098,49,61,0,12
12099,102,102,0,0
12103,59,59,0,0
12104,123,123,0,0
12107,2,2,0,0
12110,38,38,0,0
12113,0,31,0,31
12114,0,0,0,0
