MAZ_NODE,numhh_gq,gq_type_univ,gq_type_noninst
10787,0,0,0
10790,36,0,0
10791,39,0,0
10793,283,0,0
10795,42,0,0
10798,41,0,11
10801,89,0,0
10803,120,0,0
10805,24,0,0
10806,39,0,0
10809,3,0,0
10810,86,0,0
10811,48,0,0
10812,39,0,3
10813,51,0,7
10814,185,0,0
10817,47,0,0
10818,47,0,0
10819,61,0,0
10822,2,0,0
10823,35,0,0
10834,92,0,0
10835,91,0,31
10837,135,0,0
10838,106,0,0
10839,0,0,0
10840,0,0,0
10843,48,0,0
10847,71,0,0
10848,91,0,6
10849,95,0,0
10850,78,0,0
10851,87,0,0
10852,104,0,0
10853,203,0,0
10854,28,0,0
10856,199,0,0
10857,155,0,0
10858,53,0,0
10859,74,0,0
10860,42,0,0
10861,33,0,0
10863,685,0,56
10864,18,0,0
10865,48,0,0
10866,45,0,0
10867,53,0,0
10868,31,0,0
10871,243,0,15
10873,48,0,0
10874,143,0,0
10876,47,0,0
10877,97,0,0
10878,43,0,0
10879,70,0,0
10881,73,0,5
10882,55,0,0
10883,87,0,0
10884,122,0,0
10885,0,0,0
10886,57,0,0
10887,134,0,0
10889,94,0,0
10890,50,0,0
10891,55,0,0
10892,133,0,0
10893,89,0,0
10894,84,0,0
10895,188,0,0
10896,150,0,0
10897,58,0,0
10898,53,0,0
10899,83,0,11
10900,64,0,10
10901,86,0,11
10902,82,0,0
10904,158,0,0
10906,131,0,0
10907,70,0,1
10908,107,0,0
10909,114,0,0
10910,87,0,0
10911,113,0,14
10912,105,0,0
10913,49,0,0
10914,68,0,0
10915,60,0,0
10916,37,0,0
10917,32,0,0
10920,0,0,0
10922,42,0,15
10924,56,0,0
10925,65,0,0
10927,212,0,0
10929,61,0,0
10930,122,0,0
10933,31,0,0
10934,24,0,0
10936,42,0,0
10937,85,0,0
10938,44,0,0
10939,41,0,0
10940,37,0,0
10941,55,0,0
10944,40,0,12
10947,122,0,0
10948,312,0,0
10950,280,0,0
10951,258,0,0
10955,52,0,0
10956,55,0,0
10957,33,0,0
10958,57,0,0
10959,789,609,69
10961,99,0,0
10962,105,0,0
10964,51,0,10
10965,110,0,19
10966,218,0,0
10967,77,0,0
10970,48,0,0
10972,57,0,56
10975,120,0,29
10976,74,0,0
10977,55,0,0
10978,48,0,0
10982,57,0,0
10983,50,0,0
10984,67,0,0
10985,103,0,0
10986,83,0,0
10989,117,0,0
10990,103,0,0
10991,152,0,0
10992,114,0,0
10993,156,0,18
10994,100,0,0
10995,104,0,0
10996,289,36,0
10997,98,0,0
10999,83,0,0
11001,97,0,0
11002,18,0,0
11004,85,0,0
11005,81,0,0
11006,87,0,0
11008,170,0,0
11011,0,0,0
11013,0,0,0
11014,0,0,0
11015,32,0,0
11018,59,0,5
11021,79,0,0
11026,438,32,0
11027,80,0,0
11028,87,0,0
11031,0,0,0
11033,13,0,12
11038,0,0,0
11039,86,0,0
11041,40,0,0
11042,50,0,0
11044,51,0,2
11046,89,0,0
11051,75,0,7
11055,76,0,0
11056,68,0,7
11059,110,0,0
11060,61,0,0
11062,70,0,0
11063,105,0,9
11064,113,0,0
11065,96,89,0
11067,130,0,0
11068,114,0,0
11071,793,0,8
11073,217,0,0
11074,0,0,0
11075,256,0,0
11079,136,0,0
11080,76,0,0
11081,82,0,0
11082,103,0,0
11083,175,0,0
11085,86,0,0
11086,9,0,9
11087,72,0,0
11090,221,0,0
11092,131,0,0
11093,357,0,0
11094,91,0,0
11095,140,0,0
11096,72,0,0
11097,66,0,0
11098,64,0,0
11099,59,0,0
11100,65,0,0
11101,54,0,0
11102,70,0,0
11103,90,0,0
11104,70,0,0
11106,40,0,0
11107,52,0,0
11108,81,0,0
11109,58,0,0
11118,155,0,0
11120,56,0,0
11121,213,0,0
11122,239,0,0
11125,138,0,0
11127,106,0,0
11128,0,0,0
11129,3,0,3
11130,2,0,2
11132,197,0,0
11133,41,0,0
11134,117,0,0
11135,140,0,0
11136,65,0,0
11138,92,0,0
11139,236,0,0
11145,27,0,0
11146,42,0,0
11147,22,0,0
11148,49,0,0
11149,7,0,6
11150,149,0,0
11151,235,0,0
11152,162,0,0
11153,191,0,0
11154,107,0,0
11155,116,0,0
11156,156,0,0
11157,77,0,0
11159,81,0,0
11160,152,0,0
11162,77,0,0
11163,50,0,0
11164,60,0,0
11165,59,0,0
11166,89,0,0
11167,50,0,0
11168,81,0,6
11169,95,0,0
11171,88,0,0
11172,365,0,0
11173,113,0,0
11174,82,0,2
11175,74,0,0
11176,58,0,0
11177,68,0,0
11178,54,0,0
11179,58,0,0
11180,49,0,0
11181,56,0,0
11182,57,0,0
11183,58,0,0
11184,0,0,0
11186,78,0,0
11190,78,0,0
11191,112,0,0
11192,109,0,0
11195,113,0,5
11196,87,0,0
11198,58,0,0
11199,75,0,0
11200,150,0,0
11201,53,0,0
11203,58,0,0
11204,55,0,0
11205,51,0,0
11206,0,0,0
11207,68,0,0
11208,53,0,0
11210,71,0,0
11211,63,0,0
11213,489,0,0
11216,95,0,0
11221,47,0,0
11222,57,0,0
11223,69,0,0
11224,20,0,0
11225,41,0,0
11226,0,0,0
11228,2,0,0
11229,30,0,0
11230,26,0,0
11231,26,0,0
11232,14,0,0
11234,39,0,0
11236,74,0,0
11237,67,0,0
11238,94,0,0
11239,21,0,0
11240,57,0,0
11241,55,0,0
11242,66,0,0
11243,56,0,0
11245,191,0,0
11250,52,0,16
11251,81,0,0
11257,19,0,2
11259,197,0,5
11260,196,0,0
11261,291,0,0
11263,149,0,0
11264,98,0,0
11267,59,0,0
11268,89,0,0
11269,68,0,0
11270,17,0,0
11274,46,0,0
11280,21,0,0
11283,216,0,0
11284,58,0,0
11287,59,0,0
11293,69,0,0
11294,27,0,0
11297,30,0,0
11298,4,0,0
11299,18,0,0
11300,56,0,0
11301,86,0,0
11302,30,0,0
11303,61,0,0
11304,41,0,0
11306,82,0,0
11307,76,0,0
11309,107,0,0
11312,90,0,0
11315,19,0,0
11316,58,0,8
11319,94,0,0
11323,159,0,0
11324,252,0,80
11326,276,0,0
11328,426,0,0
11329,518,79,2
11330,227,0,54
11332,976,0,0
11333,157,0,0
11335,133,0,32
11337,217,0,77
11339,103,0,22
11341,81,0,2
11342,2,0,2
11343,476,0,17
11344,25,0,0
11345,22,0,0
11347,12,0,3
11349,0,0,0
11350,54,0,0
11351,78,0,7
11352,47,0,47
11353,39,0,0
11355,474,0,0
11358,69,0,0
11359,46,0,0
11360,67,0,0
11361,0,0,0
11367,58,0,0
11368,10,0,10
11369,0,0,0
11371,194,0,0
11374,35,0,0
11375,47,0,0
11376,162,0,0
11377,116,0,0
11378,204,0,0
11381,108,0,0
11382,94,0,0
11384,213,0,0
11385,46,0,0
11386,41,0,7
11388,35,0,0
11389,23,0,0
11390,21,0,0
11391,49,0,0
11392,55,0,0
11393,77,0,0
11394,53,0,0
11396,87,0,0
11397,40,0,22
11398,127,0,0
11399,68,0,0
11401,48,0,7
11402,110,0,0
11403,19,0,0
11405,117,0,0
11409,102,0,0
11411,40,0,0
11418,71,0,0
11419,54,0,0
11422,191,0,93
11423,148,0,7
11424,129,0,0
11425,85,0,0
11426,96,0,0
11427,90,0,0
11429,59,0,0
11431,37,0,0
11432,48,0,0
11433,45,0,0
11434,63,0,0
11435,23,0,0
11436,35,0,0
11437,87,0,0
11438,91,0,0
11439,180,0,0
11440,58,0,0
11441,50,0,0
11442,57,0,0
11444,0,0,0
11449,117,0,0
11453,549,0,0
11454,168,0,3
11457,48,0,0
11459,86,0,0
11461,464,0,93
11462,110,0,14
11463,311,0,154
11464,22,0,0
11466,53,0,0
11467,73,0,0
11468,80,0,5
11469,108,0,0
11471,60,0,0
11473,55,0,0
11474,57,0,5
11475,0,0,0
11476,472,0,472
11485,58,0,0
11486,44,0,0
11487,17,0,0
11489,213,0,0
11490,113,0,10
11491,109,0,0
11492,171,0,0
11495,98,0,0
11496,71,0,0
11497,233,0,0
11498,124,0,0
11499,111,0,0
11500,0,0,0
11501,240,0,0
11502,85,0,0
11504,80,0,0
11505,81,0,0
11506,62,0,0
11508,97,0,0
11509,0,0,0
11512,400,0,0
11513,48,0,0
11514,366,0,0
11515,3,0,0
11517,0,0,0
11522,100,0,0
11523,84,0,0
11524,113,0,0
11525,126,0,16
11527,107,0,0
11529,133,0,0
11530,150,0,0
11531,73,0,0
11533,77,0,0
11541,47,0,0
11544,0,0,0
11547,0,0,0
11548,0,0,0
11549,0,0,0
11550,2,0,2
11557,116,0,0
11558,90,0,0
11560,49,0,0
11569,329,0,0
11574,16,0,0
11578,61,0,0
11579,48,0,0
11582,34,0,0
11585,367,0,0
11586,69,0,0
11587,0,0,0
11588,0,0,0
11589,0,0,0
11590,290,0,0
11591,1,0,0
11594,0,0,0
11597,82,0,0
11598,72,0,8
11599,76,0,0
11600,73,0,0
11601,148,0,26
11602,47,0,0
11603,51,0,0
11604,53,0,0
11605,71,0,0
11606,49,0,0
11610,66,0,0
11611,13,0,0
11612,46,0,0
11613,95,0,0
11614,37,0,0
11615,85,0,0
11616,360,212,0
11617,186,0,0
11618,0,0,0
11620,2,0,2
11622,40,0,7
11623,0,0,0
11625,83,0,0
11626,32,0,0
11627,100,0,4
11628,51,0,0
11629,48,0,0
11630,38,0,0
11631,52,0,0
11632,75,0,0
11633,55,0,0
11634,51,0,0
11635,74,0,0
11638,42,0,0
11640,56,0,0
11641,39,0,0
11642,73,0,0
11643,66,0,0
11646,33,0,0
11647,58,0,0
11648,69,0,0
11649,101,0,0
11653,28,0,0
11656,16,0,0
11658,57,0,0
11661,113,0,0
11664,71,0,0
11666,85,0,0
11667,36,0,0
11669,36,0,0
11670,64,0,0
11673,38,0,0
11674,609,0,79
11676,934,0,114
11677,37,0,0
11678,131,0,0
11679,334,0,5
11680,54,0,0
11681,77,0,0
11682,84,0,0
11683,73,0,0
11684,51,0,0
11685,61,0,0
11686,153,0,0
11687,84,0,0
11692,39,0,0
11693,56,0,55
11694,721,0,8
11697,83,0,0
11698,77,0,0
11699,58,0,0
11701,72,0,0
11703,1,0,0
11708,13,0,0
11715,18,0,0
11716,53,0,0
11717,65,0,0
11719,27,0,0
11726,76,0,0
11727,46,0,0
11728,48,0,0
11730,235,0,36
11731,0,0,0
11735,7,0,0
11736,374,0,0
11737,82,0,0
11741,37,0,0
11744,94,0,0
11746,70,0,0
11747,61,0,0
11752,51,0,0
11754,86,0,0
11756,522,0,0
11757,423,0,0
11759,26,0,0
11762,77,0,0
11764,76,0,0
11767,76,0,0
11768,85,0,0
11769,48,0,0
11770,50,0,0
11771,145,0,52
11773,143,0,0
11774,50,0,0
11785,2,0,2
11786,0,0,0
11790,474,0,152
11792,39,0,0
11794,87,0,0
11795,58,0,0
11796,44,0,0
11797,64,0,0
11798,61,0,0
11799,0,0,0
11800,57,0,0
11801,64,0,0
11802,50,0,0
11803,56,0,0
11804,26,0,0
11805,44,0,0
11806,109,0,0
11807,63,0,0
11809,70,0,0
11814,20,0,0
11816,18,0,0
11817,65,0,0
11818,73,0,0
11819,32,0,0
11820,78,0,0
11821,48,0,0
11822,8,0,0
11823,50,0,0
11824,58,0,19
11826,0,0,0
11828,38,0,0
11831,146,0,3
11839,285,0,0
11842,35,0,0
11843,79,0,12
11845,93,0,0
11846,93,0,10
11847,148,0,0
11848,49,0,0
11851,58,0,0
11852,31,0,0
11853,48,0,0
11854,53,0,0
11855,51,0,0
11856,48,0,0
11861,84,0,0
11864,118,0,0
11867,29,0,0
11868,18,0,0
11869,23,0,0
11871,0,0,0
11874,181,0,44
11879,5,0,3
11881,34,0,0
11882,63,0,0
11884,86,0,0
11887,106,0,0
11888,106,0,0
11889,48,0,0
11890,81,0,0
11891,61,0,0
11892,63,0,0
11893,87,0,0
11894,57,0,0
11895,58,0,0
11897,35,0,0
11901,124,0,0
11902,64,0,0
11903,53,0,0
11907,113,0,0
11908,88,0,0
11911,80,0,0
11912,138,0,0
11913,51,0,0
11914,72,0,0
11915,52,0,0
11916,96,0,0
11917,171,0,0
11920,155,0,0
11921,138,0,0
11922,151,0,0
11923,155,0,9
11924,63,0,0
11925,101,0,0
11927,9,0,9
11929,90,0,0
11930,205,0,5
11932,115,0,14
11933,77,0,0
11934,100,0,0
11937,90,0,0
11938,74,0,0
11939,100,0,0
11940,39,0,0
11941,39,0,0
11942,59,0,0
11943,84,0,0
11944,79,0,0
11945,68,0,0
11946,42,0,0
11947,43,0,0
11948,45,0,0
11949,51,0,0
11950,42,0,0
11951,39,0,0
11952,40,0,0
11953,39,0,0
11954,40,0,0
11957,42,0,0
11961,38,0,0
11964,54,0,0
11965,55,0,0
11966,48,0,0
11967,167,0,0
11969,116,0,0
11972,191,0,0
11973,90,0,0
11974,85,0,0
11975,100,0,0
11976,95,0,0
11977,73,0,8
11978,56,0,0
11979,98,0,0
11983,40,0,40
11984,199,0,0
11985,135,0,12
11988,80,0,0
11989,92,0,20
11991,2,0,0
11992,3,0,0
11993,61,0,0
11997,108,0,0
11998,77,0,0
11999,101,0,0
12001,208,0,0
12002,219,0,0
12003,103,0,0
12004,187,0,0
12005,211,40,0
12006,106,0,0
12007,109,0,0
12008,180,0,0
12009,26,0,0
12010,101,0,0
12011,78,0,0
12012,108,0,0
12014,140,0,0
12016,111,0,0
12017,51,0,0
12020,90,0,0
12023,240,0,0
12027,32,0,0
12028,134,0,0
12035,96,0,0
12036,100,0,9
12037,87,0,0
12039,38,0,0
12040,44,0,0
12041,26,0,0
12045,48,0,0
12046,1,0,0
12050,0,0,0
12052,42,0,0
12054,68,0,0
12057,49,0,0
12060,131,0,4
12064,118,0,0
12070,27,0,0
12071,36,0,0
12072,83,0,4
12073,200,0,0
12074,137,0,21
12075,291,0,109
12078,28,0,0
12079,35,0,0
12083,64,0,0
12084,47,0,0
12086,104,0,0
12091,29,0,4
12092,145,0,145
12093,41,0,0
12094,103,0,3
12095,59,0,0
12096,63,0,0
12097,40,0,0
12098,61,0,12
12099,102,0,0
12103,59,0,0
12104,123,0,0
12107,2,0,0
12110,38,0,0
12113,31,0,31
12114,0,0,0
12119,188,0,0
12120,127,0,5
12121,97,0,0
12122,126,0,0
12123,133,0,0
12124,101,0,14
12127,277,0,0
12130,113,0,10
12131,255,0,0
12132,273,0,0
12133,455,14,0
12134,124,0,0
12135,8,0,0
12136,89,0,0
12137,86,0,0
12138,151,0,0
12139,62,0,0
12140,158,0,0
12141,69,0,0
12142,70,0,0
12143,70,0,0
12144,78,0,0
12145,76,0,0
12146,41,0,0
12147,63,0,0
12149,18,0,0
12153,1988,0,1549
12156,43,0,0
12157,59,0,0
12159,39,0,0
12160,79,0,0
12161,49,0,0
12162,22,0,0
12163,49,0,0
12164,45,0,0
12168,47,0,0
12169,84,9,0
12170,30,0,0
12171,52,0,0
12172,98,0,0
12173,125,0,0
12176,53,0,0
12178,70,0,0
12179,44,0,0
12180,62,0,0
12181,91,0,0
12182,210,0,0
12188,207,0,0
12191,182,0,0
12192,92,0,0
12193,141,0,0
12194,196,0,6
12195,208,0,9
12196,493,111,0
12197,414,0,0
12201,134,0,0
12202,93,0,0
12203,93,0,0
12204,128,0,0
12205,89,0,0
12207,70,0,0
12208,77,0,0
12209,107,0,0
12210,122,0,0
12211,97,0,0
12212,65,0,0
12214,74,0,0
12215,71,0,0
12216,63,0,0
12217,53,0,0
12219,64,0,0
12221,1869,1525,0
12222,145,0,5
12223,80,0,0
12225,77,0,0
12226,155,0,0
12227,166,0,0
12229,104,0,15
12230,162,0,37
12232,285,0,0
12233,91,0,0
12236,54,0,0
12237,44,0,0
12238,50,0,0
12241,44,0,0
12242,87,0,0
12243,75,0,0
12245,59,0,0
12246,34,0,0
12248,76,0,0
12251,34,0,0
12252,38,0,0
12259,59,0,0
12270,0,0,0
12271,219,0,6
12274,311,0,0
12278,31,0,0
12280,30,0,0
12281,40,0,0
12282,27,0,0
12283,52,0,0
12284,2,0,0
12285,12,0,0
12286,38,0,26
12288,558,0,143
12290,15,0,15
12291,112,0,75
12293,102,0,0
12295,17,0,0
12303,88,0,0
12305,233,0,0
12306,153,0,0
12307,195,0,0
12309,89,0,0
12310,103,0,0
12311,463,0,0
12312,282,0,0
12314,53,0,0
12315,55,0,0
12316,56,0,0
12317,55,0,0
12318,54,0,0
12319,37,0,0
12320,51,0,0
12321,42,0,0
12322,45,0,0
12323,50,0,0
12324,61,0,0
12325,54,0,0
12326,126,0,40
12327,78,0,0
12328,82,0,0
12329,23,0,0
12330,35,0,0
12331,53,0,0
12333,56,0,0
12339,0,0,0
12341,216,0,17
12342,9,0,9
