MAZ,num_hh,total_pop
10873,54,171
10874,161,381
10876,53,104
10877,109,160
10878,48,103
10879,78,185
10881,76,211
10882,61,180
10883,98,231
10884,138,272
10885,0,34
10886,64,159
10887,151,296
10889,106,209
10890,56,109
10891,61,150
10892,150,271
10893,100,210
10894,94,237
10895,211,344
10896,170,282
10897,65,163
10898,60,160
10899,81,163
10900,61,153
10901,85,175
10902,92,180
10904,176,305
10906,147,303
10907,78,125
10908,120,248
10909,128,239
10910,98,207
10911,112,220
10912,118,197
10913,55,122
10914,77,161
10915,67,118
10916,42,104
10917,36,86
10920,0,0
10922,30,82
10924,63,128
10925,73,163
10927,238,403
10929,69,159
10930,137,234
10933,35,119
10934,27,61
10936,47,138
10937,96,356
10938,50,219
10939,47,149
10940,41,98
10941,62,221
10944,32,98
10947,137,355
10948,351,700
10950,315,373
10951,290,433
10955,59,157
10956,62,150
10957,37,86
10958,64,120
10959,124,912
10961,112,207
10962,118,189
10964,46,92
10965,102,219
10966,245,426
10967,87,144
10970,54,102
10972,1,71
10975,102,302
10976,83,178
10977,62,219
10978,54,141
10982,63,103
10983,57,177
10984,75,135
10985,116,220
10986,94,169
10989,131,164
10990,116,202
10991,171,264
10992,128,230
10993,155,245
10994,112,218
10995,117,202
10996,284,470
10997,109,207
10999,94,169
11001,109,243
11002,20,78
11004,96,201
11005,91,195
11006,99,216
11008,191,285
11011,0,0
11013,0,0
11014,0,0
11015,36,70
11018,61,167
11021,88,205
11026,457,911
11027,90,142
11028,98,166
11031,0,0
11033,2,14
11038,0,0
11039,97,288
11041,45,134
11042,56,152
11044,55,169
11046,100,263
11051,78,161
11055,85,207
11056,68,203
11059,124,184
11060,69,171
11062,79,167
11063,108,219
11064,128,221
11065,8,91
11067,146,229
11068,128,229
11071,883,1220
11073,244,989
11074,0,0
11075,288,646
11079,153,242
11080,85,152
11081,93,166
11082,114,230
11083,196,475
11085,97,169
11086,0,9
11087,81,140
11090,248,363
11092,147,290
11093,401,566
11094,102,200
11095,158,241
11096,81,148
11097,75,135
11098,72,149
11099,67,133
11100,73,163
11101,60,164
11102,79,151
11103,101,170
11104,79,174
11106,45,155
11107,58,142
11108,92,164
11109,65,138
11118,175,287
11120,63,123
11121,239,391
11122,268,510
11125,156,254
11127,119,188
11128,0,0
11129,0,3
11130,0,2
11132,222,518
11133,46,108
11134,131,200
11135,157,364
11136,73,179
11138,103,147
11139,265,407
11145,31,67
11146,47,90
11147,25,47
11148,55,120
11149,2,6
11150,167,308
11151,265,337
11152,182,271
11153,215,296
11154,121,228
11155,131,174
11156,175,201
11157,86,182
11159,91,184
11160,171,281
11162,87,150
11163,57,128
11164,68,147
11165,66,131
11166,100,177
11167,56,161
11168,84,147
11169,107,163
11171,99,195
11172,410,537
11173,127,113
11174,90,199
11175,83,180
11176,66,164
11177,77,213
11178,60,194
11179,65,169
11180,55,133
11181,62,158
11182,64,181
11183,65,156
11184,0,32
11186,87,208
11190,88,235
11191,126,292
11192,122,217
11195,122,259
11196,98,204
11198,66,170
11199,85,165
11200,168,309
11201,59,147
11203,65,159
11204,62,171
11205,57,140
11206,0,0
11207,77,157
11208,60,170
11210,79,197
11211,70,205
11213,550,736
11216,107,172
11221,53,160
11222,64,170
11223,77,187
11224,23,99
11225,46,170
11226,0,0
11228,2,33
11229,33,81
11230,29,63
11231,29,63
11232,15,56
11234,44,66
11236,83,186
11237,75,184
11238,106,176
11239,24,111
11240,64,241
11241,62,193
11242,74,174
11243,63,240
