id,total_pop_control,total_pop_result,total_pop_diff,total_pop_pct_error
388,1525.0,1648,123.0,8.065573770491802
389,2091.0,1897,-194.0,-9.277857484457197
390,771.0,860,89.0,11.543450064850843
391,1474.0,1635,161.0,10.922659430122117
392,1835.0,1981,146.0,7.956403269754768
393,1694.0,2027,333.0,19.657615112160567
394,1858.0,2286,428.0,23.03552206673843
395,1123.0,1033,-90.0,-8.014247551202137
396,1043.0,1157,114.0,10.930009587727708
397,621.0,695,74.0,11.916264090177133
398,1015.0,1269,254.0,25.02463054187192
399,990.0,1289,299.0,30.2020202020202
400,1528.0,1399,-129.0,-8.44240837696335
401,1950.0,1990,40.0,2.051282051282051
402,760.0,849,89.0,11.710526315789474
403,343.0,249,-94.0,-27.405247813411076
404,344.0,267,-77.0,-22.38372093023256
405,1635.0,1555,-80.0,-4.892966360856269
406,1527.0,1286,-241.0,-15.782580222658806
407,947.0,1181,234.0,24.70960929250264
408,1282.0,1314,32.0,2.49609984399376
409,1273.0,1499,226.0,17.75333857030636
411,1482.0,1196,-286.0,-19.298245614035086
412,1167.0,1363,196.0,16.795201371036846
413,758.0,781,23.0,3.034300791556728
414,1625.0,1766,141.0,8.676923076923076
415,1152.0,1307,155.0,13.45486111111111
416,2183.0,2286,103.0,4.718277599633532
417,2096.0,2637,541.0,25.811068702290076
418,2212.0,2251,39.0,1.763110307414105
419,3291.0,3570,279.0,8.477666362807659
420,1119.0,1144,25.0,2.234137622877569
421,1047.0,974,-73.0,-6.972301814708691
422,1231.0,1383,152.0,12.347684809098295
423,1603.0,2089,486.0,30.31815346225827
424,2170.0,2020,-150.0,-6.912442396313365
425,2490.0,2423,-67.0,-2.6907630522088355
426,1446.0,1391,-55.0,-3.8035961272475793
427,696.0,725,29.0,4.166666666666666
428,1832.0,1745,-87.0,-4.748908296943231
429,643.0,856,213.0,33.12597200622084
430,1997.0,2095,98.0,4.907361041562344
431,1941.0,1926,-15.0,-0.7727975270479135
433,860.0,951,91.0,10.58139534883721
434,1838.0,1383,-455.0,-24.755168661588684
435,839.0,1316,477.0,56.853396901072706
436,1018.0,1361,343.0,33.69351669941061
437,632.0,779,147.0,23.259493670886076
438,603.0,1040,437.0,72.4709784411277
439,618.0,663,45.0,7.281553398058252
440,2500.0,2041,-459.0,-18.360000000000003
441,746.0,805,59.0,7.908847184986595
442,1135.0,907,-228.0,-20.088105726872246
443,400.0,674,274.0,68.5
444,1249.0,1068,-181.0,-14.491593274619696
446,1772.0,2052,280.0,15.80135440180587
447,1867.0,1636,-231.0,-12.372790573111944
448,2115.0,2122,7.0,0.3309692671394799
449,1100.0,1177,77.0,7.000000000000001
450,1842.0,1418,-424.0,-23.01845819761129
451,665.0,1565,900.0,135.33834586466165
452,1715.0,1331,-384.0,-22.39067055393586
453,2559.0,2269,-290.0,-11.332551778038297
454,1588.0,1625,37.0,2.3299748110831233
455,663.0,994,331.0,49.924585218702866
456,1096.0,1215,119.0,10.857664233576642
457,1339.0,1379,40.0,2.9873039581777445
458,1580.0,1681,101.0,6.392405063291139
459,1211.0,872,-339.0,-27.993393889347644
460,1185.0,1276,91.0,7.679324894514767
461,1420.0,1227,-193.0,-13.59154929577465
462,1640.0,1402,-238.0,-14.512195121951219
463,697.0,913,216.0,30.989956958393112
