MAZ,gq_num_hh,gq_type_univ,gq_type_mil,gq_type_othnon
10447,0.83,0.00,0.00,0.83
10450,0.00,0.00,0.00,0.00
10452,0.00,0.00,0.00,0.00
10454,32.46,0.00,0.00,32.46
10455,0.83,0.00,0.00,0.83
10456,190.61,0.00,0.00,190.61
10457,181.45,0.00,0.00,181.45
10458,0.00,0.00,0.00,0.00
10460,1.66,0.00,0.00,1.66
10462,0.00,0.00,0.00,0.00
10463,0.00,0.00,0.00,0.00
10464,0.00,0.00,0.00,0.00
10466,0.00,0.00,0.00,0.00
10467,0.00,0.00,0.00,0.00
10468,0.00,0.00,0.00,0.00
10469,0.00,0.00,0.00,0.00
10470,0.00,0.00,0.00,0.00
10472,0.00,0.00,0.00,0.00
10473,0.83,0.00,0.00,0.83
10474,0.00,0.00,0.00,0.00
10476,54.10,0.00,0.00,54.10
10477,0.00,0.00,0.00,0.00
10482,0.83,0.00,0.00,0.83
10483,0.83,0.00,0.00,0.83
10484,0.00,0.00,0.00,0.00
10486,0.00,0.00,0.00,0.00
10487,0.00,0.00,0.00,0.00
10488,0.00,0.00,0.00,0.00
10489,0.00,0.00,0.00,0.00
10490,0.00,0.00,0.00,0.00
10493,0.00,0.00,0.00,0.00
10494,0.00,0.00,0.00,0.00
10496,0.00,0.00,0.00,0.00
10498,0.00,0.00,0.00,0.00
10499,0.00,0.00,0.00,0.00
10501,0.00,0.00,0.00,0.00
10503,0.00,0.00,0.00,0.00
10504,0.00,0.00,0.00,0.00
10507,0.00,0.00,0.00,0.00
10508,0.00,0.00,0.00,0.00
10509,0.00,0.00,0.00,0.00
10512,0.00,0.00,0.00,0.00
10514,0.83,0.00,0.00,0.83
10515,128.18,0.00,0.00,128.18
10517,0.00,0.00,0.00,0.00
10518,0.00,0.00,0.00,0.00
10519,0.00,0.00,0.00,0.00
10520,0.00,0.00,0.00,0.00
10523,0.00,0.00,0.00,0.00
10524,0.00,0.00,0.00,0.00
10525,0.00,0.00,0.00,0.00
10526,0.00,0.00,0.00,0.00
10527,0.00,0.00,0.00,0.00
10528,0.00,0.00,0.00,0.00
10529,0.00,0.00,0.00,0.00
10530,4.16,0.00,0.00,4.16
10532,0.00,0.00,0.00,0.00
10535,0.00,0.00,0.00,0.00
10536,0.00,0.00,0.00,0.00
10538,0.00,0.00,0.00,0.00
10539,0.00,0.00,0.00,0.00
10540,0.00,0.00,0.00,0.00
10541,0.00,0.00,0.00,0.00
10542,0.00,0.00,0.00,0.00
10543,0.00,0.00,0.00,0.00
10544,0.00,0.00,0.00,0.00
10546,0.00,0.00,0.00,0.00
10547,0.00,0.00,0.00,0.00
10549,0.00,0.00,0.00,0.00
10551,0.00,0.00,0.00,0.00
10552,0.00,0.00,0.00,0.00
10553,0.00,0.00,0.00,0.00
10554,0.00,0.00,0.00,0.00
10555,0.00,0.00,0.00,0.00
10564,0.83,0.00,0.00,0.83
10566,3.33,0.00,0.00,3.33
10567,0.83,0.00,0.00,0.83
10572,1.66,0.00,0.00,1.66
10573,0.00,0.00,0.00,0.00
10575,0.00,0.00,0.00,0.00
10576,0.00,0.00,0.00,0.00
10581,0.00,0.00,0.00,0.00
10582,0.00,0.00,0.00,0.00
10585,0.00,0.00,0.00,0.00
10586,0.00,0.00,0.00,0.00
10587,0.00,0.00,0.00,0.00
10590,0.00,0.00,0.00,0.00
10593,0.00,0.00,0.00,0.00
10594,0.00,0.00,0.00,0.00
10595,0.00,0.00,0.00,0.00
10596,0.00,0.00,0.00,0.00
10597,0.00,0.00,0.00,0.00
10598,0.00,0.00,0.00,0.00
10600,0.00,0.00,0.00,0.00
10601,0.00,0.00,0.00,0.00
10602,0.00,0.00,0.00,0.00
10604,0.00,0.00,0.00,0.00
10605,0.00,0.00,0.00,0.00
10606,0.00,0.00,0.00,0.00
10607,0.00,0.00,0.00,0.00
10608,0.00,0.00,0.00,0.00
10609,0.00,0.00,0.00,0.00
10610,0.00,0.00,0.00,0.00
10611,0.00,0.00,0.00,0.00
10612,0.00,0.00,0.00,0.00
10613,0.00,0.00,0.00,0.00
10614,0.00,0.00,0.00,0.00
10627,11.65,0.00,0.00,11.65
10628,0.00,0.00,0.00,0.00
10632,0.00,0.00,0.00,0.00
10635,4.16,0.00,0.00,4.16
10637,0.00,0.00,0.00,0.00
10642,0.00,0.00,0.00,0.00
10646,0.00,0.00,0.00,0.00
10649,0.00,0.00,0.00,0.00
10650,0.00,0.00,0.00,0.00
10654,0.00,0.00,0.00,0.00
10655,11.65,0.00,0.00,11.65
10658,0.00,0.00,0.00,0.00
10659,0.00,0.00,0.00,0.00
10660,0.83,0.00,0.00,0.83
10665,0.00,0.00,0.00,0.00
10666,0.00,0.00,0.00,0.00
10667,0.00,0.00,0.00,0.00
10668,0.00,0.00,0.00,0.00
10669,0.00,0.00,0.00,0.00
10670,0.00,0.00,0.00,0.00
10671,0.00,0.00,0.00,0.00
10675,16.65,0.00,0.00,16.65
10677,0.00,0.00,0.00,0.00
10680,0.83,0.00,0.00,0.83
10681,0.00,0.00,0.00,0.00
10683,0.00,0.00,0.00,0.00
10684,0.00,0.00,0.00,0.00
10685,0.00,0.00,0.00,0.00
10686,0.00,0.00,0.00,0.00
10693,0.00,0.00,0.00,0.00
10695,0.00,0.00,0.00,0.00
10696,0.00,0.00,0.00,0.00
10697,0.00,0.00,0.00,0.00
10698,0.00,0.00,0.00,0.00
10699,0.00,0.00,0.00,0.00
10700,2.50,0.00,0.00,2.50
10701,0.00,0.00,0.00,0.00
10702,2.50,0.00,0.00,2.50
10703,0.83,0.00,0.00,0.83
10704,0.00,0.00,0.00,0.00
10705,0.00,0.00,0.00,0.00
10706,0.00,0.00,0.00,0.00
10707,0.00,0.00,0.00,0.00
10708,4.16,0.00,0.00,4.16
10711,0.00,0.00,0.00,0.00
10713,0.00,0.00,0.00,0.00
10714,0.00,0.00,0.00,0.00
10716,0.00,0.00,0.00,0.00
10717,0.00,0.00,0.00,0.00
10718,0.00,0.00,0.00,0.00
10720,0.00,0.00,0.00,0.00
10721,0.00,0.00,0.00,0.00
10722,0.00,0.00,0.00,0.00
10724,0.00,0.00,0.00,0.00
10725,0.00,0.00,0.00,0.00
10726,0.00,0.00,0.00,0.00
10727,0.00,0.00,0.00,0.00
10728,0.00,0.00,0.00,0.00
10731,0.00,0.00,0.00,0.00
10734,0.00,0.00,0.00,0.00
10735,0.00,0.00,0.00,0.00
10736,0.00,0.00,0.00,0.00
10743,0.00,0.00,0.00,0.00
10744,0.00,0.00,0.00,0.00
10745,0.00,0.00,0.00,0.00
10750,0.00,0.00,0.00,0.00
10751,0.00,0.00,0.00,0.00
10753,0.00,0.00,0.00,0.00
10754,0.00,0.00,0.00,0.00
10756,0.00,0.00,0.00,0.00
10760,0.00,0.00,0.00,0.00
10761,0.00,0.00,0.00,0.00
10762,0.00,0.00,0.00,0.00
10763,0.00,0.00,0.00,0.00
10764,0.00,0.00,0.00,0.00
10765,0.00,0.00,0.00,0.00
10766,0.00,0.00,0.00,0.00
10767,3.33,0.00,0.00,3.33
10768,0.00,0.00,0.00,0.00
10769,34.13,0.00,0.00,34.13
10770,0.00,0.00,0.00,0.00
10771,6.66,0.00,0.00,6.66
10772,0.00,0.00,0.00,0.00
10773,0.00,0.00,0.00,0.00
10774,3.33,0.00,0.00,3.33
10775,0.00,0.00,0.00,0.00
10776,0.00,0.00,0.00,0.00
10780,0.00,0.00,0.00,0.00
10782,0.00,0.00,0.00,0.00
10783,0.00,0.00,0.00,0.00
10786,0.00,0.00,0.00,0.00
10787,0.00,0.00,0.00,0.00
10790,0.00,0.00,0.00,0.00
10791,0.00,0.00,0.00,0.00
10793,0.00,0.00,0.00,0.00
10795,0.00,0.00,0.00,0.00
10798,14.98,0.00,0.00,14.98
10801,0.00,0.00,0.00,0.00
10803,12.49,0.00,0.00,12.49
10805,0.00,0.00,0.00,0.00
10806,0.00,0.00,0.00,0.00
10809,0.00,0.00,0.00,0.00
10810,0.00,0.00,0.00,0.00
10811,0.00,0.00,0.00,0.00
10812,0.00,0.00,0.00,0.00
10813,28.30,0.00,0.00,28.30
10814,5.83,0.00,0.00,5.83
10817,0.00,0.00,0.00,0.00
10818,5.83,0.00,0.00,5.83
10819,0.00,0.00,0.00,0.00
10822,0.00,0.00,0.00,0.00
10823,0.00,0.00,0.00,0.00
10834,0.00,0.00,0.00,0.00
10835,4.16,0.00,0.00,4.16
10837,0.00,0.00,0.00,0.00
10838,0.00,0.00,0.00,0.00
10839,0.00,0.00,0.00,0.00
10840,0.00,0.00,0.00,0.00
10843,0.00,0.00,0.00,0.00
10847,0.00,0.00,0.00,0.00
10848,0.00,0.00,0.00,0.00
10849,2.50,0.00,0.00,2.50
10850,0.00,0.00,0.00,0.00
10851,0.00,0.00,0.00,0.00
10852,0.00,0.00,0.00,0.00
10853,0.00,0.00,0.00,0.00
10854,0.00,0.00,0.00,0.00
10856,0.00,0.00,0.00,0.00
10857,0.00,0.00,0.00,0.00
10858,12.49,0.00,0.00,12.49
10859,0.00,0.00,0.00,0.00
10860,0.00,0.00,0.00,0.00
10861,0.00,0.00,0.00,0.00
10863,0.00,0.00,0.00,0.00
10864,0.00,0.00,0.00,0.00
10865,0.00,0.00,0.00,0.00
10866,0.00,0.00,0.00,0.00
10867,0.00,0.00,0.00,0.00
10868,0.00,0.00,0.00,0.00
10871,30.80,0.00,0.00,30.80
10873,0.00,0.00,0.00,0.00
10874,0.00,0.00,0.00,0.00
10876,0.00,0.00,0.00,0.00
10877,0.00,0.00,0.00,0.00
10878,0.00,0.00,0.00,0.00
10879,0.00,0.00,0.00,0.00
10881,0.00,0.00,0.00,0.00
10882,0.00,0.00,0.00,0.00
10883,0.00,0.00,0.00,0.00
10884,0.00,0.00,0.00,0.00
10885,0.00,0.00,0.00,0.00
10886,0.00,0.00,0.00,0.00
10887,0.00,0.00,0.00,0.00
10889,0.00,0.00,0.00,0.00
10890,0.00,0.00,0.00,0.00
10891,0.00,0.00,0.00,0.00
10892,0.00,0.00,0.00,0.00
10893,0.00,0.00,0.00,0.00
10894,0.00,0.00,0.00,0.00
10895,0.00,0.00,0.00,0.00
10896,0.00,0.00,0.00,0.00
10897,0.00,0.00,0.00,0.00
10898,0.00,0.00,0.00,0.00
10899,17.48,0.00,0.00,17.48
10900,9.16,0.00,0.00,9.16
10901,9.16,0.00,0.00,9.16
10902,0.00,0.00,0.00,0.00
10904,0.00,0.00,0.00,0.00
10906,0.00,0.00,0.00,0.00
10907,9.99,0.00,0.00,9.99
10908,0.00,0.00,0.00,0.00
10909,0.00,0.00,0.00,0.00
10910,0.00,0.00,0.00,0.00
10911,0.83,0.00,0.00,0.83
10912,0.00,0.00,0.00,0.00
10913,0.00,0.00,0.00,0.00
10914,0.00,0.00,0.00,0.00
10915,0.00,0.00,0.00,0.00
10916,0.00,0.00,0.00,0.00
10917,0.00,0.00,0.00,0.00
10920,0.00,0.00,0.00,0.00
10922,7.49,0.00,0.00,7.49
10924,0.00,0.00,0.00,0.00
10925,0.00,0.00,0.00,0.00
10927,0.00,0.00,0.00,0.00
10929,0.00,0.00,0.00,0.00
10930,0.00,0.00,0.00,0.00
10933,0.00,0.00,0.00,0.00
10934,0.00,0.00,0.00,0.00
10936,0.00,0.00,0.00,0.00
10937,0.00,0.00,0.00,0.00
10938,0.00,0.00,0.00,0.00
10939,0.00,0.00,0.00,0.00
10940,0.00,0.00,0.00,0.00
10941,0.00,0.00,0.00,0.00
10944,7.49,0.00,0.00,7.49
10947,0.00,0.00,0.00,0.00
10948,0.83,0.00,0.00,0.83
10950,0.00,0.00,0.00,0.00
10951,0.00,0.00,0.00,0.00
10955,0.00,0.00,0.00,0.00
10956,0.00,0.00,0.00,0.00
10957,0.00,0.00,0.00,0.00
10958,0.00,0.00,0.00,0.00
10959,45.78,0.00,0.00,45.78
10961,0.00,0.00,0.00,0.00
10962,0.00,0.00,0.00,0.00
10964,0.83,0.00,0.00,0.83
10965,0.83,0.00,0.00,0.83
10966,0.00,0.00,0.00,0.00
10967,0.00,0.00,0.00,0.00
10970,0.00,0.00,0.00,0.00
10972,9.99,0.00,0.00,9.99
10975,19.14,0.00,0.00,19.14
10976,0.00,0.00,0.00,0.00
10977,0.00,0.00,0.00,0.00
10978,0.00,0.00,0.00,0.00
10982,0.00,0.00,0.00,0.00
10983,0.00,0.00,0.00,0.00
10984,0.00,0.00,0.00,0.00
10985,0.00,0.00,0.00,0.00
10986,0.00,0.00,0.00,0.00
10989,0.00,0.00,0.00,0.00
10990,0.00,0.00,0.00,0.00
10991,0.00,0.00,0.00,0.00
10992,0.00,0.00,0.00,0.00
10993,13.32,0.00,0.00,13.32
10994,0.00,0.00,0.00,0.00
10995,0.00,0.00,0.00,0.00
10996,29.96,29.96,0.00,0.00
10997,0.00,0.00,0.00,0.00
10999,0.00,0.00,0.00,0.00
11001,0.00,0.00,0.00,0.00
11002,0.00,0.00,0.00,0.00
11004,0.00,0.00,0.00,0.00
11005,0.00,0.00,0.00,0.00
11006,0.00,0.00,0.00,0.00
11008,0.00,0.00,0.00,0.00
11011,0.00,0.00,0.00,0.00
11013,0.00,0.00,0.00,0.00
11014,0.00,0.00,0.00,0.00
11015,0.00,0.00,0.00,0.00
11018,2.50,0.00,0.00,2.50
11021,0.00,0.00,0.00,0.00
11026,42.45,42.45,0.00,0.00
11027,0.00,0.00,0.00,0.00
11028,0.00,0.00,0.00,0.00
11031,0.00,0.00,0.00,0.00
11033,0.83,0.00,0.00,0.83
11038,0.00,0.00,0.00,0.00
11039,2.50,0.00,0.00,2.50
11041,0.00,0.00,0.00,0.00
11042,0.83,0.00,0.00,0.83
11044,1.66,0.00,0.00,1.66
11046,0.00,0.00,0.00,0.00
11051,1.66,0.00,0.00,1.66
11055,0.00,0.00,0.00,0.00
11056,0.83,0.00,0.00,0.83
11059,0.00,0.00,0.00,0.00
11060,0.00,0.00,0.00,0.00
11062,0.00,0.00,0.00,0.00
11063,0.00,0.00,0.00,0.00
11064,0.00,0.00,0.00,0.00
11065,0.00,0.00,0.00,0.00
11067,0.00,0.00,0.00,0.00
11068,0.00,0.00,0.00,0.00
11071,188.11,0.00,0.00,188.11
11073,0.00,0.00,0.00,0.00
11074,0.00,0.00,0.00,0.00
11075,0.00,0.00,0.00,0.00
11079,0.00,0.00,0.00,0.00
11080,0.00,0.00,0.00,0.00
11081,0.00,0.00,0.00,0.00
11082,0.00,0.00,0.00,0.00
11083,0.00,0.00,0.00,0.00
11085,0.00,0.00,0.00,0.00
11086,3.33,0.00,0.00,3.33
11087,0.00,0.00,0.00,0.00
11090,0.00,0.00,0.00,0.00
11092,0.00,0.00,0.00,0.00
11093,0.00,0.00,0.00,0.00
11094,0.00,0.00,0.00,0.00
11095,0.00,0.00,0.00,0.00
11096,0.00,0.00,0.00,0.00
11097,0.00,0.00,0.00,0.00
11098,0.00,0.00,0.00,0.00
11099,0.00,0.00,0.00,0.00
11100,0.00,0.00,0.00,0.00
11101,0.00,0.00,0.00,0.00
11102,0.00,0.00,0.00,0.00
11103,0.00,0.00,0.00,0.00
11104,0.00,0.00,0.00,0.00
11106,0.00,0.00,0.00,0.00
11107,0.00,0.00,0.00,0.00
11108,0.00,0.00,0.00,0.00
11109,0.00,0.00,0.00,0.00
11118,0.00,0.00,0.00,0.00
11120,0.00,0.00,0.00,0.00
11121,0.00,0.00,0.00,0.00
11122,0.00,0.00,0.00,0.00
11125,0.00,0.00,0.00,0.00
11127,0.00,0.00,0.00,0.00
11128,0.00,0.00,0.00,0.00
11129,1.66,0.00,0.00,1.66
11130,0.83,0.00,0.00,0.83
11132,0.00,0.00,0.00,0.00
11133,0.00,0.00,0.00,0.00
11134,0.00,0.00,0.00,0.00
11135,0.00,0.00,0.00,0.00
11136,0.00,0.00,0.00,0.00
11138,31.63,0.00,0.00,31.63
11139,0.00,0.00,0.00,0.00
11145,0.00,0.00,0.00,0.00
11146,0.00,0.00,0.00,0.00
11147,0.00,0.00,0.00,0.00
11148,0.00,0.00,0.00,0.00
11149,0.00,0.00,0.00,0.00
11150,0.00,0.00,0.00,0.00
11151,0.00,0.00,0.00,0.00
11152,0.00,0.00,0.00,0.00
11153,0.00,0.00,0.00,0.00
11154,0.00,0.00,0.00,0.00
11155,0.00,0.00,0.00,0.00
11156,0.00,0.00,0.00,0.00
11157,0.00,0.00,0.00,0.00
11159,0.00,0.00,0.00,0.00
11160,0.00,0.00,0.00,0.00
11162,0.00,0.00,0.00,0.00
11163,0.00,0.00,0.00,0.00
11164,0.00,0.00,0.00,0.00
11165,0.00,0.00,0.00,0.00
11166,0.00,0.00,0.00,0.00
11167,0.00,0.00,0.00,0.00
11168,4.16,0.00,0.00,4.16
11169,0.00,0.00,0.00,0.00
11171,0.00,0.00,0.00,0.00
11172,0.00,0.00,0.00,0.00
11173,4.99,0.00,0.00,4.99
11174,0.00,0.00,0.00,0.00
11175,0.00,0.00,0.00,0.00
11176,0.00,0.00,0.00,0.00
11177,0.00,0.00,0.00,0.00
11178,0.00,0.00,0.00,0.00
11179,0.00,0.00,0.00,0.00
11180,0.00,0.00,0.00,0.00
11181,0.00,0.00,0.00,0.00
