MAZ,num_hh,hh_size_1,hh_size_2,hh_size_3,hh_size_4_plus,gq_num_hh,gq_type_univ,gq_type_mil,gq_type_othnon
10124,17,2,3,4,8,0,0,0,0
10125,48,9,12,9,18,0,0,0,0
10127,40,18,20,2,0,1,0,0,1
10128,345,149,139,29,28,0,0,0,0
10130,0,0,0,0,0,0,0,0,0
10133,68,14,19,12,23,0,0,0,0
10137,216,159,42,9,6,32,0,0,32
10138,334,264,58,9,3,0,0,0,0
10140,139,72,44,15,8,0,0,0,0
10141,114,35,39,22,18,0,0,0,0
10142,158,78,49,19,12,0,0,0,0
10143,148,49,64,14,21,0,0,0,0
10144,80,73,7,0,0,8,0,0,8
10147,74,12,16,13,33,5,0,0,5
10150,56,19,26,7,4,0,0,0,0
10151,0,0,0,0,0,0,0,0,0
10153,0,0,0,0,0,0,0,0,0
10157,148,66,40,26,16,0,0,0,0
10159,0,0,0,0,0,2,0,0,2
10160,145,88,38,13,6,0,0,0,0
10161,160,103,35,17,5,0,0,0,0
10162,180,132,40,5,3,0,0,0,0
10163,88,58,22,7,1,0,0,0,0
10164,72,28,24,10,10,0,0,0,0
10165,147,75,53,13,6,0,0,0,0
10167,165,94,49,21,1,0,0,0,0
10168,90,24,47,11,8,0,0,0,0
10169,74,39,26,9,0,0,0,0,0
10170,0,0,0,0,0,2,0,0,2
10172,188,91,68,15,14,0,0,0,0
10173,103,66,34,3,0,0,0,0,0
10179,176,83,70,15,8,0,0,0,0
10180,63,25,25,6,7,0,0,0,0
10181,57,27,25,3,2,0,0,0,0
10184,33,6,9,7,11,0,0,0,0
10185,191,30,76,60,25,0,0,0,0
10186,0,0,0,0,0,0,0,0,0
10187,64,15,10,16,23,0,0,0,0
10190,61,12,14,9,26,0,0,0,0
10192,27,4,4,3,16,0,0,0,0
10193,53,8,16,14,15,0,0,0,0
10194,39,5,13,3,18,0,0,0,0
10195,42,11,13,2,16,24,0,0,24
10197,51,9,12,12,18,0,0,0,0
10198,123,24,21,30,48,0,0,0,0
10200,108,61,28,17,2,0,0,0,0
10201,33,5,19,5,4,0,0,0,0
10202,71,25,26,11,9,0,0,0,0
10203,20,5,5,7,3,0,0,0,0
10204,40,8,14,7,11,0,0,0,0
10206,44,12,10,4,18,0,0,0,0
10207,54,12,21,10,11,0,0,0,0
10208,44,10,7,11,16,0,0,0,0
10209,60,8,16,9,27,0,0,0,0
10210,155,60,56,19,20,0,0,0,0
10211,95,34,29,14,18,0,0,0,0
10212,84,25,27,17,15,0,0,0,0
10213,63,14,17,14,18,0,0,0,0
10214,83,21,28,13,21,0,0,0,0
10215,193,83,60,25,25,0,0,0,0
10218,93,51,37,3,2,0,0,0,0
10219,1223,131,275,292,525,162,18,0,144
10222,0,0,0,0,0,3,0,0,3
10223,78,22,24,14,18,0,0,0,0
10224,50,5,15,17,13,0,0,0,0
10225,63,11,19,15,18,0,0,0,0
10226,54,10,14,13,17,0,0,0,0
10227,53,12,11,12,18,0,0,0,0
10228,58,20,14,11,13,0,0,0,0
10229,47,10,16,6,15,0,0,0,0
10230,58,12,17,16,13,0,0,0,0
10231,52,7,17,11,17,0,0,0,0
10232,27,1,13,5,8,0,0,0,0
10233,15,4,8,2,1,0,0,0,0
10234,71,15,24,18,14,0,0,0,0
10235,36,11,13,7,5,0,0,0,0
10236,42,11,12,3,16,0,0,0,0
10241,35,5,5,8,17,0,0,0,0
10242,60,1,4,11,44,0,0,0,0
10247,56,18,19,14,5,0,0,0,0
10248,75,21,29,10,15,0,0,0,0
10249,42,11,20,9,2,0,0,0,0
10250,105,33,33,18,21,0,0,0,0
10251,83,18,30,12,23,0,0,0,0
10252,59,19,16,13,11,6,0,0,6
10253,62,15,22,9,16,3,0,0,3
10254,176,56,55,29,36,0,0,0,0
10255,107,29,37,15,26,0,0,0,0
10256,114,39,39,24,12,0,0,0,0
10257,76,20,29,15,12,0,0,0,0
10258,55,7,22,14,12,0,0,0,0
10259,0,0,0,0,0,2,0,0,2
10260,0,0,0,0,0,0,0,0,0
10261,0,0,0,0,0,6,0,0,6
10262,300,206,81,10,3,0,0,0,0
10263,0,0,0,0,0,0,0,0,0
10265,571,237,256,49,29,0,0,0,0
10266,110,36,37,19,18,0,0,0,0
10268,231,183,40,5,3,4,0,0,4
10269,181,152,26,3,0,6,0,0,6
10270,129,51,24,11,43,0,0,0,0
10271,157,54,68,19,16,42,0,0,42
10272,66,39,16,7,4,29,0,0,29
10273,49,20,22,4,3,1,0,0,1
10274,76,10,22,15,29,0,0,0,0
10275,8,3,3,0,2,0,0,0,0
10276,0,0,0,0,0,0,0,0,0
10277,85,64,13,0,8,74,0,0,74
10278,87,18,15,16,38,0,0,0,0
10279,227,122,45,16,44,0,0,0,0
10280,31,13,6,7,5,7,0,0,7
10281,94,20,23,19,32,0,0,0,0
10282,0,0,0,0,0,0,0,0,0
10283,32,13,16,2,1,0,0,0,0
10284,66,27,24,7,8,0,0,0,0
10287,52,15,14,12,11,1,0,0,1
10288,71,19,28,6,18,0,0,0,0
10289,77,18,26,17,16,11,0,0,11
10290,190,23,42,45,80,14,0,0,14
10292,90,21,26,20,23,0,0,0,0
10295,37,10,18,6,3,0,0,0,0
10300,111,24,46,26,15,17,0,0,17
10302,130,72,43,9,6,0,0,0,0
10308,329,246,77,4,2,0,0,0,0
10309,122,36,37,27,22,0,0,0,0
10310,55,17,19,12,7,0,0,0,0
10312,42,11,11,7,13,0,0,0,0
10313,71,16,35,10,10,0,0,0,0
10315,27,3,15,6,3,0,0,0,0
10316,86,27,37,13,9,0,0,0,0
10317,94,29,27,20,18,10,0,0,10
10321,80,29,24,11,16,0,0,0,0
10322,54,20,18,7,9,0,0,0,0
10323,58,8,22,7,21,0,0,0,0
10324,53,12,12,11,18,0,0,0,0
10325,44,10,11,10,13,0,0,0,0
10326,59,7,17,15,20,0,0,0,0
10327,69,18,17,16,18,0,0,0,0
10328,56,11,13,11,21,0,0,0,0
10329,52,9,14,11,18,0,0,0,0
10330,59,12,23,9,15,0,0,0,0
10331,70,12,19,17,22,0,0,0,0
10333,76,17,26,18,15,0,0,0,0
10334,126,48,38,20,20,0,0,0,0
10335,129,36,43,21,29,0,0,0,0
10336,54,8,18,11,17,0,0,0,0
10337,48,9,17,9,13,0,0,0,0
10338,61,14,10,10,27,0,0,0,0
10340,87,21,40,7,19,0,0,0,0
10341,54,15,14,7,18,0,0,0,0
10344,86,21,36,15,14,0,0,0,0
10347,21,4,8,5,4,0,0,0,0
10349,48,6,20,12,10,0,0,0,0
10350,22,1,9,5,7,0,0,0,0
10351,29,5,9,4,11,0,0,0,0
10352,75,16,20,16,23,0,0,0,0
10353,165,34,63,30,38,0,0,0,0
10355,93,54,31,4,4,0,0,0,0
10358,86,33,27,13,13,0,0,0,0
10359,78,9,26,17,26,0,0,0,0
10368,50,29,16,4,1,0,0,0,0
10369,0,0,0,0,0,0,0,0,0
10370,0,0,0,0,0,0,0,0,0
10372,85,43,26,9,7,0,0,0,0
10373,175,88,73,13,1,0,0,0,0
10375,72,40,27,4,1,0,0,0,0
10376,146,53,61,19,13,0,0,0,0
10377,0,0,0,0,0,0,0,0,0
10378,144,64,43,23,14,0,0,0,0
10380,42,8,13,14,7,1,0,0,1
10384,69,13,25,16,15,3,0,0,3
10385,141,70,51,17,3,0,0,0,0
10386,83,30,32,12,9,0,0,0,0
10388,559,261,211,47,40,0,0,0,0
10390,324,158,122,28,16,0,0,0,0
10392,145,68,54,15,8,0,0,0,0
10394,71,24,35,5,7,10,0,0,10
10395,0,0,0,0,0,4,0,0,4
10398,414,243,129,29,13,0,0,0,0
10399,25,20,5,0,0,3,0,0,3
10400,82,15,34,15,18,0,0,0,0
10401,174,67,70,25,12,0,0,0,0
10402,16,2,5,4,5,0,0,0,0
10403,66,22,16,11,17,0,0,0,0
10405,74,18,22,16,18,0,0,0,0
10411,52,5,10,7,30,0,0,0,0
10413,134,64,30,21,19,1,0,0,1
10414,130,36,61,16,17,0,0,0,0
10416,115,52,39,8,16,0,0,0,0
10417,121,54,40,18,9,0,0,0,0
10418,140,75,40,14,11,0,0,0,0
10419,113,35,46,19,13,0,0,0,0
10420,103,47,38,11,7,0,0,0,0
10421,52,13,26,9,4,0,0,0,0
10424,50,14,12,9,15,0,0,0,0
10425,91,23,38,16,14,3,0,0,3
10427,26,8,5,1,12,0,0,0,0
10428,23,6,7,2,8,0,0,0,0
10429,54,11,15,12,16,0,0,0,0
10430,40,6,12,9,13,0,0,0,0
10431,26,4,9,2,11,0,0,0,0
10432,52,8,7,12,25,18,0,0,18
10433,46,6,12,4,24,0,0,0,0
10434,30,8,6,4,12,1,0,0,1
10435,40,5,9,9,17,0,0,0,0
10436,48,11,16,11,10,0,0,0,0
10437,51,6,10,10,25,0,0,0,0
10438,155,30,44,34,47,0,0,0,0
10440,36,5,9,4,18,0,0,0,0
10441,74,17,11,12,34,0,0,0,0
10443,59,11,16,12,20,0,0,0,0
10444,42,9,11,5,17,0,0,0,0
10445,317,64,70,62,121,0,0,0,0
10446,490,102,113,65,210,0,0,0,0
10447,0,0,0,0,0,1,0,0,1
10450,37,13,12,4,8,0,0,0,0
10452,25,3,2,5,15,0,0,0,0
10454,516,343,81,35,57,41,0,0,41
10455,28,11,13,4,0,1,0,0,1
10456,518,343,128,22,25,242,0,0,242
10457,188,74,72,27,15,231,0,0,231
10458,20,7,11,2,0,0,0,0,0
10460,60,40,6,10,4,2,0,0,2
10462,231,120,67,20,24,0,0,0,0
10463,36,4,12,5,15,0,0,0,0
10464,39,8,7,9,15,0,0,0,0
10466,71,21,23,16,11,0,0,0,0
10467,52,15,9,14,14,0,0,0,0
10468,111,29,47,17,18,0,0,0,0
10469,80,19,17,23,21,0,0,0,0
10470,87,24,22,15,26,0,0,0,0
10472,33,7,13,5,8,0,0,0,0
10473,59,25,20,6,8,1,0,0,1
10474,103,36,36,24,7,0,0,0,0
10476,0,0,0,0,0,69,0,0,69
10477,63,17,27,8,11,0,0,0,0
10482,0,0,0,0,0,1,0,0,1
10483,0,0,0,0,0,1,0,0,1
10484,165,102,45,11,7,0,0,0,0
10486,140,57,61,18,4,0,0,0,0
10487,164,90,57,9,8,0,0,0,0
10488,65,42,21,2,0,0,0,0,0
10489,156,84,60,11,1,0,0,0,0
10490,195,112,74,8,1,0,0,0,0
10493,206,121,56,17,12,0,0,0,0
10494,77,32,29,5,11,0,0,0,0
10496,190,107,61,12,10,0,0,0,0
10498,187,83,70,26,8,0,0,0,0
10499,209,137,59,11,2,0,0,0,0
10501,207,105,76,16,10,0,0,0,0
10503,146,57,53,19,17,0,0,0,0
10504,79,24,31,11,13,0,0,0,0
10507,89,35,40,9,5,0,0,0,0
10508,69,24,33,6,6,0,0,0,0
10509,90,31,41,10,8,0,0,0,0
10512,796,0,0,0,796,0,0,0,0
10514,154,67,70,13,4,1,0,0,1
10515,113,69,38,5,1,163,0,0,163
10517,112,41,63,8,0,0,0,0,0
10518,102,28,42,15,17,0,0,0,0
10519,36,7,15,3,11,0,0,0,0
10520,0,0,0,0,0,0,0,0,0
10523,141,41,49,29,22,0,0,0,0
10524,81,28,18,9,26,0,0,0,0
10525,78,21,26,12,19,0,0,0,0
10526,102,37,31,17,17,0,0,0,0
10527,126,50,42,16,18,0,0,0,0
10528,70,16,15,18,21,0,0,0,0
10529,82,22,29,12,19,0,0,0,0
10530,61,14,16,9,22,5,0,0,5
10532,751,466,233,42,10,0,0,0,0
10535,168,77,71,13,7,0,0,0,0
10536,87,37,38,11,1,0,0,0,0
10538,93,46,31,7,9,0,0,0,0
10539,79,38,33,2,6,0,0,0,0
10540,83,31,32,14,6,0,0,0,0
10541,83,22,33,16,12,0,0,0,0
10542,47,12,24,3,8,0,0,0,0
10543,100,26,35,17,22,0,0,0,0
10544,45,17,15,7,6,0,0,0,0
10546,29,3,20,5,1,0,0,0,0
10547,27,8,9,8,2,0,0,0,0
10549,9,6,2,0,1,0,0,0,0
10551,49,16,20,4,9,0,0,0,0
10552,51,24,20,5,2,0,0,0,0
10553,59,21,28,7,3,0,0,0,0
10554,149,58,72,5,14,0,0,0,0
10555,192,0,0,0,192,0,0,0,0
10564,86,51,28,6,1,1,0,0,1
10566,54,21,19,4,10,4,0,0,4
10567,140,67,52,12,9,1,0,0,1
10572,0,0,0,0,0,2,0,0,2
10573,109,72,29,4,4,0,0,0,0
10575,0,0,0,0,0,0,0,0,0
10576,67,13,14,11,29,0,0,0,0
10581,1,0,0,0,1,0,0,0,0
10582,0,0,0,0,0,0,0,0,0
10585,86,34,20,15,17,0,0,0,0
10586,84,22,27,12,23,0,0,0,0
10587,99,24,25,28,22,0,0,0,0
10590,58,11,18,12,17,0,0,0,0
10593,0,0,0,0,0,0,0,0,0
10594,88,31,33,16,8,0,0,0,0
10595,115,76,26,6,7,0,0,0,0
10596,119,69,45,4,1,0,0,0,0
10597,22,10,7,5,0,0,0,0,0
10598,57,23,21,7,6,0,0,0,0
10600,0,0,0,0,0,0,0,0,0
10601,238,182,48,7,1,0,0,0,0
10602,156,85,54,9,8,0,0,0,0
10604,67,26,34,4,3,0,0,0,0
10605,37,7,14,5,11,0,0,0,0
10606,72,24,21,10,17,0,0,0,0
10607,60,11,26,12,11,0,0,0,0
10608,66,13,26,11,16,0,0,0,0
10609,0,0,0,0,0,0,0,0,0
10610,42,15,10,12,5,0,0,0,0
10611,95,34,35,10,16,0,0,0,0
10612,265,115,83,41,26,0,0,0,0
10613,32,8,16,3,5,0,0,0,0
10614,75,22,39,9,5,0,0,0,0
10627,42,10,11,8,13,15,0,0,15
10628,31,5,16,2,8,0,0,0,0
10632,101,63,29,2,7,0,0,0,0
10635,86,43,30,7,6,5,0,0,5
10637,107,52,38,9,8,0,0,0,0
10642,23,3,3,4,13,0,0,0,0
10646,159,91,43,9,16,0,0,0,0
10649,230,109,102,15,4,0,0,0,0
10650,236,71,121,23,21,0,0,0,0
10654,61,37,21,2,1,0,0,0,0
10655,32,7,6,7,12,15,0,0,15
10658,0,0,0,0,0,0,0,0,0
10659,66,6,15,10,35,0,0,0,0
10660,22,5,5,4,8,1,0,0,1
10665,45,12,12,5,16,0,0,0,0
10666,40,15,11,5,9,0,0,0,0
10667,49,14,19,5,11,0,0,0,0
10668,61,13,23,9,16,0,0,0,0
10669,72,15,21,15,21,0,0,0,0
10670,76,16,26,14,20,0,0,0,0
10671,82,17,33,15,17,0,0,0,0
10675,1025,659,295,42,29,21,0,0,21
10677,75,33,37,2,3,0,0,0,0
10680,72,16,38,13,5,1,0,0,1
10681,102,52,25,7,18,0,0,0,0
10683,20,3,8,3,6,0,0,0,0
10684,27,4,11,5,7,0,0,0,0
10685,35,9,9,4,13,0,0,0,0
10686,25,12,11,0,2,0,0,0,0
10693,104,56,32,9,7,0,0,0,0
10695,97,49,33,8,7,0,0,0,0
10696,0,0,0,0,0,0,0,0,0
10697,87,20,29,19,19,0,0,0,0
10698,140,65,41,21,13,0,0,0,0
10699,87,42,29,11,5,0,0,0,0
10700,30,6,10,8,6,3,0,0,3
10701,59,17,22,7,13,0,0,0,0
10702,0,0,0,0,0,3,0,0,3
10703,0,0,0,0,0,1,0,0,1
10704,65,24,37,3,1,0,0,0,0
10705,54,9,19,15,11,0,0,0,0
10706,104,37,32,18,17,0,0,0,0
10707,56,10,10,8,28,0,0,0,0
10708,59,8,9,11,31,5,0,0,5
10711,40,4,7,8,21,0,0,0,0
10713,56,8,8,16,24,0,0,0,0
10714,67,11,14,13,29,0,0,0,0
10716,34,1,7,7,19,0,0,0,0
10717,53,12,11,3,27,0,0,0,0
10718,55,6,8,12,29,0,0,0,0
10720,46,11,13,5,17,0,0,0,0
10721,51,3,20,6,22,0,0,0,0
10722,57,9,17,5,26,0,0,0,0
10724,177,83,68,17,9,0,0,0,0
10725,49,7,12,11,19,0,0,0,0
10726,109,26,34,18,31,0,0,0,0
10727,32,5,12,6,9,0,0,0,0
10728,31,4,9,4,14,0,0,0,0
10731,0,0,0,0,0,0,0,0,0
10734,54,15,20,11,8,0,0,0,0
10735,0,0,0,0,0,0,0,0,0
10736,11,3,2,2,4,0,0,0,0
10743,27,6,10,6,5,0,0,0,0
10744,85,13,23,24,25,0,0,0,0
10745,54,10,28,7,9,0,0,0,0
10750,31,5,10,2,14,0,0,0,0
10751,58,10,19,9,20,0,0,0,0
10753,53,11,13,10,19,0,0,0,0
10754,65,15,20,8,22,0,0,0,0
10756,49,8,13,7,21,0,0,0,0
10760,49,5,12,13,19,0,0,0,0
10761,65,13,20,14,18,0,0,0,0
10762,138,56,49,14,19,0,0,0,0
10763,126,44,54,13,15,0,0,0,0
10764,136,33,47,27,29,0,0,0,0
10765,59,20,22,9,8,0,0,0,0
10766,67,14,33,8,12,0,0,0,0
10767,62,15,15,14,18,4,0,0,4
10768,121,51,54,6,10,0,0,0,0
10769,51,34,17,0,0,43,0,0,43
10770,169,64,65,18,22,0,0,0,0
10771,131,58,42,17,14,8,0,0,8
10772,73,26,21,16,10,0,0,0,0
10773,115,45,38,20,12,0,0,0,0
10774,95,28,37,22,8,4,0,0,4
10775,67,18,26,17,6,0,0,0,0
10776,33,4,13,10,6,0,0,0,0
10780,28,5,12,3,8,0,0,0,0
10782,57,10,23,13,11,0,0,0,0
10783,44,8,15,7,14,0,0,0,0
10786,25,8,8,5,4,0,0,0,0
10787,0,0,0,0,0,0,0,0,0
10790,44,7,16,5,16,0,0,0,0
10791,38,15,11,6,6,0,0,0,0
10793,277,142,79,32,24,0,0,0,0
10795,48,4,9,9,26,0,0,0,0
10798,41,16,11,6,8,19,0,0,19
10801,81,20,23,10,28,0,0,0,0
10803,128,31,33,21,43,16,0,0,16
10805,21,4,9,3,5,0,0,0,0
10806,37,6,10,9,12,0,0,0,0
10809,3,0,0,0,3,0,0,0,0
10810,58,30,8,8,12,0,0,0,0
10811,49,10,8,8,23,0,0,0,0
10812,44,8,6,8,22,0,0,0,0
10813,42,11,8,4,19,36,0,0,36
10814,160,26,35,27,72,7,0,0,7
10817,39,9,7,6,17,0,0,0,0
10818,39,2,7,4,26,7,0,0,7
10819,60,12,6,10,32,0,0,0,0
10822,1,0,0,0,1,0,0,0,0
10823,36,11,16,1,8,0,0,0,0
10834,73,25,20,20,8,0,0,0,0
10835,78,31,20,16,11,5,0,0,5
10837,130,38,47,25,20,0,0,0,0
10838,113,46,32,19,16,0,0,0,0
10839,0,0,0,0,0,0,0,0,0
10840,0,0,0,0,0,0,0,0,0
10843,60,32,18,3,7,0,0,0,0
10847,67,35,22,7,3,0,0,0,0
10848,81,32,31,9,9,0,0,0,0
10849,113,62,32,15,4,3,0,0,3
10850,82,37,34,9,2,0,0,0,0
10851,104,33,43,15,13,0,0,0,0
10852,100,41,36,18,5,0,0,0,0
10853,275,76,96,54,49,0,0,0,0
10854,27,10,7,5,5,0,0,0,0
10856,231,92,89,22,28,0,0,0,0
10857,158,59,66,8,25,0,0,0,0
10858,51,17,24,9,1,16,0,0,16
10859,69,21,32,7,9,0,0,0,0
10860,43,7,11,5,20,0,0,0,0
10861,28,9,5,8,6,0,0,0,0
10863,10,0,0,0,10,0,0,0,0
10864,14,1,4,1,8,0,0,0,0
10865,61,7,8,11,35,0,0,0,0
10866,38,5,10,4,19,0,0,0,0
10867,42,4,11,11,16,0,0,0,0
10868,23,3,7,3,10,0,0,0,0
10871,187,80,57,17,33,39,0,0,39
10873,47,9,9,13,16,0,0,0,0
10874,152,38,53,32,29,0,0,0,0
10876,40,16,10,7,7,0,0,0,0
10877,96,43,41,9,3,0,0,0,0
10878,32,5,12,7,8,0,0,0,0
10879,73,13,33,18,9,0,0,0,0
10881,64,13,19,9,23,0,0,0,0
10882,55,16,8,15,16,0,0,0,0
10883,69,15,19,17,18,0,0,0,0
10884,127,50,40,15,22,0,0,0,0
10885,0,0,0,0,0,0,0,0,0
10886,64,17,17,8,22,0,0,0,0
10887,131,50,37,22,22,0,0,0,0
10889,107,29,36,16,26,0,0,0,0
10890,48,9,21,10,8,0,0,0,0
10891,50,9,19,6,16,0,0,0,0
10892,124,49,46,15,14,0,0,0,0
10893,80,21,22,21,16,0,0,0,0
10894,73,17,18,17,21,0,0,0,0
10895,187,72,72,27,16,0,0,0,0
10896,140,60,58,16,6,0,0,0,0
10897,55,9,14,17,15,0,0,0,0
10898,55,5,19,11,20,0,0,0,0
10899,78,39,17,12,10,22,0,0,22
10900,59,23,21,8,7,12,0,0,12
10901,76,22,29,14,11,12,0,0,12
10902,85,38,27,9,11,0,0,0,0
10904,174,86,67,12,9,0,0,0,0
10906,144,56,59,16,13,0,0,0,0
10907,72,29,24,14,5,13,0,0,13
10908,128,50,47,18,13,0,0,0,0
10909,119,45,45,14,15,0,0,0,0
10910,95,29,37,21,8,0,0,0,0
10911,96,41,20,15,20,1,0,0,1
10912,113,62,36,6,9,0,0,0,0
10913,51,13,19,16,3,0,0,0,0
10914,72,27,23,15,7,0,0,0,0
10915,55,24,13,8,10,0,0,0,0
10916,38,5,19,7,7,0,0,0,0
10917,35,9,15,6,5,0,0,0,0
10920,0,0,0,0,0,0,0,0,0
10922,40,6,25,6,3,10,0,0,10
10924,69,22,25,12,10,0,0,0,0
10925,58,11,18,11,18,0,0,0,0
10927,198,73,68,24,33,0,0,0,0
10929,74,19,35,10,10,0,0,0,0
10930,95,39,34,13,9,0,0,0,0
10933,43,9,14,4,16,0,0,0,0
10934,24,8,6,5,5,0,0,0,0
10936,44,10,15,5,14,0,0,0,0
10937,66,5,13,15,33,0,0,0,0
10938,38,5,4,6,23,0,0,0,0
10939,44,9,9,8,18,0,0,0,0
10940,37,5,14,3,15,0,0,0,0
10941,45,5,12,6,22,0,0,0,0
10944,32,11,13,1,7,10,0,0,10
10947,91,21,23,18,29,0,0,0,0
10948,196,74,39,34,49,1,0,0,1
10950,263,183,49,18,13,0,0,0,0
10951,0,0,0,0,0,0,0,0,0
10955,62,10,21,8,23,0,0,0,0
10956,49,11,14,12,12,0,0,0,0
10957,32,9,9,9,5,0,0,0,0
10958,61,32,15,10,4,0,0,0,0
10959,241,92,92,37,20,58,0,0,58
10961,88,29,34,12,13,0,0,0,0
10962,111,50,38,11,12,0,0,0,0
10964,34,15,16,1,2,1,0,0,1
10965,93,23,42,12,16,1,0,0,1
10966,218,83,81,42,12,0,0,0,0
10967,78,33,29,12,4,0,0,0,0
10970,49,19,20,4,6,0,0,0,0
10972,0,0,0,0,0,13,0,0,13
10975,73,13,19,9,32,24,0,0,24
10976,74,17,26,14,17,0,0,0,0
10977,36,7,9,5,15,0,0,0,0
10978,40,8,12,9,11,0,0,0,0
10982,55,19,13,6,17,0,0,0,0
10983,64,18,22,10,14,0,0,0,0
10984,52,23,16,4,9,0,0,0,0
10985,120,52,50,17,1,0,0,0,0
10986,82,26,45,7,4,0,0,0,0
10989,129,73,43,8,5,0,0,0,0
10990,85,37,36,9,3,0,0,0,0
10991,184,90,61,23,10,0,0,0,0
10992,134,79,42,7,6,0,0,0,0
10993,145,93,35,6,11,17,0,0,17
10994,105,40,36,16,13,0,0,0,0
10995,112,52,41,12,7,0,0,0,0
10996,269,154,98,11,6,38,38,0,0
10997,86,44,28,8,6,0,0,0,0
10999,87,35,35,10,7,0,0,0,0
11001,108,47,34,12,15,0,0,0,0
11002,24,5,5,4,10,0,0,0,0
11004,94,32,29,15,18,0,0,0,0
11005,82,25,29,9,19,0,0,0,0
11006,91,28,26,13,24,0,0,0,0
11008,156,62,48,23,23,0,0,0,0
11011,20,0,0,0,20,0,0,0,0
11013,0,0,0,0,0,0,0,0,0
11014,0,0,0,0,0,0,0,0,0
11015,35,17,12,2,4,0,0,0,0
11018,49,11,10,4,24,3,0,0,3
11021,79,11,27,21,20,0,0,0,0
11026,385,138,136,54,57,54,54,0,0
11027,79,28,36,9,6,0,0,0,0
11028,80,27,31,14,8,0,0,0,0
11031,0,0,0,0,0,0,0,0,0
11033,0,0,0,0,0,1,0,0,1
11038,0,0,0,0,0,0,0,0,0
11039,106,35,23,14,34,3,0,0,3
11041,39,6,6,6,21,0,0,0,0
11042,45,10,11,6,18,1,0,0,1
11044,53,8,10,14,21,2,0,0,2
11046,74,11,28,12,23,0,0,0,0
11051,63,17,23,4,19,2,0,0,2
11055,72,17,24,21,10,0,0,0,0
11056,56,10,10,11,25,1,0,0,1
11059,80,39,30,5,6,0,0,0,0
11060,80,17,30,16,17,0,0,0,0
11062,70,23,21,13,13,0,0,0,0
11063,102,28,39,15,20,0,0,0,0
11064,107,45,40,17,5,0,0,0,0
11065,0,0,0,0,0,0,0,0,0
11067,135,55,44,17,19,0,0,0,0
11068,94,50,29,3,12,0,0,0,0
11071,585,363,89,48,85,239,0,0,239
11073,159,14,29,28,88,0,0,0,0
11074,26,0,0,0,26,0,0,0,0
11075,241,0,0,0,241,0,0,0,0
11079,149,79,47,16,7,0,0,0,0
11080,96,45,17,16,18,0,0,0,0
11081,86,36,31,11,8,0,0,0,0
11082,100,40,30,18,12,0,0,0,0
11083,211,34,77,48,52,0,0,0,0
