MAZ,TAZ,ACRES,HH,POP,ag,art_rec,constr,eat,ed_high,ed_k12,ed_oth,fire,gov,health,hotel,info,lease,logis,man_bio,man_hvy,man_lgt,man_tech,natres,prof,ret_loc,ret_reg,serv_bus,serv_pers,serv_soc,transp,unclass,util,emp_total,publicEnrollGradeKto8,publicEnrollGrade9to12,privateEnrollGradeKto8,privateEnrollGrade9to12,comm_coll_enroll
10153,371,1.958802627,0,0,0,33,10,0,5,4,3,37,0,5,16,2,0,7,0,0,0,0,0,35,14,1,46,10,0,12,9,0,249,0,0,0,0,0
10157,388,3.713249285,148,310,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0
10159,581,5.615217724,0,0,0,0,33,224,7,0,0,693,0,0,0,583,0,43,0,0,10,0,0,2524,9,206,96,28,0,7,7,434,4904,0,0,0,0,0
10160,426,3.870655273,145,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10161,426,3.827658975,160,251,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
10162,427,3.857805805,180,243,0,27,0,0,0,0,0,5,0,0,0,7,0,4,0,0,0,0,0,0,11,0,0,1,0,0,0,0,55,0,0,0,0,0
10163,431,3.841743969,88,128,0,0,2,112,0,0,1,3,0,0,2,0,0,0,0,0,31,0,0,2,62,0,0,10,0,0,0,0,225,0,0,0,0,0
10164,364,2.567175539,72,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10165,366,3.974192337,147,252,0,0,3,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,10,2,0,0,0,35,0,0,0,0,0
10167,430,5.708623476,165,260,0,0,0,107,0,0,0,11,21,2,7,2,0,0,0,0,0,0,0,3,9,0,9,18,2,0,0,0,191,0,0,0,0,0
10168,6,3.223239746,90,194,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,17,0,0,0,0,0
10169,11,4.317668513,74,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10170,6,4.621607864,0,0,0,22,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,2,0,189,0,0,162,0,0
10172,1,3.113030844,188,347,0,0,5,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,27,0,0,0,0,0
10173,3,2.745832571,103,143,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,103,0,0,419,0,0
10179,420,9.932144922,176,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10180,420,3.315657077,63,131,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10181,446,3.320599181,57,97,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
10184,52,4.402425584,33,104,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,72,520,0,0,0,0
10185,592,101.1878345,191,496,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,16,0,0,0,0,0
10186,592,22.6474353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10187,454,4.293205102,64,206,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,14,0,0,0,0,0
10190,197,4.597391558,61,207,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
10192,314,4.016200214,27,107,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,329,0,0,0,0
10193,152,5.507479873,53,163,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
10194,186,3.143424779,39,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10195,156,3.560785399,42,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10197,315,3.336661016,51,166,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10198,317,6.161320135,123,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
10200,476,5.231957617,108,179,0,0,0,0,0,22,0,0,7,0,0,16,0,0,0,0,3,0,0,0,1,22,4,0,0,0,0,0,75,0,0,0,0,0
10201,302,10.42017762,33,79,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
10202,646,8.449513944,71,158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10203,128,2.422866123,20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
10204,128,2.451283217,40,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0
10206,208,4.867230396,44,141,0,0,0,19,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,5,2,0,1,0,0,0,0,38,0,0,0,0,0
10207,210,4.704140988,54,143,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10208,209,4.863770924,44,143,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,71,0,0,0,0,0,0,0,91,0,0,0,0,0
10209,209,4.826458044,60,212,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0
10210,545,4.906025907,155,336,0,0,0,0,0,0,5,0,0,4,0,2,0,4,0,0,0,0,0,0,8,0,0,2,0,0,3,0,28,0,0,0,0,0
10211,544,5.147200546,95,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10212,543,4.849933035,84,211,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
10213,333,4.817562258,63,187,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,17,0,0,0,0,0
10214,333,4.84301409,83,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,5,0,0,0,0,0
10215,264,4.843261195,193,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,8,0,0,0,0,0
10218,351,3.79009899,93,145,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,78,0,110,0,0,0,0,0,0,209,0,0,0,0,0
10219,4,429.5552601,1223,4373,2,12,25,10,4,0,0,25,41,39,0,4,0,8,0,0,14,0,0,84,8,0,17,58,78,0,11,0,440,0,17,0,0,0
10222,597,3.946269453,0,0,0,0,36,103,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,30,1,0,11,0,0,0,10,0,206,0,0,0,0,0
10223,504,4.841531459,78,209,0,0,2,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,24,0,0,0,0,0
10224,162,4.823492782,50,156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10225,166,24.32453804,63,191,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,326,0,0,0,331,0,0,42,20,0
10226,494,4.833129883,54,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0
10227,499,4.853392507,53,167,0,0,0,2,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0
10228,498,4.846226457,58,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10229,495,4.846226457,47,141,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,50,0,0
10230,495,4.840543038,58,164,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10231,495,4.839801723,52,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0
10232,281,2.424101649,27,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0
10233,282,6.173922498,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10234,495,4.820774625,71,192,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0
10235,281,4.097992023,36,85,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
10236,296,4.957670886,42,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10241,192,4.138764375,35,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10242,626,2.480688732,60,278,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
10247,267,4.968790618,56,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10248,269,4.867477501,75,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0
10249,268,2.38777719,42,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10250,76,4.819539099,105,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0
10251,261,5.123231345,83,237,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
10252,265,4.836095145,59,149,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
10253,546,4.82818778,62,172,0,0,16,30,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,3,0,14,1,0,0,0,0,74,0,0,0,0,0
10254,172,6.898434836,176,446,0,0,0,0,0,0,0,2,0,7,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,36,0,0,0,0,0
10255,173,4.831647252,107,288,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,4,0,0,0,0,18,0,0,0,0,0
10256,172,4.977686404,114,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
10257,172,4.980651666,76,187,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
10258,176,4.865747765,55,157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
10259,588,2.136471239,0,0,0,0,2,17,0,0,0,163,8,0,0,2,0,0,0,0,0,0,0,266,8,0,58,4,0,0,10,0,538,0,0,0,0,0
10260,581,5.201069471,0,0,0,0,0,0,0,0,0,1413,0,0,0,206,0,0,0,0,0,0,0,131,15,0,2,0,0,0,0,0,1767,0,0,0,0,0
10261,581,5.194150527,0,0,0,10,7,66,0,43,8,578,455,24,5,256,0,39,0,0,205,0,5,2689,15,294,311,230,0,0,10,8,5258,0,0,0,0,0
10262,581,5.174629219,300,414,0,22,0,272,0,0,18,65,7,7,5,17,0,12,0,0,3,0,0,193,45,0,27,51,5,25,9,0,783,0,0,0,0,0
10263,590,1.305703681,0,0,0,4,10,36,0,0,13,227,0,0,0,36,0,0,0,0,0,0,0,46,73,24,9,8,0,0,12,0,498,0,0,0,0,0
10265,27,6.886079578,571,1052,0,0,39,33,9,0,0,11,0,0,0,27,0,0,0,0,0,0,0,82,0,0,0,14,0,0,0,0,215,0,0,0,0,0
10266,222,4.823492782,110,264,0,0,9,79,0,11,0,148,2,17,0,0,0,3,0,0,4,0,0,12,11,10,17,2,0,2,5,0,332,0,0,0,0,0
