MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
116188,37,9,14,5,9,7136,1005,100423,2304,81,2,San Mateo
112691,19,5,6,3,5,5440,1005,100423,2304,81,2,San Mateo
116180,88,0,30,29,29,7135,1013,100434,2304,81,2,San Mateo
118624,150,25,50,25,50,8304,1013,100434,2304,81,2,San Mateo
115843,56,8,24,8,16,6975,1013,100434,2304,81,2,San Mateo
112161,71,0,23,24,24,5189,1013,100434,2304,81,2,San Mateo
117817,64,10,24,10,20,7919,1013,100434,2304,81,2,San Mateo
112655,39,10,15,5,9,5417,858,100251,2304,81,2,San Mateo
111751,6,1,2,1,2,5009,858,100251,2304,81,2,San Mateo
110463,9,3,3,1,2,4372,858,100251,2304,81,2,San Mateo
111760,6,2,2,1,1,5012,858,100251,2304,81,2,San Mateo
114574,19,6,5,3,5,6360,858,100251,2304,81,2,San Mateo
114579,0,0,0,0,0,6363,858,100251,2304,81,2,San Mateo
111750,0,0,0,0,0,5008,952,100353,2304,81,2,San Mateo
116031,15,4,5,2,4,7064,858,100251,2304,81,2,San Mateo
115844,45,12,16,6,11,6976,985,100394,2304,81,2,San Mateo
112386,203,53,72,28,50,5293,858,100251,2304,81,2,San Mateo
117955,15,4,5,2,4,7986,858,100251,2304,81,2,San Mateo
114719,30,8,12,3,7,6431,858,100251,2304,81,2,San Mateo
114580,9,2,4,1,2,6364,858,100251,2304,81,2,San Mateo
113609,10,2,3,2,3,5890,858,100251,2304,81,2,San Mateo
117076,4,2,1,0,1,7562,858,100251,2304,81,2,San Mateo
117669,6,1,2,1,2,7844,952,100353,2304,81,2,San Mateo
117616,29,7,11,4,7,7817,858,100251,2304,81,2,San Mateo
117807,104,28,37,14,25,7916,858,100251,2304,81,2,San Mateo
119223,685,92,242,107,244,8590,952,100353,2304,81,2,San Mateo
116824,37,6,14,7,10,7438,964,100371,2304,81,2,San Mateo
112321,230,39,45,38,108,5260,833,100223,2304,81,2,San Mateo
112832,73,12,28,14,19,5502,964,100371,2304,81,2,San Mateo
114313,9,1,2,1,5,6226,833,100223,2304,81,2,San Mateo
111599,9,1,4,2,2,4937,964,100371,2304,81,2,San Mateo
117171,11,2,2,2,5,7606,833,100223,2304,81,2,San Mateo
115631,5,2,1,1,1,6867,833,100223,2304,81,2,San Mateo
119002,0,0,0,0,0,8492,833,100223,2304,81,2,San Mateo
111602,38,6,13,8,11,4938,960,100365,2304,81,2,San Mateo
118994,9,1,4,1,3,8490,964,100371,2304,81,2,San Mateo
115303,161,26,61,30,44,6722,964,100371,2304,81,2,San Mateo
113306,46,7,19,8,12,5736,964,100371,2304,81,2,San Mateo
114773,28,6,8,6,8,6460,962,100369,2304,81,2,San Mateo
113755,39,8,12,8,11,5962,962,100369,2304,81,2,San Mateo
116592,80,16,26,17,21,7327,962,100369,2304,81,2,San Mateo
112319,14,3,4,3,4,5258,962,100369,2304,81,2,San Mateo
117165,6,0,2,2,2,7605,962,100369,2304,81,2,San Mateo
112320,12,2,4,3,3,5259,964,100371,2304,81,2,San Mateo
111598,50,10,16,11,13,4936,962,100369,2304,81,2,San Mateo
112314,17,4,4,4,5,5256,962,100369,2304,81,2,San Mateo
112375,164,31,56,33,44,5289,962,100369,2304,81,2,San Mateo
118085,0,0,0,0,0,8053,964,100371,2304,81,2,San Mateo
118155,28,4,10,6,8,8079,856,100249,2304,81,2,San Mateo
115617,14,2,5,3,4,6865,856,100249,2304,81,2,San Mateo
113752,36,5,13,7,11,5960,856,100249,2304,81,2,San Mateo
115242,20,3,7,4,6,6689,856,100249,2304,81,2,San Mateo
113753,39,6,14,8,11,5961,856,100249,2304,81,2,San Mateo
111977,12,2,4,3,3,5121,856,100249,2304,81,2,San Mateo
115245,313,49,110,67,87,6691,856,100249,2304,81,2,San Mateo
111053,21,3,8,4,6,4672,856,100249,2304,81,2,San Mateo
115244,87,13,31,18,25,6690,856,100249,2304,81,2,San Mateo
118489,91,14,32,20,25,8241,856,100249,2304,81,2,San Mateo
113760,39,6,13,9,11,5963,856,100249,2304,81,2,San Mateo
111054,62,9,22,13,18,4673,856,100249,2304,81,2,San Mateo
113763,39,6,15,8,10,5965,856,100249,2304,81,2,San Mateo
111974,66,10,23,15,18,5120,856,100249,2304,81,2,San Mateo
115248,131,25,45,26,35,6692,962,100369,2304,81,2,San Mateo
110764,0,0,0,0,0,4539,962,100369,2304,81,2,San Mateo
114307,76,12,26,17,21,6225,856,100249,2304,81,2,San Mateo
118088,53,9,18,11,15,8054,856,100249,2304,81,2,San Mateo
112693,0,0,0,0,0,5441,856,100249,2304,81,2,San Mateo
115481,25,4,9,5,7,6798,856,100249,2304,81,2,San Mateo
111973,3,1,1,0,1,5119,856,100249,2304,81,2,San Mateo
115684,0,0,0,0,0,6897,856,100249,2304,81,2,San Mateo
117489,32,6,10,6,10,7759,650,100017,2301,81,2,San Mateo
115435,31,5,11,6,9,6782,650,100017,2301,81,2,San Mateo
111486,144,25,50,28,41,4889,650,100017,2301,81,2,San Mateo
111490,171,31,59,33,48,4891,650,100017,2301,81,2,San Mateo
110919,65,19,24,12,10,4611,649,100016,2301,81,2,San Mateo
119181,38,11,14,7,6,8570,649,100016,2301,81,2,San Mateo
111914,0,0,0,0,0,5088,1001,100419,2301,81,2,San Mateo
114106,165,48,61,30,26,6138,649,100016,2301,81,2,San Mateo
117908,74,21,27,14,12,7963,649,100016,2301,81,2,San Mateo
112261,2,0,1,0,1,5236,649,100016,2301,81,2,San Mateo
118697,108,22,31,20,35,8334,1001,100419,2301,81,2,San Mateo
116112,0,0,0,0,0,7103,649,100016,2301,81,2,San Mateo
114522,31,7,9,6,9,6328,1001,100419,2301,81,2,San Mateo
117074,27,6,8,5,8,7561,1001,100419,2301,81,2,San Mateo
117901,90,16,29,21,24,7957,1002,100420,2301,81,2,San Mateo
115418,115,21,37,26,31,6773,1002,100420,2301,81,2,San Mateo
114528,23,4,7,5,7,6333,1002,100420,2301,81,2,San Mateo
114908,35,6,11,8,10,6515,1002,100420,2301,81,2,San Mateo
114524,77,16,22,15,24,6330,1001,100419,2301,81,2,San Mateo
118822,23,2,6,4,11,8396,1000,100418,2301,81,2,San Mateo
119183,23,4,6,6,7,8572,1002,100420,2301,81,2,San Mateo
114527,124,22,39,29,34,6332,1002,100420,2301,81,2,San Mateo
118826,26,3,7,5,11,8400,1000,100418,2301,81,2,San Mateo
117634,59,6,16,12,25,7824,1000,100418,2301,81,2,San Mateo
118825,22,2,6,4,10,8399,1000,100418,2301,81,2,San Mateo
119182,39,4,10,8,17,8571,1000,100418,2301,81,2,San Mateo
112992,77,9,21,16,31,5580,1000,100418,2301,81,2,San Mateo
112991,29,3,8,6,12,5579,1000,100418,2301,81,2,San Mateo
114523,83,9,22,17,35,6329,1000,100418,2301,81,2,San Mateo
117109,127,31,40,21,35,7581,1003,100421,2301,81,2,San Mateo
112456,123,22,42,24,35,5324,650,100017,2301,81,2,San Mateo
114526,35,6,11,8,10,6331,1002,100420,2301,81,2,San Mateo
117487,48,9,15,11,13,7757,1002,100420,2301,81,2,San Mateo
117911,153,23,50,31,49,7964,1004,100422,2301,81,2,San Mateo
115434,33,8,11,5,9,6781,1003,100421,2301,81,2,San Mateo
116911,50,13,15,8,14,7474,1003,100421,2301,81,2,San Mateo
117652,42,11,12,7,12,7838,1003,100421,2301,81,2,San Mateo
111581,54,13,17,9,15,4928,1003,100421,2301,81,2,San Mateo
115055,29,7,9,5,8,6603,1003,100421,2301,81,2,San Mateo
118439,23,5,8,4,6,8216,1003,100421,2301,81,2,San Mateo
117488,25,3,9,5,8,7758,1004,100422,2301,81,2,San Mateo
114521,2,2,0,0,0,6327,649,100016,2301,81,2,San Mateo
117636,15,4,6,3,2,7825,649,100016,2301,81,2,San Mateo
119084,0,0,0,0,0,8534,647,100014,2301,81,2,San Mateo
111354,87,17,37,16,17,4822,647,100014,2301,81,2,San Mateo
118349,0,0,0,0,0,8173,833,100223,2304,81,2,San Mateo
110610,12,3,4,2,3,4450,833,100223,2304,81,2,San Mateo
115781,35,5,13,7,10,6943,960,100365,2304,81,2,San Mateo
112839,5,1,2,1,1,5503,833,100223,2304,81,2,San Mateo
112840,34,9,11,6,8,5504,833,100223,2304,81,2,San Mateo
119003,12,3,4,2,3,8493,833,100223,2304,81,2,San Mateo
119001,68,10,23,14,21,8491,960,100365,2304,81,2,San Mateo
111608,68,17,24,12,15,4939,833,100223,2304,81,2,San Mateo
112381,38,5,14,7,12,5291,960,100365,2304,81,2,San Mateo
119005,28,6,11,5,6,8494,833,100223,2304,81,2,San Mateo
118096,28,7,8,6,7,8055,833,100223,2304,81,2,San Mateo
111609,48,12,16,9,11,4940,833,100223,2304,81,2,San Mateo
112159,8,1,2,2,3,5188,960,100365,2304,81,2,San Mateo
112843,26,4,9,6,7,5505,960,100365,2304,81,2,San Mateo
117947,244,60,84,45,55,7982,833,100223,2304,81,2,San Mateo
118100,28,5,10,6,7,8056,833,100223,2304,81,2,San Mateo
117175,66,11,24,12,19,7608,833,100223,2304,81,2,San Mateo
117173,48,8,15,10,15,7607,960,100365,2304,81,2,San Mateo
118732,7,1,4,1,1,8351,833,100223,2304,81,2,San Mateo
111746,56,14,18,11,13,5007,833,100223,2304,81,2,San Mateo
118728,2,0,1,0,1,8350,833,100223,2304,81,2,San Mateo
116026,15,2,6,2,5,7063,833,100223,2304,81,2,San Mateo
111740,18,3,7,3,5,5005,833,100223,2304,81,2,San Mateo
116825,28,5,10,6,7,7439,833,100223,2304,81,2,San Mateo
115306,107,14,43,26,24,6723,833,100223,2304,81,2,San Mateo
114571,38,5,15,7,11,6359,833,100223,2304,81,2,San Mateo
115164,8,1,4,1,2,6659,833,100223,2304,81,2,San Mateo
115786,73,11,29,13,20,6944,833,100223,2304,81,2,San Mateo
118184,33,5,13,6,9,8096,833,100223,2304,81,2,San Mateo
117948,86,13,34,16,23,7983,833,100223,2304,81,2,San Mateo
114570,48,7,17,10,14,6358,960,100365,2304,81,2,San Mateo
110831,371,56,127,77,111,4570,960,100365,2304,81,2,San Mateo
111741,66,13,22,13,18,5006,962,100369,2304,81,2,San Mateo
110983,5,5,0,0,0,4647,960,100365,2304,81,2,San Mateo
117809,75,10,29,19,17,7917,833,100223,2304,81,2,San Mateo
113037,33,6,12,6,9,5599,833,100223,2304,81,2,San Mateo
113308,12,1,5,3,3,5738,833,100223,2304,81,2,San Mateo
112643,310,42,110,48,110,5413,952,100353,2304,81,2,San Mateo
116516,262,42,99,48,73,7299,833,100223,2304,81,2,San Mateo
117618,30,5,10,5,10,7818,952,100353,2304,81,2,San Mateo
118274,0,0,0,0,0,8137,650,100017,2301,81,2,San Mateo
110550,88,16,30,17,25,4413,650,100017,2301,81,2,San Mateo
113556,20,3,8,3,6,5867,650,100017,2301,81,2,San Mateo
118169,37,6,13,7,11,8087,650,100017,2301,81,2,San Mateo
118441,25,5,8,5,7,8217,650,100017,2301,81,2,San Mateo
113555,128,19,42,26,41,5866,1004,100422,2301,81,2,San Mateo
118437,193,29,64,39,61,8215,1004,100422,2301,81,2,San Mateo
114507,46,8,16,9,13,6320,650,100017,2301,81,2,San Mateo
114366,110,17,36,22,35,6253,1004,100422,2301,81,2,San Mateo
118168,0,0,0,0,0,8086,650,100017,2301,81,2,San Mateo
112977,382,112,109,68,93,5571,889,100285,2301,81,2,San Mateo
113864,0,0,0,0,0,6007,952,100353,2304,81,2,San Mateo
110549,49,7,16,10,16,4412,1004,100422,2301,81,2,San Mateo
111134,31,5,10,6,10,4708,1004,100422,2301,81,2,San Mateo
117492,20,3,6,4,7,7760,1004,100422,2301,81,2,San Mateo
111148,80,12,26,16,26,4714,1004,100422,2301,81,2,San Mateo
114098,199,30,74,41,54,6132,891,100287,2301,81,2,San Mateo
111288,281,70,86,46,79,4791,1003,100421,2301,81,2,San Mateo
118943,19,3,7,4,5,8457,891,100287,2301,81,2,San Mateo
116922,43,7,18,7,11,7481,891,100287,2301,81,2,San Mateo
118944,220,52,59,36,73,8458,890,100286,2301,81,2,San Mateo
118936,82,20,22,14,26,8454,890,100286,2301,81,2,San Mateo
118170,121,29,32,20,40,8088,890,100286,2301,81,2,San Mateo
115056,328,51,119,68,90,6604,891,100287,2301,81,2,San Mateo
112457,497,75,144,104,174,5325,651,100018,2301,81,2,San Mateo
111299,503,105,166,106,126,4795,999,100417,2301,81,2,San Mateo
115054,30,6,11,6,7,6602,999,100417,2301,81,2,San Mateo
118572,27,6,8,6,7,8284,999,100417,2301,81,2,San Mateo
115433,126,26,41,27,32,6780,999,100417,2301,81,2,San Mateo
114679,7,1,2,2,2,6419,999,100417,2301,81,2,San Mateo
118571,103,21,43,18,21,8283,647,100014,2301,81,2,San Mateo
110943,71,17,19,11,24,4625,890,100286,2301,81,2,San Mateo
116832,83,20,22,14,27,7442,890,100286,2301,81,2,San Mateo
117822,30,9,8,6,7,7923,889,100285,2301,81,2,San Mateo
116834,74,11,22,15,26,7443,651,100018,2301,81,2,San Mateo
116831,69,11,20,14,24,7441,651,100018,2301,81,2,San Mateo
117633,43,7,12,9,15,7823,651,100018,2301,81,2,San Mateo
111574,37,11,10,7,9,4925,889,100285,2301,81,2,San Mateo
116268,51,8,14,11,18,7180,651,100018,2301,81,2,San Mateo
110839,0,0,0,0,0,4571,952,100353,2304,81,2,San Mateo
111304,0,0,0,0,0,4796,651,100018,2301,81,2,San Mateo
111144,0,0,0,0,0,4713,871,100266,2302,81,2,San Mateo
111829,12,3,4,2,3,5048,952,100353,2304,81,2,San Mateo
113872,29,12,9,4,4,6010,871,100266,2302,81,2,San Mateo
113396,133,53,44,18,18,5782,871,100266,2302,81,2,San Mateo
111994,22,8,8,3,3,5134,871,100266,2302,81,2,San Mateo
112387,90,37,30,11,12,5294,871,100266,2302,81,2,San Mateo
114516,51,20,17,7,7,6325,871,100266,2302,81,2,San Mateo
111992,99,40,33,13,13,5133,871,100266,2302,81,2,San Mateo
112136,39,16,13,5,5,5178,871,100266,2302,81,2,San Mateo
118202,29,11,10,4,4,8100,871,100266,2302,81,2,San Mateo
118418,122,21,45,21,35,8204,676,100045,2303,81,2,San Mateo
118157,285,116,94,37,38,8080,871,100266,2302,81,2,San Mateo
115555,140,56,46,19,19,6833,871,100266,2302,81,2,San Mateo
118032,234,45,81,46,62,8025,654,100021,2302,81,2,San Mateo
110916,434,246,146,23,19,4610,654,100021,2302,81,2,San Mateo
118200,42,8,15,8,11,8098,1038,100462,2302,81,2,San Mateo
114909,49,10,20,9,10,6516,647,100014,2301,81,2,San Mateo
110554,32,7,12,6,7,4417,647,100014,2301,81,2,San Mateo
117696,0,0,0,0,0,7856,646,100013,2301,81,2,San Mateo
110692,109,39,39,17,14,4500,998,100416,2301,81,2,San Mateo
119173,37,15,13,5,4,8566,646,100013,2301,81,2,San Mateo
112470,34,14,12,4,4,5335,646,100013,2301,81,2,San Mateo
110551,48,17,18,7,6,4414,998,100416,2301,81,2,San Mateo
117348,104,37,38,17,12,7684,998,100416,2301,81,2,San Mateo
113971,58,23,20,8,7,6067,646,100013,2301,81,2,San Mateo
114529,68,23,26,11,8,6334,998,100416,2301,81,2,San Mateo
117471,460,122,152,88,98,7753,975,100384,2301,81,2,San Mateo
110552,17,6,6,3,2,4415,998,100416,2301,81,2,San Mateo
112995,16,5,6,2,3,5581,975,100384,2301,81,2,San Mateo
113538,10,3,3,2,2,5856,975,100384,2301,81,2,San Mateo
117063,52,21,18,7,6,7555,646,100013,2301,81,2,San Mateo
114380,38,15,13,5,5,6261,646,100013,2301,81,2,San Mateo
116903,41,16,15,5,5,7471,646,100013,2301,81,2,San Mateo
117340,28,12,9,4,3,7679,646,100013,2301,81,2,San Mateo
116354,13,4,5,2,2,7219,646,100013,2301,81,2,San Mateo
116904,21,10,7,2,2,7472,646,100013,2301,81,2,San Mateo
118816,46,18,16,6,6,8393,646,100013,2301,81,2,San Mateo
119100,85,31,30,12,12,8540,646,100013,2301,81,2,San Mateo
112469,26,10,9,4,3,5334,646,100013,2301,81,2,San Mateo
114378,114,46,39,16,13,6260,646,100013,2301,81,2,San Mateo
117470,22,8,8,3,3,7752,646,100013,2301,81,2,San Mateo
112983,193,64,73,24,32,5575,975,100384,2301,81,2,San Mateo
112984,24,7,8,4,5,5576,975,100384,2301,81,2,San Mateo
112048,44,14,16,6,8,5152,645,100012,2301,81,2,San Mateo
118809,63,21,24,8,10,8389,645,100012,2301,81,2,San Mateo
116353,34,8,9,7,10,7218,974,100383,2301,81,2,San Mateo
116351,11,2,4,2,3,7217,974,100383,2301,81,2,San Mateo
112464,23,5,8,4,6,5330,974,100383,2301,81,2,San Mateo
112465,22,4,8,4,6,5331,974,100383,2301,81,2,San Mateo
117061,23,5,6,5,7,7554,974,100383,2301,81,2,San Mateo
113967,23,5,7,5,6,6064,974,100383,2301,81,2,San Mateo
117060,22,4,7,4,7,7553,974,100383,2301,81,2,San Mateo
117058,17,5,7,2,3,7551,645,100012,2301,81,2,San Mateo
116349,256,86,94,33,43,7215,645,100012,2301,81,2,San Mateo
118116,290,98,104,38,50,8066,645,100012,2301,81,2,San Mateo
117059,28,6,9,5,8,7552,974,100383,2301,81,2,San Mateo
113887,41,14,15,5,7,6022,645,100012,2301,81,2,San Mateo
119168,41,14,14,6,7,8562,645,100012,2301,81,2,San Mateo
118655,41,14,14,6,7,8313,645,100012,2301,81,2,San Mateo
112461,39,13,13,6,7,5327,645,100012,2301,81,2,San Mateo
113831,26,3,7,5,11,5991,866,100261,2301,81,2,San Mateo
110691,29,12,10,3,4,4499,645,100012,2301,81,2,San Mateo
117275,54,6,15,11,22,7656,866,100261,2301,81,2,San Mateo
113965,50,6,18,9,17,6063,867,100262,2301,81,2,San Mateo
119167,47,15,18,6,8,8561,645,100012,2301,81,2,San Mateo
116336,46,6,10,8,22,7208,834,100224,2301,81,2,San Mateo
116485,53,7,12,9,25,7285,834,100224,2301,81,2,San Mateo
117336,158,30,53,25,50,7678,866,100261,2301,81,2,San Mateo
118284,53,11,16,9,17,8144,866,100261,2301,81,2,San Mateo
116489,34,7,10,6,11,7288,866,100261,2301,81,2,San Mateo
118119,18,4,5,3,6,8067,866,100261,2301,81,2,San Mateo
113823,246,33,55,43,115,5986,834,100224,2301,81,2,San Mateo
115385,55,8,13,10,24,6761,834,100224,2301,81,2,San Mateo
118265,55,8,12,10,25,8135,834,100224,2301,81,2,San Mateo
117329,62,9,14,11,28,7676,834,100224,2301,81,2,San Mateo
115942,49,7,12,9,21,7022,834,100224,2301,81,2,San Mateo
112399,120,16,29,22,53,5302,834,100224,2301,81,2,San Mateo
116482,73,8,15,15,35,7282,834,100224,2301,81,2,San Mateo
118882,189,25,42,33,89,8421,834,100224,2301,81,2,San Mateo
118743,26,3,6,5,12,8356,834,100224,2301,81,2,San Mateo
116203,23,3,4,5,11,7146,834,100224,2301,81,2,San Mateo
111925,34,4,7,7,16,5093,834,100224,2301,81,2,San Mateo
113404,29,3,6,6,14,5786,834,100224,2301,81,2,San Mateo
111924,34,4,7,7,16,5092,834,100224,2301,81,2,San Mateo
114978,47,5,9,9,24,6558,834,100224,2301,81,2,San Mateo
118111,39,5,8,8,18,8061,834,100224,2301,81,2,San Mateo
116205,56,5,10,11,30,7148,733,100109,2301,81,2,San Mateo
116204,39,3,7,7,22,7147,733,100109,2301,81,2,San Mateo
118113,39,3,7,7,22,8063,733,100109,2301,81,2,San Mateo
118112,39,3,7,7,22,8062,733,100109,2301,81,2,San Mateo
111926,36,3,7,7,19,5094,733,100109,2301,81,2,San Mateo
115328,65,7,13,13,32,6740,834,100224,2301,81,2,San Mateo
116483,36,3,6,7,20,7283,733,100109,2301,81,2,San Mateo
115807,28,2,5,5,16,6959,733,100109,2301,81,2,San Mateo
118282,33,3,6,6,18,8142,733,100109,2301,81,2,San Mateo
117503,109,10,20,21,58,7767,733,100109,2301,81,2,San Mateo
117398,242,33,59,46,104,7705,834,100224,2301,81,2,San Mateo
110484,46,5,9,9,23,4385,834,100224,2301,81,2,San Mateo
113213,47,5,9,9,24,5682,834,100224,2301,81,2,San Mateo
114975,34,5,8,7,14,6555,834,100224,2301,81,2,San Mateo
114976,50,7,12,10,21,6556,834,100224,2301,81,2,San Mateo
110486,50,5,13,8,24,4387,834,100224,2301,81,2,San Mateo
113212,21,2,6,4,9,5681,834,100224,2301,81,2,San Mateo
114970,34,4,8,6,16,6550,834,100224,2301,81,2,San Mateo
115326,39,4,10,7,18,6738,834,100224,2301,81,2,San Mateo
113064,55,6,14,10,25,5613,834,100224,2301,81,2,San Mateo
118881,57,8,14,11,24,8420,834,100224,2301,81,2,San Mateo
118747,82,11,20,16,35,8360,834,100224,2301,81,2,San Mateo
114973,95,13,19,20,43,6553,835,100226,2301,81,2,San Mateo
117963,65,10,13,14,28,7987,835,100226,2301,81,2,San Mateo
114977,46,5,9,10,22,6557,834,100224,2301,81,2,San Mateo
113215,58,8,12,13,25,5684,835,100226,2301,81,2,San Mateo
115327,9,2,2,2,3,6739,699,100073,2301,81,2,San Mateo
117964,70,9,14,15,32,7988,835,100226,2301,81,2,San Mateo
113216,30,7,8,6,9,5685,838,100230,2301,81,2,San Mateo
114974,27,6,8,5,8,6554,838,100230,2301,81,2,San Mateo
118567,30,4,9,6,11,8281,699,100073,2301,81,2,San Mateo
110485,37,8,11,7,11,4386,837,100228,2301,81,2,San Mateo
112658,59,13,17,10,19,5419,837,100228,2301,81,2,San Mateo
114803,63,14,18,12,19,6475,837,100228,2301,81,2,San Mateo
117417,21,5,6,4,6,7721,837,100228,2301,81,2,San Mateo
115325,30,6,9,6,9,6737,837,100228,2301,81,2,San Mateo
118880,55,12,16,10,17,8419,837,100228,2301,81,2,San Mateo
118358,49,10,15,9,15,8176,837,100228,2301,81,2,San Mateo
113888,60,14,18,11,17,6023,969,100376,2301,81,2,San Mateo
113047,90,21,27,17,25,5602,969,100376,2301,81,2,San Mateo
114441,49,11,14,9,15,6287,837,100228,2301,81,2,San Mateo
114802,30,6,10,5,9,6474,837,100228,2301,81,2,San Mateo
117400,21,4,6,4,7,7707,837,100228,2301,81,2,San Mateo
114801,49,10,15,9,15,6473,837,100228,2301,81,2,San Mateo
113048,25,5,7,5,8,5603,836,100227,2301,81,2,San Mateo
113062,25,5,7,5,8,5612,699,100073,2301,81,2,San Mateo
113477,36,6,11,6,13,5822,699,100073,2301,81,2,San Mateo
114972,34,6,10,6,12,6552,699,100073,2301,81,2,San Mateo
114971,27,5,8,5,9,6551,699,100073,2301,81,2,San Mateo
118746,30,5,9,6,10,8359,699,100073,2301,81,2,San Mateo
114443,25,5,7,5,8,6289,699,100073,2301,81,2,San Mateo
118357,65,12,19,12,22,8175,699,100073,2301,81,2,San Mateo
112918,27,5,8,6,8,5548,836,100227,2301,81,2,San Mateo
112917,40,8,13,8,11,5547,836,100227,2301,81,2,San Mateo
117403,34,6,11,7,10,7710,836,100227,2301,81,2,San Mateo
114442,64,13,19,13,19,6288,836,100227,2301,81,2,San Mateo
117402,55,10,18,11,16,7709,836,100227,2301,81,2,San Mateo
113049,64,13,18,14,19,5604,836,100227,2301,81,2,San Mateo
118356,51,12,16,9,14,8174,969,100376,2301,81,2,San Mateo
118744,48,12,13,9,14,8357,969,100376,2301,81,2,San Mateo
114440,41,10,11,8,12,6286,969,100376,2301,81,2,San Mateo
117399,36,9,10,7,10,7706,969,100376,2301,81,2,San Mateo
118745,39,9,12,7,11,8358,969,100376,2301,81,2,San Mateo
112916,37,9,10,7,11,5546,969,100376,2301,81,2,San Mateo
115430,8,2,2,2,2,6777,969,100376,2301,81,2,San Mateo
112659,34,8,10,6,10,5420,969,100376,2301,81,2,San Mateo
112661,32,8,9,6,9,5421,969,100376,2301,81,2,San Mateo
117401,27,6,8,5,8,7708,969,100376,2301,81,2,San Mateo
112662,22,5,7,4,6,5422,969,100376,2301,81,2,San Mateo
