TAZ,hh_inc_30,hh_inc_30_60,hh_inc_60_100,hh_inc_100_plus,hh_wrks_0,hh_wrks_1,hh_wrks_2,hh_wrks_3_plus,pers_age_00_19,pers_age_20_34,pers_age_35_64,pers_age_65_plus,hh_kids_no,hh_kids_yes
37,426.07895,87.92105,116.66447,140.33553,327.19284,287.94764,126.93019,28.92932,125.88891,220.90412,788.70984,143.49712,684.10414,86.89586
38,94.69990,87.08037,208.99288,679.22686,192.80984,575.67754,296.69667,4.81595,92.45712,657.59799,835.91870,88.02619,995.56522,74.43478
39,242.96063,62.90945,156.18898,88.94094,99.28806,296.44703,152.78492,2.47999,42.02349,191.88973,478.12506,51.96172,512.66957,38.33043
40,185.04222,154.51979,165.96570,217.47230,245.45084,264.69419,184.57903,28.27594,318.00000,230.00000,795.00000,280.00000,555.31869,167.68131
41,56.59672,74.11475,128.01639,152.27213,51.44163,137.00000,133.26848,89.28988,299.14000,506.16000,507.84000,102.86000,300.12933,110.87067
42,129.83607,134.90779,152.15164,78.10451,143.20531,149.60158,126.50395,75.68916,406.87690,378.97720,902.81763,297.32827,293.15168,201.84832
43,110.70170,173.78977,53.56534,80.94318,119.77113,141.65622,105.84425,51.72840,358.44786,328.10479,618.93295,156.51440,254.03049,164.96951
44,531.81311,188.15049,40.31796,30.71845,370.64000,333.18857,83.29714,3.87429,1022.00000,564.00000,700.00000,126.00000,344.82862,446.17138
45,88.21248,93.96547,156.28951,383.53254,165.80302,303.44417,204.52560,48.22721,125.70307,456.60668,615.83224,121.85801,621.17207,100.82793
46,36.57453,32.65583,122.78591,289.98374,110.68844,202.57630,136.53925,32.19600,114.00000,376.00000,411.00000,82.00000,414.68828,67.31172
47,38.04082,115.17914,78.19501,234.58503,107.01414,195.85178,132.00683,31.12725,115.23636,434.50909,390.47273,64.78182,400.92269,65.07731
48,12.80000,64.00000,51.20000,256.00000,62.50213,155.43830,153.60000,12.45957,148.00000,135.00000,436.00000,112.00000,312.27053,71.72947
49,114.11538,62.80769,66.34615,239.73077,78.61596,195.51223,193.20000,15.67181,157.00000,310.00000,459.00000,96.00000,392.77778,90.22222
50,104.65246,28.38033,109.08689,298.88033,88.05638,218.98989,216.40000,17.55372,174.00000,292.00000,565.00000,119.00000,439.94364,101.05636
51,88.00000,32.00000,32.00000,303.00000,74.05851,184.17819,182.00000,14.76330,78.94048,320.53571,397.55952,51.96429,370.00805,84.99195
52,35.90746,73.80977,43.88689,234.39589,74.85795,168.91025,133.53781,10.69399,120.00000,137.00000,445.00000,85.00000,317.12607,70.87393
53,95.56086,41.26492,96.64678,221.52745,87.78445,198.07774,156.59717,12.54064,91.00000,183.00000,480.00000,83.00000,371.88754,83.11246
54,73.66955,54.53460,58.36159,366.43426,106.69187,240.74064,190.32580,15.24170,200.42857,257.75000,557.21429,124.60714,451.98639,101.01361
55,46.55305,125.77492,56.35370,279.31833,109.97502,187.38052,198.80100,11.84346,187.00000,246.00000,558.00000,95.00000,397.37660,110.62340
56,121.19355,39.71889,157.85714,344.23041,143.53039,244.55371,259.45878,15.45712,217.00000,295.00000,735.00000,141.00000,518.62340,144.37660
57,9.64733,105.24362,54.37587,208.73318,71.17895,149.65263,145.01053,12.15789,95.86207,225.17241,364.05172,49.91379,313.56022,64.43978
58,85.79632,169.52527,137.48086,282.19755,127.10526,267.23684,258.94737,21.71053,165.00000,372.00000,667.00000,128.00000,559.92897,115.07103
59,50.01860,75.46667,111.44496,329.06977,106.58012,224.08304,217.13216,18.20468,189.00000,342.00000,566.00000,98.00000,469.51081,96.48919
60,95.46978,79.28846,50.16209,364.07967,90.79539,270.98212,177.61263,49.60985,198.00000,376.00000,593.00000,100.00000,475.00000,114.00000
61,34.29537,44.73310,126.74377,213.22776,64.58959,192.76996,126.34923,35.29122,134.00000,242.00000,381.00000,87.00000,337.90323,81.09677
62,22.97647,10.94118,123.63529,307.44706,71.68057,213.93325,140.22050,39.16567,119.00000,294.00000,463.00000,80.00000,375.00000,90.00000
63,0.00000,62.28435,82.14313,328.57252,72.91379,217.61383,142.63290,39.83949,151.00000,251.00000,469.00000,94.00000,381.45161,91.54839
64,43.45572,197.72354,90.17063,171.65011,77.53834,231.41597,151.67938,42.36631,152.22628,270.07299,499.16058,95.54015,405.64516,97.35484
65,173.43388,109.77996,128.23037,481.55579,255.64314,367.26814,210.11765,59.97108,265.00000,335.00000,974.00000,202.00000,759.44669,133.55331
66,93.15361,74.31740,115.75705,153.77194,125.10196,179.72696,102.82353,29.34755,130.00000,175.00000,388.00000,134.00000,371.64413,65.35587
67,79.58752,96.16825,145.91045,289.33379,207.42803,223.69039,155.98588,23.89571,161.00000,148.00000,604.00000,301.00000,469.29422,141.70578
68,54.27523,112.80734,62.78899,234.12844,157.52309,169.87290,118.45736,18.14666,225.00000,155.00000,567.00000,164.00000,356.38710,107.61290
69,70.57582,39.20879,64.69451,271.52088,70.61862,200.12520,159.06786,16.18832,165.00000,188.00000,511.00000,109.00000,346.35633,99.64367
70,19.67213,54.09836,29.50820,196.72131,47.50132,134.61336,106.99632,10.88901,131.00000,135.00000,350.00000,73.00000,232.97511,67.02489
71,146.42376,78.77228,163.10495,79.69901,120.52603,143.60548,104.71233,99.15616,437.45269,367.12431,777.42451,237.99849,274.93572,193.06428
72,87.07063,74.23917,205.30337,204.38684,127.14025,127.14025,196.81854,119.90095,425.53448,401.19828,844.35345,349.91379,347.78670,223.21330
73,238.65022,170.98694,126.18287,94.17997,244.47761,202.94776,115.97015,66.60448,378.00000,502.00000,387.00000,220.00000,551.15144,78.84856
74,23.03529,20.94118,24.08235,198.94118,74.38505,115.20612,71.66365,5.74519,186.00000,46.00000,290.00000,178.00000,179.23876,87.76124
75,90.54125,135.81188,143.61716,103.02970,142.64606,140.55710,151.00189,38.79495,168.36813,292.36813,526.16484,200.09890,375.73684,97.26316
76,71.41521,129.27057,253.11721,271.19701,149.75499,279.28760,257.15228,38.80513,206.63735,360.36607,733.70000,229.29658,572.12547,152.87453
77,6.00000,6.00000,20.66667,29.33333,17.71429,25.20879,12.94505,6.13187,14.73077,13.49038,62.06731,38.71154,48.00000,14.00000
78,140.28727,53.52000,10.54182,18.65091,126.12295,70.37295,13.70902,12.79508,140.97852,129.42721,224.55847,178.03580,159.00000,64.00000
79,59.13600,28.33600,8.62400,57.90400,52.64957,55.28205,21.05983,25.00855,123.00000,90.00000,215.00000,39.00000,97.00000,57.00000
81,81.96429,163.92857,197.67857,681.42857,202.72062,605.26845,311.94744,5.06349,129.00000,865.00000,803.00000,88.00000,1046.73913,78.26087
82,42.97959,85.95918,145.46939,211.59184,76.95213,218.07365,173.33403,17.64019,159.79245,154.11321,570.05660,127.03774,377.41968,108.58032
83,85.43624,98.02685,101.62416,250.91275,84.86902,240.50921,191.16675,19.45502,180.00000,232.00000,590.00000,139.00000,416.24887,119.75113
84,0.00000,32.23301,79.50809,220.25890,21.30266,182.07748,102.89588,25.72397,43.00000,199.00000,335.00000,21.00000,301.85521,30.14479
85,9.40194,36.75303,61.53995,245.30508,22.65012,193.59443,109.40436,27.35109,53.00000,242.00000,365.00000,14.00000,320.94847,32.05153
86,143.99433,121.97167,171.09915,160.93484,108.57257,171.87820,268.19806,49.35117,317.56470,413.85273,655.09884,72.48373,456.74270,141.25730
87,152.51802,125.54204,160.81832,252.12162,125.45760,198.60842,309.90780,57.02618,305.06452,708.04801,807.48237,113.40510,527.77459,163.22541
88,0.00000,101.05859,158.38990,221.55152,47.90644,220.65996,186.78672,25.64688,144.86256,227.50188,499.11248,128.52308,400.58818,80.41182
89,97.68211,133.52875,95.88978,233.89936,101.85487,161.24360,251.60387,46.29767,238.99223,588.17418,685.14350,104.69009,428.48270,132.51730
90,122.64567,231.35433,78.04724,157.95276,91.75872,209.24419,177.08576,111.91134,283.53089,671.58706,668.91068,132.97136,392.91489,197.08511
91,95.17500,251.15625,174.48750,184.18125,88.23930,235.00000,228.59922,153.16148,263.83517,686.85285,712.94360,163.36838,514.82038,190.17962
92,83.40686,89.50980,130.19608,111.88725,51.94228,138.33333,134.56550,90.15888,264.00000,398.00000,535.00000,100.00000,303.05029,111.94971
93,149.39394,144.12121,113.36364,86.12121,76.67297,174.84302,147.97166,93.51235,381.37816,575.32600,603.24026,117.05557,328.31702,164.68298
94,19.45541,59.31529,10.43949,59.78981,35.51295,44.26252,32.68221,36.54231,27.70213,132.54255,153.27660,31.47872,115.83305,33.16695
95,90.75330,132.52863,46.09692,57.62115,50.85610,115.97093,98.14753,62.02544,282.00000,454.00000,377.00000,61.00000,217.76809,109.23191
96,113.06366,95.21150,166.62012,39.10472,69.24731,94.96774,218.62366,31.16129,231.08107,431.47346,499.49189,112.95359,288.56110,125.43890
97,57.66247,104.57431,115.32494,110.43829,64.89845,89.00358,204.89367,29.20430,243.21540,402.44743,498.27459,129.06258,270.43890,117.56110
98,57.87738,236.49894,110.76533,66.85835,136.55133,142.65039,120.62599,72.17229,460.75174,417.89169,835.45768,261.89889,279.53049,192.46951
99,54.26923,106.41026,56.39744,114.92308,55.02072,128.17326,135.36347,13.44256,144.22222,327.22222,383.55556,48.00000,244.69410,87.30590
100,96.08753,156.48541,49.41645,43.01061,99.80976,104.26777,88.16942,52.75305,274.00000,212.00000,542.00000,191.00000,204.31784,140.68216
101,102.58094,92.92626,164.12950,311.36331,157.61527,270.15128,211.77525,31.45819,279.49213,193.29134,740.69882,364.51772,486.74872,184.25128
102,15.25074,50.60472,31.19469,137.94985,55.20058,94.61334,74.16868,11.01740,137.19355,63.19355,318.58065,88.03226,170.47086,64.52914
103,12.36364,21.43030,14.01212,224.19394,63.89174,109.50991,85.84630,12.75205,189.00000,63.00000,353.00000,166.00000,197.31096,74.68904
104,40.28649,27.78378,34.72973,154.20000,60.36829,103.47076,81.11213,12.04882,145.12195,77.95122,297.36585,157.56098,186.42984,70.57016
105,15.92118,76.62069,144.28571,167.17241,114.95076,106.50109,166.70501,15.84314,266.77143,193.77143,571.60000,221.85714,280.30192,123.69808
106,12.53333,21.48571,81.46667,166.51429,80.23791,74.33987,116.36340,11.05882,131.00000,98.00000,347.00000,176.00000,195.65629,86.34371
107,11.72763,0.00000,42.64591,219.62646,77.96166,72.23094,113.06231,10.74510,153.00000,90.00000,360.00000,152.00000,190.10576,83.89424
108,0.00000,21.17284,58.22531,263.60185,97.59434,90.42048,141.53420,13.45098,222.00000,85.00000,461.00000,154.00000,237.97910,105.02090
109,43.34038,21.14165,62.36786,373.15011,142.26580,131.80828,206.31808,19.60784,276.15179,201.71429,619.06250,272.07143,346.90832,153.09168
110,12.61184,18.91776,42.74013,138.73026,60.60523,56.15033,87.89150,8.35294,134.00000,74.00000,257.00000,116.00000,147.78294,65.21706
111,60.92593,55.38721,45.41751,167.26936,93.61089,86.72985,135.75730,12.90196,213.20000,133.10000,400.60000,185.10000,228.26567,100.73433
112,21.39697,45.58485,54.88788,185.13030,74.13622,141.38158,57.26548,34.21672,189.00000,67.00000,415.00000,143.00000,217.38788,89.61212
114,20.90683,50.33126,85.95031,216.81159,58.17047,163.00879,102.86643,49.95431,210.00000,197.00000,501.00000,138.00000,264.97547,109.02453
115,35.45923,123.45064,55.15880,91.93133,47.59402,133.37083,84.16344,40.87170,168.00000,181.00000,432.00000,106.00000,216.79811,89.20189
116,196.98387,93.25806,63.75806,59.00000,130.72459,137.13266,115.66563,29.47711,417.67010,352.73196,535.75258,138.84536,224.66124,188.33876
117,87.39726,132.68493,154.13699,31.78082,128.50892,134.80838,113.70520,28.97750,399.62578,338.90528,521.03416,160.43478,220.85342,185.14658
118,115.43594,26.78114,102.50712,274.27580,67.91968,163.47563,219.45081,68.15388,217.66217,286.37624,702.39286,142.56873,391.75341,127.24659
119,18.42073,110.52439,111.49390,236.56098,62.42329,150.24639,201.69179,62.63854,192.43281,196.85609,605.37882,126.33227,360.05082,116.94918
120,19.66829,117.54146,47.29756,103.49268,32.22099,97.45856,79.95580,78.36464,303.00000,238.00000,485.00000,131.00000,140.28387,147.71613
121,82.40123,127.39663,91.07504,53.12711,143.48414,111.23644,54.71238,44.56704,417.00000,314.00000,546.00000,138.00000,174.06224,179.93776
122,167.22414,67.62069,15.53448,67.62069,128.89253,99.92426,49.14841,40.03480,411.00000,309.00000,488.00000,103.00000,156.36100,161.63900
123,26.73239,34.95775,129.54930,100.76056,48.32948,115.54119,120.71132,7.41801,116.68889,145.20513,355.25100,112.85499,226.65091,65.34909
124,48.07639,80.47569,197.53125,275.91667,99.63818,238.20477,248.86374,15.29330,237.64449,328.59747,697.21174,162.54629,467.27344,134.72656
125,55.24554,72.82366,152.34375,94.58705,62.06697,148.38337,155.02309,9.52656,131.20608,184.47723,442.09780,98.21889,291.07565,83.92435
126,54.74118,89.68235,144.42353,206.15294,64.77888,155.91606,209.30280,65.00226,269.76821,372.77483,556.56291,130.89404,373.63765,121.36235
127,40.02180,95.60763,83.37875,188.99183,98.52632,187.89474,76.10526,45.47368,219.37888,159.35404,562.06211,200.20497,288.90637,119.09363
128,179.55229,51.00917,98.95780,226.48073,134.26625,256.05263,103.71207,61.96904,279.00000,305.00000,707.00000,244.00000,393.70574,162.29426
129,0.00000,86.10540,38.02057,310.87404,77.01866,155.07344,164.74395,38.16395,143.00000,224.00000,490.00000,150.00000,331.99228,103.00772
130,90.64887,63.06008,161.59146,422.69960,130.66614,263.09012,279.49663,64.74712,291.00000,409.00000,856.00000,205.00000,563.24208,174.75792
131,47.47069,102.24456,210.87940,184.40536,96.49464,194.28742,206.40333,47.81461,234.00000,329.00000,710.00000,198.00000,415.94435,129.05565
132,24.14659,99.48394,73.40562,283.96386,85.16316,171.47201,182.16514,42.19968,198.79487,249.69231,601.12821,192.38462,367.09951,113.90049
133,37.05498,27.11340,88.57045,110.26117,46.56530,93.75705,99.60381,23.07384,136.00000,133.00000,351.00000,90.00000,200.72177,62.27823
134,62.21678,147.19580,77.39161,147.19580,74.23991,176.96181,99.92039,82.87789,355.38013,428.45110,642.84858,191.32019,278.42881,155.57119
135,42.01826,64.49315,35.17808,72.31050,36.60678,87.25767,49.26950,40.86606,150.00000,163.00000,326.00000,100.00000,137.28978,76.71022
136,75.21447,155.37726,77.19380,75.21447,65.51587,156.16676,88.17859,73.13878,286.81946,297.56888,614.56723,167.04443,245.71022,137.28978
137,129.96283,105.94796,64.98141,79.10781,65.00269,154.94352,87.48790,72.56590,298.81719,321.95118,589.65263,162.57900,243.78559,136.21441
138,138.64865,91.57658,87.29730,62.47748,65.00269,154.94352,87.48790,72.56590,322.18796,418.56086,580.04329,177.20789,243.78559,136.21441
139,55.11268,113.40493,12.71831,119.76408,54.87170,100.21112,100.94438,44.97280,136.00000,195.00000,381.00000,128.00000,224.58553,76.41447
140,73.23605,84.42489,156.64378,159.69528,86.40926,157.80755,158.96224,70.82095,182.00000,292.00000,504.00000,173.00000,353.66625,120.33375
141,97.00000,40.00000,18.00000,136.00000,53.04872,96.88185,97.59074,43.47868,160.04828,171.46897,388.55862,129.92414,217.12422,73.87578
142,20.18476,75.69284,115.05312,226.06928,79.66423,145.48924,146.55380,65.29273,208.00000,353.00000,487.00000,181.00000,326.05939,110.94061
143,58.57471,77.72414,20.27586,137.42529,53.59562,97.88063,98.59683,43.92692,139.00000,153.00000,364.00000,156.00000,219.36261,74.63739
144,66.10104,56.30829,75.89378,116.69689,57.42387,104.87211,105.63946,47.06456,154.00000,170.00000,401.00000,181.00000,235.03137,79.96863
145,67.99160,39.85714,32.82353,138.32773,50.86114,92.88672,93.56638,41.68575,147.00000,136.00000,366.00000,127.00000,208.17064,70.82936
146,97.92675,120.13694,104.99363,310.94268,82.96931,199.69856,268.07671,83.25542,194.20695,289.55411,743.38847,131.85046,478.55812,155.44188
147,86.81508,90.19749,130.78636,320.20108,55.31072,281.01969,219.86871,71.80088,191.92264,524.53815,621.58935,146.94985,482.99491,145.00509
148,13.44118,108.36949,130.21140,204.97794,40.25000,204.50000,160.00000,52.25000,176.93045,188.13540,576.45531,57.47883,351.47878,105.52122
149,123.50000,60.12500,83.68750,70.68750,29.76915,151.24945,118.33698,38.64442,157.99545,344.79675,396.55210,74.65569,259.95586,78.04414
150,17.41772,60.96203,57.69620,207.92405,30.29759,153.93435,120.43764,39.33042,128.42608,175.30463,393.22976,74.03953,264.57046,79.42954
151,75.56196,68.99135,38.32853,197.11816,59.10369,165.62390,104.51670,50.75571,188.28224,178.23487,467.77632,138.70658,269.22642,110.77358
152,81.08402,144.49588,182.95881,222.46129,103.27831,260.59254,132.03936,135.08978,329.00000,433.00000,761.00000,224.00000,414.36838,216.63162
153,98.04517,197.15606,68.20534,155.59343,70.28976,241.51890,176.54173,30.64961,289.34567,357.12866,611.99761,122.52806,373.79389,145.20611
154,205.36703,204.39832,159.83755,235.39711,131.75760,332.45166,168.44959,172.34116,631.93787,547.58284,1056.74260,268.73669,528.63162,276.36838
155,35.17995,89.45758,138.70951,127.65296,52.95433,181.95354,133.00157,23.09055,201.00000,302.00000,498.00000,90.00000,281.60580,109.39420
156,81.41980,189.97952,108.55973,188.04096,78.60978,219.87097,128.84912,140.67014,330.11268,364.59859,795.20423,242.08451,386.59686,181.40314
157,48.00000,170.00000,86.00000,116.00000,56.26383,132.65875,134.37935,96.69807,259.26809,336.69699,600.63204,161.40288,275.57716,144.42284
158,68.27848,94.70886,70.48101,114.53165,46.61860,109.91725,111.34289,80.12126,243.00000,243.00000,498.00000,178.00000,228.33536,119.66464
159,57.75000,134.25000,36.75000,185.25000,55.46006,130.76362,132.45965,95.31667,314.00000,330.00000,679.00000,171.00000,271.64034,142.35966
160,86.35174,81.33129,50.20450,273.11247,65.77509,155.08439,157.09586,113.04465,317.00000,323.00000,693.00000,262.00000,322.16282,168.83718
161,99.33333,0.00000,48.09825,150.56842,39.92052,94.12454,95.34535,68.60959,220.18470,230.07723,462.87433,151.86373,195.52855,102.47145
162,110.34878,89.17073,91.40000,166.08049,82.76778,152.84111,164.68926,56.70185,223.00000,263.00000,582.00000,235.00000,325.72683,131.27317
163,51.79545,96.75000,53.75000,227.70455,77.87778,143.81111,154.95926,53.35185,248.00000,301.00000,535.00000,220.00000,306.48258,123.51742
164,89.69170,44.36364,101.26482,252.67984,88.38222,163.20889,175.86074,60.54815,222.44262,318.45902,558.81967,229.27869,347.82209,140.17791
165,22.64885,104.38168,64.99237,194.97710,70.09000,129.43000,139.46333,48.01667,232.00000,228.00000,500.00000,173.00000,275.83432,111.16568
166,64.86822,59.46253,44.59690,354.07235,94.72111,174.91444,188.47370,64.89074,303.03467,280.35359,671.07211,228.53963,372.76835,150.23165
167,15.43925,85.68785,60.21308,251.65981,74.79889,138.12556,148.83296,51.24259,230.00930,184.16558,507.41395,213.41116,294.36583,118.63417
168,82.54217,75.28571,150.57143,218.60069,134.67778,148.95069,177.86250,65.50903,336.32075,225.77358,624.75472,276.15094,367.29196,159.70804
169,89.30769,48.51282,23.15385,140.02564,76.92222,85.07431,101.58750,37.41597,164.00000,113.00000,332.00000,156.00000,209.78155,91.21845
170,55.17073,8.04573,66.66463,247.11890,96.34444,106.55486,127.23750,46.86319,225.02326,150.95349,494.34884,177.67442,262.74965,114.25035
171,38.89231,14.58462,13.36923,170.15385,60.56667,66.98542,79.98750,29.46042,127.00000,110.00000,278.00000,164.00000,165.17684,71.82316
172,131.96931,120.29061,280.28881,114.45126,123.94922,201.97750,257.97865,63.09463,230.00000,449.00000,690.00000,167.00000,519.36054,127.63946
173,61.97333,172.64000,161.57333,184.81333,111.30525,181.37392,231.66244,56.65840,217.03540,444.89971,640.17994,139.88496,466.38095,114.61905
174,105.74627,47.53731,165.89552,135.82090,122.73133,119.15506,166.94712,46.16649,208.00000,298.00000,528.00000,161.00000,326.43488,128.56512
175,51.12867,117.59594,119.64108,164.63431,122.19185,118.63130,166.21329,45.96356,197.35802,351.84774,562.38683,141.40741,325.00000,128.00000
176,49.29480,58.91329,100.99422,206.79769,112.21150,108.94176,152.63737,42.20936,202.00000,228.00000,527.00000,195.00000,298.45475,117.54525
177,23.77239,27.90672,107.49254,117.82836,74.71776,72.54055,101.63594,28.10575,196.31544,161.41611,415.61074,103.65772,198.73068,78.26932
178,30.22277,93.11881,35.12376,171.53465,89.01393,86.42015,121.08253,33.48339,173.00000,197.00000,433.00000,158.00000,236.75497,93.24503
179,54.84706,54.84706,15.67059,207.63529,89.82315,87.20579,122.18328,33.78778,176.00000,182.00000,479.00000,138.00000,238.90728,94.09272
180,51.56543,171.51111,77.34815,153.57531,122.46159,118.89318,166.58021,46.06502,304.00000,290.00000,588.00000,240.00000,325.71744,128.28256
181,135.52026,111.19611,126.83306,162.45057,102.68436,167.32602,213.71956,52.27005,208.00000,398.00000,552.00000,154.00000,430.25850,105.74150
182,61.42500,128.53750,88.72500,85.31250,77.38266,163.81005,97.08007,25.72722,190.00000,244.00000,457.00000,166.00000,268.55979,95.44021
183,54.24506,13.84980,106.18182,117.72332,39.11676,92.22941,93.42565,67.22819,190.20929,233.69967,455.76243,138.32861,191.59174,100.40826
184,30.91481,89.10741,90.92593,280.05185,83.68957,150.83215,177.56189,78.91640,386.91949,380.11017,821.79661,247.17373,313.88703,177.11297
185,53.26387,152.08235,80.59664,131.05714,71.07647,128.09981,150.80104,67.02268,335.00000,372.00000,690.00000,200.00000,266.58023,150.41977
186,101.57143,87.20779,40.01299,87.20779,53.86131,97.07323,114.27609,50.78937,208.51938,198.58140,461.25581,175.64341,202.01284,113.98716
187,105.78299,64.64516,89.13196,74.43988,56.92936,102.60272,120.78548,53.68244,199.00000,235.00000,475.00000,225.00000,213.51990,120.48010
188,112.94570,24.86878,52.84615,38.33937,54.48752,66.68053,77.73045,30.10150,168.71534,163.82330,332.86430,98.59706,146.92832,82.07168
189,51.40058,156.17867,28.66571,106.75504,81.61231,99.87521,116.42596,45.08652,257.00000,227.00000,529.00000,162.00000,220.07168,122.92832
190,129.98462,61.16923,163.84615,284.00000,166.14000,150.41077,200.05615,122.39308,403.61257,370.25198,837.08529,351.05017,429.53127,209.46873
191,107.73913,161.60870,60.46584,201.18634,138.06000,124.98923,166.24385,101.70692,366.55140,329.05963,751.30019,270.08879,356.93444,174.06556
192,35.39306,57.17341,32.67052,31.76301,40.82000,36.95538,49.15308,30.07154,116.00000,100.00000,232.00000,77.00000,105.53429,51.46571
