MAZ,num_hh
10768.00000,129
10769.00000,33
10770.00000,182
10771.00000,134
10772.00000,88
10773.00000,121
10774.00000,94
10775.00000,58
10776.00000,22
10780.00000,29
10782.00000,61
10783.00000,44
10786.00000,25
10787.00000,0
10790.00000,36
10791.00000,39
10793.00000,283
10795.00000,42
10798.00000,30
10801.00000,89
10803.00000,120
10805.00000,24
10806.00000,39
10809.00000,3
10810.00000,86
10811.00000,48
10812.00000,36
10813.00000,44
10814.00000,185
10817.00000,47
10818.00000,47
10819.00000,61
10822.00000,2
10823.00000,35
10834.00000,92
10835.00000,60
10837.00000,135
10838.00000,106
10839.00000,0
10840.00000,0
10843.00000,48
10847.00000,71
10848.00000,85
10849.00000,95
10850.00000,78
10851.00000,87
10852.00000,104
10853.00000,203
10854.00000,28
10856.00000,199
10857.00000,155
10858.00000,53
10859.00000,74
10860.00000,42
10861.00000,33
10863.00000,629
10864.00000,18
10865.00000,48
10866.00000,45
10867.00000,53
10868.00000,31
10871.00000,228
10873.00000,48
10874.00000,143
10876.00000,47
10877.00000,97
10878.00000,43
10879.00000,70
10881.00000,68
10882.00000,55
10883.00000,87
10884.00000,122
10885.00000,0
10886.00000,57
10887.00000,134
10889.00000,94
10890.00000,50
10891.00000,55
10892.00000,133
10893.00000,89
10894.00000,84
10895.00000,188
10896.00000,150
10897.00000,58
10898.00000,53
10899.00000,72
10900.00000,54
10901.00000,75
10902.00000,82
10904.00000,157
10906.00000,131
10907.00000,69
10908.00000,107
10909.00000,114
10910.00000,87
10911.00000,99
10912.00000,105
10913.00000,49
10914.00000,68
10915.00000,60
10916.00000,37
10917.00000,32
10920.00000,0
10922.00000,27
10924.00000,56
10925.00000,65
10927.00000,212
10929.00000,61
10930.00000,122
10933.00000,31
10934.00000,24
10936.00000,42
10937.00000,85
10938.00000,44
10939.00000,41
10940.00000,37
10941.00000,55
10944.00000,29
10947.00000,122
10948.00000,312
10950.00000,280
10951.00000,258
10955.00000,52
10956.00000,55
10957.00000,33
10958.00000,57
10959.00000,111
10961.00000,99
10962.00000,105
10964.00000,41
10965.00000,91
10966.00000,218
10967.00000,77
10970.00000,48
10972.00000,1
10975.00000,91
10976.00000,74
10977.00000,55
10978.00000,48
10982.00000,57
10983.00000,50
10984.00000,67
10985.00000,103
10986.00000,83
10989.00000,117
10990.00000,103
10991.00000,152
10992.00000,114
10993.00000,138
10994.00000,100
10995.00000,104
10996.00000,253
10997.00000,98
10999.00000,83
11001.00000,97
11002.00000,18
11004.00000,85
11005.00000,81
11006.00000,87
11008.00000,170
11011.00000,0
11013.00000,0
11014.00000,0
11015.00000,32
11018.00000,54
11021.00000,79
11026.00000,406
11027.00000,80
11028.00000,87
11031.00000,0
11033.00000,1
11038.00000,0
11039.00000,86
11041.00000,40
11042.00000,50
11044.00000,49
11046.00000,90
11051.00000,68
11055.00000,76
11056.00000,61
11059.00000,110
11060.00000,61
11062.00000,70
11063.00000,96
11064.00000,113
11065.00000,7
11067.00000,130
11068.00000,114
11071.00000,785
11073.00000,217
11074.00000,0
11075.00000,256
11079.00000,136
11080.00000,76
11081.00000,82
11082.00000,103
11083.00000,175
11085.00000,86
11086.00000,0
11087.00000,72
11090.00000,221
11092.00000,131
11093.00000,357
11094.00000,91
11095.00000,140
11096.00000,73
11097.00000,66
11098.00000,64
11099.00000,59
11100.00000,65
11101.00000,54
11102.00000,70
11103.00000,90
11104.00000,70
11106.00000,40
11107.00000,52
11108.00000,81
11109.00000,58
11118.00000,155
11120.00000,56
11121.00000,213
11122.00000,239
11125.00000,138
11127.00000,106
11128.00000,0
11129.00000,0
11130.00000,0
11132.00000,197
11133.00000,42
11134.00000,117
11135.00000,140
11136.00000,65
11138.00000,92
11139.00000,236
11145.00000,27
11146.00000,42
11147.00000,22
11148.00000,49
11149.00000,1
11150.00000,149
11151.00000,235
11152.00000,162
11153.00000,191
11154.00000,107
11155.00000,116
11156.00000,156
11157.00000,77
11159.00000,81
11160.00000,152
11162.00000,77
11163.00000,50
11164.00000,60
11165.00000,59
11166.00000,89
11167.00000,50
11168.00000,75
11169.00000,95
11171.00000,88
11172.00000,365
11173.00000,113
11174.00000,80
11175.00000,74
11176.00000,58
11177.00000,68
11178.00000,54
11179.00000,58
11180.00000,49
11181.00000,56
11182.00000,57
11183.00000,58
11184.00000,0
11186.00000,78
11190.00000,78
11191.00000,112
11192.00000,109
11195.00000,108
11196.00000,87
11198.00000,58
11199.00000,75
11200.00000,150
11201.00000,53
11203.00000,58
11204.00000,55
11205.00000,51
11206.00000,0
11207.00000,68
11208.00000,53
11210.00000,71
11211.00000,63
11213.00000,489
11216.00000,95
11221.00000,47
11222.00000,57
11223.00000,68
11224.00000,20
11225.00000,41
11226.00000,0
11228.00000,2
11229.00000,30
11230.00000,26
11231.00000,26
11232.00000,14
11234.00000,39
11236.00000,74
11237.00000,67
11238.00000,94
11239.00000,21
11240.00000,57
11241.00000,55
11242.00000,66
11243.00000,56
11245.00000,191
11250.00000,36
11251.00000,81
11257.00000,17
11259.00000,192
11260.00000,196
11261.00000,291
11263.00000,150
11264.00000,98
11267.00000,59
11268.00000,89
11269.00000,68
11270.00000,17
11274.00000,46
11280.00000,21
11283.00000,216
11284.00000,58
11287.00000,59
11293.00000,69
11294.00000,27
11297.00000,30
11298.00000,4
11299.00000,18
11300.00000,56
11301.00000,86
11302.00000,30
11303.00000,61
11304.00000,41
11306.00000,82
11307.00000,76
11309.00000,107
11312.00000,90
11315.00000,19
11316.00000,50
11319.00000,94
11323.00000,159
11324.00000,172
11326.00000,276
11328.00000,426
11329.00000,437
11330.00000,173
11332.00000,976
11333.00000,157
11335.00000,101
11337.00000,140
11339.00000,81
11341.00000,79
11342.00000,0
11343.00000,459
11344.00000,25
11345.00000,22
11347.00000,9
11349.00000,0
11350.00000,54
11351.00000,71
11352.00000,0
11353.00000,39
11355.00000,474
11358.00000,69
11359.00000,46
11360.00000,67
11361.00000,0
11367.00000,58
11368.00000,0
11369.00000,0
11371.00000,194
11374.00000,35
11375.00000,47
11376.00000,162
11377.00000,116
11378.00000,204
11381.00000,108
11382.00000,94
11384.00000,214
11385.00000,46
11386.00000,34
11388.00000,35
11389.00000,23
11390.00000,21
11391.00000,49
11392.00000,55
11393.00000,77
11394.00000,53
11396.00000,87
11397.00000,18
11398.00000,128
11399.00000,68
11401.00000,41
11402.00000,110
11403.00000,19
11405.00000,117
11409.00000,102
11411.00000,40
11418.00000,71
11419.00000,54
11422.00000,98
11423.00000,142
11424.00000,129
11425.00000,85
11426.00000,96
11427.00000,90
11429.00000,59
11431.00000,37
11432.00000,48
11433.00000,45
11434.00000,63
11435.00000,23
11436.00000,35
