row_names,maz_original,households,HHSize1,HHSize2,HHSize3,HHSize4p,maz,taz,taz_original,COUNTYFP,mtc_county_id,county_name,PUMA,region,univ,mil,othnon,popgq
18,112697,17,6,7,2,2,5443,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
19,117540,0,0,0,0,0,7784,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
20,118862,0,0,0,0,0,8411,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
21,116037,63,20,30,6,7,7068,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
22,113313,1,1,0,0,0,5740,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
23,114582,46,15,22,4,5,6365,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
24,118865,48,15,24,4,5,8413,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
25,116962,2,1,1,0,0,7502,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
26,112752,96,31,45,9,11,5472,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
27,113318,399,130,186,37,46,5741,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,7.0,7.0
28,114578,0,0,0,0,0,6362,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
29,110465,12,2,2,1,7,4374,985,100394,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
30,118150,186,31,63,34,58,8077,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
31,111758,11,2,2,2,5,5011,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
32,110462,79,14,25,15,25,4371,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
33,112649,44,8,15,8,13,5415,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
34,116970,33,6,11,6,10,7504,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
35,117656,73,12,25,13,23,7839,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
36,116323,76,15,24,11,26,7204,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
37,113866,105,21,33,15,36,6008,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
38,117952,36,7,11,4,14,7984,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
39,113310,53,10,17,7,19,5739,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
40,112851,38,7,12,5,14,5506,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
41,116969,34,7,11,4,12,7503,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
42,117661,62,12,19,9,22,7842,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
43,116035,57,10,18,11,18,7066,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
44,111752,76,13,25,14,24,5010,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
45,112506,12,2,4,2,4,5351,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
46,112646,74,12,26,13,23,5414,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
47,117954,35,6,12,6,11,7985,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
48,117657,27,5,8,5,9,7840,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
49,113607,57,21,17,8,11,5889,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
50,114576,28,11,8,4,5,6361,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
51,110460,806,307,243,109,147,4370,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
52,116032,21,8,6,3,4,7065,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
53,117752,25,8,8,4,5,7890,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
54,110464,5,1,2,1,1,4373,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
55,116188,38,6,13,7,12,7136,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
56,112691,18,3,6,4,5,5440,1005,100423,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
57,116180,34,6,11,4,13,7135,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
58,118624,91,18,29,13,31,8304,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
59,115843,38,8,12,6,12,6975,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
60,112161,41,9,13,6,13,5189,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
61,117817,41,9,13,5,14,7919,1013,100434,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
62,112655,35,14,11,4,6,5417,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
63,111751,10,5,3,1,1,5009,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,3.0,3.0
64,110463,6,2,2,1,1,4372,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
65,111760,0,0,0,0,0,5012,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
66,114574,5,1,2,1,1,6360,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
67,114579,1,1,0,0,0,6363,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
68,111750,2,0,1,0,1,5008,952,100353,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
69,116031,20,8,6,2,4,7064,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
70,115844,45,9,8,5,23,6976,985,100394,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
71,112386,404,153,121,55,75,5293,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
72,117955,14,4,5,2,3,7986,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
73,114719,33,13,10,4,6,6431,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
74,114580,8,4,2,1,1,6364,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
75,113609,11,5,3,1,2,5890,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
76,117076,2,2,0,0,0,7562,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
77,117669,13,4,3,3,3,7844,952,100353,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
78,117616,29,11,9,4,5,7817,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
79,117807,90,33,27,13,17,7916,858,100251,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
80,119223,405,67,140,64,134,8590,952,100353,81,2,San Mateo,2,1.0,0.0,0.0,2.0,2.0
81,116824,43,11,16,6,10,7438,964,100371,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
82,112321,166,35,30,22,79,5260,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
83,112832,74,20,28,10,16,5502,964,100371,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
84,114313,34,8,8,4,14,6226,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
85,111599,9,2,4,1,2,4937,964,100371,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
86,117171,12,2,2,1,7,7606,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
87,115631,7,1,1,1,4,6867,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
88,119002,4,4,0,0,0,8492,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
89,111602,42,7,17,8,10,4938,960,100365,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
90,118994,17,4,7,2,4,8490,964,100371,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
91,115303,185,48,69,27,41,6722,964,100371,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
92,113306,64,17,23,10,14,5736,964,100371,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
93,114773,24,5,10,4,5,6460,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
94,113755,37,8,13,7,9,5962,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
95,116592,81,17,29,16,19,7327,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
96,112319,2,0,2,0,0,5258,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
97,117165,5,1,2,1,1,7605,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
98,112320,9,2,3,2,2,5259,964,100371,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
99,111598,51,11,18,10,12,4936,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,11.0,11.0
100,112314,15,3,5,3,4,5256,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
101,112375,160,34,59,30,37,5289,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,1.0,1.0
102,118085,0,0,0,0,0,8053,964,100371,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
103,118155,38,8,13,7,10,8079,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
104,115617,16,3,7,3,3,6865,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
105,113752,31,6,12,6,7,5960,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
106,115242,16,3,6,3,4,6689,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
107,113753,38,7,15,7,9,5961,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
108,111977,10,2,4,2,2,5121,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
109,115245,302,59,113,58,72,6691,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
110,111053,17,3,7,3,4,4672,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
111,115244,81,16,31,15,19,6690,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
112,118489,96,19,37,18,22,8241,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
113,113760,40,8,16,7,9,5963,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
114,111054,37,7,14,7,9,4673,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
115,113763,33,7,12,6,8,5965,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
116,111974,88,18,30,18,22,5120,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
117,115248,131,28,47,25,31,6692,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
118,110764,0,0,0,0,0,4539,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
119,114307,66,13,25,12,16,6225,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
120,118088,55,11,20,11,13,8054,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
121,112693,0,0,0,0,0,5441,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
122,115481,23,5,7,5,6,6798,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
123,111973,1,1,0,0,0,5119,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
124,115684,0,0,0,0,0,6897,856,100249,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
125,117489,39,8,12,8,11,7759,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
126,115435,31,6,10,6,9,6782,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
127,111486,169,34,56,34,45,4889,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
128,111490,228,45,75,46,62,4891,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
129,110919,43,10,18,7,8,4611,649,100016,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
130,119181,39,9,18,6,6,8570,649,100016,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
131,111914,0,0,0,0,0,5088,1001,100419,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
132,114106,142,34,61,22,25,6138,649,100016,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
133,117908,73,17,32,11,13,7963,649,100016,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
134,112261,2,0,2,0,0,5236,649,100016,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
135,118697,115,17,38,26,34,8334,1001,100419,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
136,116112,4,1,1,1,1,7103,649,100016,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
137,114522,27,4,9,6,8,6328,1001,100419,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
138,117074,26,4,8,6,8,7561,1001,100419,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
139,117901,96,19,32,19,26,7957,1002,100420,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
140,115418,102,20,35,20,27,6773,1002,100420,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
141,114528,25,4,10,4,7,6333,1002,100420,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
142,114908,39,8,13,8,10,6515,1002,100420,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
143,114524,79,11,26,19,23,6330,1001,100419,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
144,118822,21,3,6,5,7,8396,1000,100418,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
145,119183,24,4,10,4,6,8572,1002,100420,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
146,114527,109,22,36,22,29,6332,1002,100420,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
147,118826,29,5,8,7,9,8400,1000,100418,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
148,117634,64,10,20,14,20,7824,1000,100418,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
149,118825,22,3,8,5,6,8399,1000,100418,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
150,119182,40,6,13,8,13,8571,1000,100418,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
151,112992,80,13,25,18,24,5580,1000,100418,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
152,112991,31,4,11,6,10,5579,1000,100418,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
153,114523,82,13,26,18,25,6329,1000,100418,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
154,117109,71,20,22,12,17,7581,1003,100421,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
155,112456,126,25,40,26,35,5324,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
156,114526,35,7,12,7,9,6331,1002,100420,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
157,117487,45,9,15,9,12,7757,1002,100420,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
158,117911,165,27,56,38,44,7964,1004,100422,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
159,115434,41,11,13,7,10,6781,1003,100421,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
160,116911,49,13,17,8,11,7474,1003,100421,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
161,117652,44,11,14,8,11,7838,1003,100421,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
162,111581,66,18,21,11,16,4928,1003,100421,81,2,San Mateo,2,1.0,0.0,0.0,6.0,6.0
163,115055,26,7,9,4,6,6603,1003,100421,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
164,118439,24,6,8,4,6,8216,1003,100421,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
165,117488,29,5,9,7,8,7758,1004,100422,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
166,114521,4,0,4,0,0,6327,649,100016,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
167,117636,19,4,9,3,3,7825,649,100016,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
168,119084,0,0,0,0,0,8534,647,100014,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
169,111354,94,19,35,17,23,4822,647,100014,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
170,118349,0,0,0,0,0,8173,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
171,110610,12,3,5,2,2,4450,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
172,115781,41,6,17,7,11,6943,960,100365,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
173,112839,1,1,0,0,0,5503,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
174,112840,34,8,13,6,7,5504,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
175,119003,14,3,6,2,3,8493,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
176,119001,82,13,33,16,20,8491,960,100365,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
177,111608,69,17,25,13,14,4939,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
178,112381,35,6,13,7,9,5291,960,100365,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
179,119005,28,7,9,6,6,8494,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
180,118096,30,7,11,6,6,8055,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
181,111609,49,12,18,9,10,4940,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
182,112159,12,2,6,2,2,5188,960,100365,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
183,112843,27,5,10,5,7,5505,960,100365,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
184,117947,198,49,70,38,41,7982,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
185,118100,27,5,12,4,6,8056,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
186,117175,63,12,26,11,14,7608,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
187,117173,47,8,18,9,12,7607,960,100365,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
188,118732,8,2,2,2,2,8351,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
189,111746,71,17,26,13,15,5007,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
190,118728,4,0,2,1,1,8350,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
191,116026,14,3,4,3,4,7063,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
192,111740,21,4,8,3,6,5005,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
193,116825,37,7,15,6,9,7439,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
194,115306,113,22,44,19,28,6723,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
195,114571,49,10,19,8,12,6359,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
196,115164,9,2,4,1,2,6659,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
197,115786,85,17,34,15,19,6944,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
198,118184,40,8,16,7,9,8096,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
199,117948,88,17,36,15,20,7983,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
200,114570,54,9,21,10,14,6358,960,100365,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
201,110831,407,67,164,77,99,4570,960,100365,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
202,111741,51,11,19,9,12,5006,962,100369,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
203,110983,1,1,0,0,0,4647,960,100365,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
204,117809,104,20,41,18,25,7917,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
205,113037,38,7,15,6,10,5599,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
206,113308,17,4,6,3,4,5738,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
207,112643,181,30,62,29,60,5413,952,100353,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
208,116516,295,59,117,51,68,7299,833,100223,81,2,San Mateo,2,1.0,0.0,0.0,14.0,14.0
209,117618,6,1,2,1,2,7818,952,100353,81,2,San Mateo,2,1.0,0.0,0.0,20.0,20.0
210,118274,1,1,0,0,0,8137,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
211,110550,109,21,36,22,30,4413,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
212,113556,23,4,9,4,6,5867,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
213,118169,41,8,14,8,11,8087,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
214,118441,29,6,9,6,8,8217,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
215,113555,143,23,48,33,39,5866,1004,100422,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
216,118437,212,34,73,48,57,8215,1004,100422,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
217,114507,49,10,16,10,13,6320,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
218,114366,116,19,40,26,31,6253,1004,100422,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
219,118168,0,0,0,0,0,8086,650,100017,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
220,112977,287,88,90,38,71,5571,889,100285,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
221,113864,0,0,0,0,0,6007,952,100353,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
222,110549,52,9,18,11,14,4412,1004,100422,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
223,111134,34,5,12,8,9,4708,1004,100422,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
224,117492,24,4,9,5,6,7760,1004,100422,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
225,111148,87,14,30,20,23,4714,1004,100422,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
226,114098,227,43,79,47,58,6132,891,100287,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
227,111288,324,87,106,53,78,4791,1003,100421,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
228,118943,18,3,7,4,4,8457,891,100287,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
229,116922,49,9,18,10,12,7481,891,100287,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
230,118944,179,50,53,29,47,8458,890,100286,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
231,118936,65,18,19,11,17,8454,890,100286,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
232,118170,97,27,28,16,26,8088,890,100286,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
233,115056,328,61,116,68,83,6604,891,100287,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
234,112457,433,62,169,79,123,5325,651,100018,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
235,111299,448,86,146,84,132,4795,999,100417,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
236,115054,28,5,10,5,8,6602,999,100417,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
237,118572,34,7,10,6,11,8284,999,100417,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
238,115433,207,40,68,38,61,6780,999,100417,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
239,114679,7,2,2,1,2,6419,999,100417,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
240,118571,93,19,34,17,23,8283,647,100014,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
241,110943,61,17,18,10,16,4625,890,100286,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
242,116832,75,21,21,13,20,7442,890,100286,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
243,117822,23,8,7,3,5,7923,889,100285,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
244,116834,103,14,41,19,29,7443,651,100018,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
245,116831,62,8,24,12,18,7441,651,100018,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
246,117633,37,5,14,7,11,7823,651,100018,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
247,111574,37,13,11,4,9,4925,889,100285,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
248,116268,46,6,19,8,13,7180,651,100018,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
249,110839,0,0,0,0,0,4571,952,100353,81,2,San Mateo,2,1.0,0.0,0.0,0.0,0.0
